CAN Message; 0x1b8:0100b3725aae7619
Timestamp;Amplitude
1739209647.554183;-33.981070128970906
1739209647.5541878;-38.13080360867914
1739209647.5541928;-38.13080360867914
1739209647.5541975;-45.120503652039325
1739209647.5542026;-38.13080360867914
1739209647.5542073;-35.57807855764607
1739209647.5542123;-45.120503652039325
1739209647.554217;-38.13080360867914
1739209647.554222;-38.13080360867914
1739209647.5542269;-45.120503652039325
1739209647.554232;-45.120503652039325
1739209647.554237;-38.13080360867914
1739209647.5542417;-38.13080360867914
1739209647.5542467;-45.120503652039325
1739209647.5542514;-45.120503652039325
1739209647.5542564;-45.120503652039325
1739209647.5542612;-38.13080360867914
1739209647.5542662;-38.13080360867914
1739209647.554271;-38.13080360867914
1739209647.554276;-35.57807855764607
1739209647.554281;-38.13080360867914
1739209647.5542858;-35.57807855764607
1739209647.5542908;-38.13080360867914
1739209647.5542955;-38.13080360867914
1739209647.5543005;-35.57807855764607
1739209647.5543053;-45.120503652039325
1739209647.5543103;-45.120503652039325
1739209647.554315;-35.57807855764607
1739209647.55432;-35.57807855764607
1739209647.5543249;-45.120503652039325
1739209647.5543299;-45.120503652039325
1739209647.5543349;-33.981070128970906
1739209647.5543396;-38.13080360867914
1739209647.5543447;-45.120503652039325
1739209647.5543494;-38.13080360867914
1739209647.5543544;-38.13080360867914
1739209647.5543592;-38.13080360867914
1739209647.5543642;-35.57807855764607
1739209647.554369;-38.13080360867914
1739209647.554374;-45.120503652039325
1739209647.5543787;-38.13080360867914
1739209647.5543838;-45.120503652039325
1739209647.5543888;-45.120503652039325
1739209647.5543935;-35.57807855764607
1739209647.5543985;-38.13080360867914
1739209647.5544033;-45.120503652039325
1739209647.5544083;-45.120503652039325
1739209647.554413;-32.816014438256545
1739209647.554418;-45.120503652039325
1739209647.5544229;-45.120503652039325
1739209647.5544279;-38.13080360867914
1739209647.5544326;-35.57807855764607
1739209647.5544376;-38.13080360867914
1739209647.5544426;-38.13080360867914
1739209647.5544474;-35.57807855764607
1739209647.5544524;-38.13080360867914
1739209647.5544572;-38.13080360867914
1739209647.5544622;-45.120503652039325
1739209647.554467;-38.13080360867914
1739209647.554472;-35.57807855764607
1739209647.5544767;-38.13080360867914
1739209647.5544817;-45.120503652039325
1739209647.5544868;-45.120503652039325
1739209647.5544915;-45.120503652039325
1739209647.5544965;-35.57807855764607
1739209647.5545013;-45.120503652039325
1739209647.5545063;-38.13080360867914
1739209647.554511;-28.58837851428586
1739209647.554516;-38.13080360867914
1739209647.5545208;-38.13080360867914
1739209647.5545259;-45.120503652039325
1739209647.5545306;-32.816014438256545
1739209647.5545356;-38.13080360867914
1739209647.5545406;-38.13080360867914
1739209647.5545454;-38.13080360867914
1739209647.5545504;-38.13080360867914
1739209647.5545552;-38.13080360867914
1739209647.5545602;-45.120503652039325
1739209647.554565;-38.13080360867914
1739209647.55457;-38.13080360867914
