CAN Message; 0x150:0500072afa862b6d
Timestamp;Amplitude
1739209690.7935255;-38.13080360867914
1739209690.7935278;-35.57807855764607
1739209690.79353;-32.816014438256545
1739209690.7935324;-38.13080360867914
1739209690.7935345;-45.120503652039325
1739209690.793537;-38.13080360867914
1739209690.793539;-45.120503652039325
1739209690.7935414;-45.120503652039325
1739209690.7935436;-45.120503652039325
1739209690.7935457;-33.981070128970906
1739209690.793548;-45.120503652039325
1739209690.7935503;-38.13080360867914
1739209690.7935526;-38.13080360867914
1739209690.7935548;-38.13080360867914
1739209690.7935572;-35.57807855764607
1739209690.7935593;-38.13080360867914
1739209690.7935615;-45.120503652039325
1739209690.7935638;-35.57807855764607
1739209690.793566;-45.120503652039325
1739209690.7935684;-45.120503652039325
1739209690.7935705;-45.120503652039325
1739209690.793573;-38.13080360867914
1739209690.793575;-38.13080360867914
1739209690.7935774;-33.981070128970906
1739209690.7935796;-45.120503652039325
1739209690.7935817;-38.13080360867914
1739209690.793584;-33.981070128970906
1739209690.7935863;-38.13080360867914
1739209690.7935886;-45.120503652039325
1739209690.7935908;-38.13080360867914
1739209690.7935932;-38.13080360867914
1739209690.7935953;-38.13080360867914
1739209690.7935975;-38.13080360867914
1739209690.7935998;-38.13080360867914
1739209690.793602;-45.120503652039325
1739209690.7936044;-38.13080360867914
1739209690.7936065;-38.13080360867914
1739209690.793609;-38.13080360867914
1739209690.793611;-38.13080360867914
1739209690.7936134;-38.13080360867914
1739209690.7936156;-38.13080360867914
1739209690.7936177;-35.57807855764607
1739209690.79362;-35.57807855764607
1739209690.7936223;-35.57807855764607
1739209690.7936246;-45.120503652039325
1739209690.7936268;-45.120503652039325
1739209690.7936292;-38.13080360867914
1739209690.7936313;-45.120503652039325
1739209690.7936335;-38.13080360867914
1739209690.7936358;-45.120503652039325
1739209690.793638;-45.120503652039325
1739209690.7936404;-45.120503652039325
1739209690.7936425;-38.13080360867914
1739209690.793645;-45.120503652039325
1739209690.793647;-45.120503652039325
1739209690.7936494;-33.981070128970906
1739209690.7936516;-38.13080360867914
1739209690.7936537;-38.13080360867914
1739209690.793656;-31.141103565318915
1739209690.7936583;-33.981070128970906
1739209690.7936606;-38.13080360867914
1739209690.7936628;-45.120503652039325
1739209690.7936652;-45.120503652039325
1739209690.7936673;-32.816014438256545
1739209690.7936697;-38.13080360867914
1739209690.7936718;-45.120503652039325
1739209690.793674;-45.120503652039325
1739209690.7936764;-38.13080360867914
1739209690.7936785;-38.13080360867914
1739209690.793681;-45.120503652039325
1739209690.793683;-45.120503652039325
1739209690.7936854;-45.120503652039325
1739209690.7936876;-38.13080360867914
1739209690.7936897;-45.120503652039325
1739209690.793692;-38.13080360867914
1739209690.7936943;-38.13080360867914
1739209690.7936966;-38.13080360867914
1739209690.7936988;-45.120503652039325
1739209690.7937012;-38.13080360867914
