CAN Message; 0x77:7fa1c2b96419a932
Timestamp;Amplitude
1739209774.2880106;-45.120503652039325
1739209774.28802;-38.13080360867914
1739209774.2880294;-38.13080360867914
1739209774.2880387;-45.120503652039325
1739209774.2880483;-35.57807855764607
1739209774.2880576;-35.57807855764607
1739209774.288067;-45.120503652039325
1739209774.2880764;-45.120503652039325
1739209774.288086;-38.13080360867914
1739209774.2880952;-35.57807855764607
1739209774.2881048;-45.120503652039325
1739209774.288114;-38.13080360867914
1739209774.2881236;-45.120503652039325
1739209774.2881331;-45.120503652039325
1739209774.2881424;-45.120503652039325
1739209774.288152;-38.13080360867914
1739209774.2881613;-38.13080360867914
1739209774.2881708;-38.13080360867914
1739209774.28818;-45.120503652039325
1739209774.2881896;-45.120503652039325
1739209774.288199;-31.141103565318893
1739209774.2882085;-33.981070128970906
1739209774.2882178;-45.120503652039325
1739209774.2882273;-38.13080360867914
1739209774.2882366;-38.13080360867914
1739209774.2882462;-33.981070128970906
1739209774.2882555;-45.120503652039325
1739209774.288265;-38.13080360867914
1739209774.2882745;-38.13080360867914
1739209774.2882838;-35.57807855764607
1739209774.2882934;-45.120503652039325
1739209774.2883027;-45.120503652039325
1739209774.2883122;-38.13080360867914
1739209774.2883215;-33.981070128970906
1739209774.288331;-45.120503652039325
1739209774.2883403;-45.120503652039325
1739209774.2883499;-45.120503652039325
1739209774.2883592;-45.120503652039325
1739209774.2883687;-38.13080360867914
1739209774.288378;-38.13080360867914
1739209774.2883875;-32.816014438256545
1739209774.288397;-33.981070128970906
1739209774.2884064;-45.120503652039325
1739209774.288416;-38.13080360867914
1739209774.2884252;-32.816014438256545
1739209774.2884347;-33.981070128970906
1739209774.288444;-45.120503652039325
1739209774.2884536;-38.13080360867914
1739209774.2884629;-45.120503652039325
1739209774.2884724;-38.13080360867914
1739209774.2884817;-45.120503652039325
1739209774.2884912;-45.120503652039325
1739209774.2885005;-45.120503652039325
1739209774.28851;-38.13080360867914
1739209774.2885194;-45.120503652039325
1739209774.288529;-45.120503652039325
1739209774.2885385;-45.120503652039325
1739209774.2885478;-45.120503652039325
1739209774.2885573;-38.13080360867914
1739209774.2885666;-38.13080360867914
1739209774.2885761;-32.816014438256545
1739209774.2885854;-28.992665084841942
1739209774.288595;-45.120503652039325
1739209774.2886043;-45.120503652039325
1739209774.2886138;-38.13080360867914
1739209774.288623;-33.981070128970906
1739209774.2886326;-45.120503652039325
1739209774.288642;-38.13080360867914
1739209774.2886515;-45.120503652039325
1739209774.288661;-33.981070128970956
1739209774.2886703;-45.120503652039325
1739209774.2886798;-45.120503652039325
1739209774.2886891;-38.13080360867914
1739209774.2886987;-45.120503652039325
1739209774.288708;-45.120503652039325
1739209774.2887175;-45.120503652039325
1739209774.2887268;-38.13080360867914
1739209774.2887363;-28.992665084841942
1739209774.2887456;-45.120503652039325
1739209774.2887552;-45.120503652039325
1739209774.2887645;-38.13080360867914
1739209774.288774;-33.981070128970906
1739209774.2887833;-45.120503652039325
1739209774.2887928;-45.120503652039325
1739209774.2888024;-45.120503652039325
1739209774.2888117;-38.13080360867914
1739209774.2888212;-38.13080360867914
1739209774.2888305;-45.120503652039325
1739209774.28884;-38.13080360867914
1739209774.2888494;-45.120503652039325
1739209774.288859;-45.120503652039325
1739209774.2888682;-45.120503652039325
1739209774.2888777;-38.13080360867914
1739209774.288887;-38.13080360867914
1739209774.2888966;-38.13080360867914
1739209774.2889059;-38.13080360867914
1739209774.2889154;-45.120503652039325
1739209774.288925;-45.120503652039325
1739209774.2889342;-45.120503652039325
1739209774.2889438;-45.120503652039325
1739209774.288953;-38.13080360867914
1739209774.2889626;-33.981070128970906
1739209774.288972;-45.120503652039325
1739209774.2889814;-45.120503652039325
1739209774.2889907;-45.120503652039325
1739209774.2890003;-45.120503652039325
1739209774.2890096;-45.120503652039325
1739209774.289019;-45.120503652039325
1739209774.2890284;-38.13080360867914
1739209774.289038;-30.49652367304973
1739209774.2890475;-45.120503652039325
1739209774.2890568;-45.120503652039325
1739209774.2890663;-38.13080360867914
1739209774.2890756;-45.120503652039325
1739209774.2890851;-38.13080360867914
1739209774.2890944;-38.13080360867914
1739209774.289104;-45.120503652039325
1739209774.2891133;-28.58837851428586
1739209774.2891228;-33.981070128970906
1739209774.289132;-38.13080360867914
1739209774.2891417;-45.120503652039325
1739209774.289151;-45.120503652039325
1739209774.2891605;-38.13080360867914
1739209774.2891698;-45.120503652039325
1739209774.2891793;-45.120503652039325
1739209774.2891889;-31.141103565318915
1739209774.2891982;-33.981070128970906
1739209774.2892077;-38.13080360867914
1739209774.289217;-45.120503652039325
1739209774.2892265;-38.13080360867914
1739209774.2892358;-45.120503652039325
1739209774.2892454;-38.13080360867914
1739209774.2892547;-45.120503652039325
1739209774.2892642;-38.13080360867914
1739209774.2892735;-38.13080360867914
1739209774.289283;-38.13080360867914
1739209774.2892923;-45.120503652039325
1739209774.2893019;-38.13080360867914
1739209774.2893114;-35.57807855764607
1739209774.2893207;-45.120503652039325
1739209774.2893302;-45.120503652039325
1739209774.2893395;-38.13080360867914
1739209774.289349;-38.13080360867914
1739209774.2893584;-45.120503652039325
1739209774.289368;-45.120503652039325
1739209774.2893772;-45.120503652039325
1739209774.2893867;-35.57807855764607
1739209774.289396;-38.13080360867914
1739209774.2894056;-45.120503652039325
1739209774.289415;-38.13080360867914
1739209774.2894244;-38.13080360867914
1739209774.2894337;-45.120503652039325
1739209774.2894433;-38.13080360867914
1739209774.2894528;-33.981070128970906
1739209774.289462;-45.120503652039325
1739209774.2894716;-38.13080360867914
