CAN Message; 0x77:849fa0212bb8f6b5
Timestamp;Amplitude
1739209799.4480753;-38.13080360867914
1739209799.448084;-45.120503652039325
1739209799.4480927;-45.120503652039325
1739209799.4481013;-45.120503652039325
1739209799.4481099;-38.13080360867914
1739209799.4481187;-38.13080360867914
1739209799.4481273;-45.120503652039325
1739209799.4481359;-45.120503652039325
1739209799.4481447;-38.13080360867914
1739209799.4481533;-38.13080360867914
1739209799.4481618;-45.120503652039325
1739209799.4481704;-45.120503652039325
1739209799.4481792;-35.57807855764607
1739209799.4481878;-38.13080360867914
1739209799.4481964;-45.120503652039325
1739209799.4482052;-45.120503652039325
1739209799.4482138;-45.120503652039325
1739209799.4482224;-45.120503652039325
1739209799.448231;-38.13080360867914
1739209799.4482398;-38.13080360867914
1739209799.4482484;-31.141103565318915
1739209799.448257;-38.13080360867914
1739209799.4482658;-45.120503652039325
1739209799.4482744;-38.13080360867914
1739209799.448283;-35.57807855764607
1739209799.4482915;-45.120503652039325
1739209799.4483004;-45.120503652039325
1739209799.448309;-38.13080360867914
1739209799.4483175;-38.13080360867914
1739209799.4483263;-45.120503652039325
1739209799.448335;-38.13080360867914
1739209799.4483435;-38.13080360867914
1739209799.448352;-45.120503652039325
1739209799.448361;-45.120503652039325
1739209799.4483695;-45.120503652039325
1739209799.448378;-45.120503652039325
1739209799.448387;-38.13080360867914
1739209799.4483955;-45.120503652039325
1739209799.448404;-38.13080360867914
1739209799.4484127;-35.57807855764607
1739209799.4484215;-45.120503652039325
1739209799.44843;-45.120503652039325
1739209799.4484386;-38.13080360867914
1739209799.4484475;-35.57807855764607
1739209799.448456;-31.141103565318915
1739209799.4484646;-38.13080360867914
1739209799.4484732;-38.13080360867914
1739209799.448482;-35.57807855764607
1739209799.4484906;-45.120503652039325
1739209799.4484992;-45.120503652039325
1739209799.448508;-38.13080360867914
1739209799.4485166;-38.13080360867914
1739209799.4485252;-31.14110356531892
1739209799.448534;-35.57807855764607
1739209799.4485426;-38.13080360867914
1739209799.4485512;-45.120503652039325
1739209799.4485598;-45.120503652039325
1739209799.4485686;-45.120503652039325
1739209799.4485772;-38.13080360867914
1739209799.4485857;-45.120503652039325
1739209799.4485946;-28.992665084841942
1739209799.4486032;-33.981070128970906
1739209799.4486117;-45.120503652039325
1739209799.4486203;-45.120503652039325
1739209799.4486291;-28.992665084841942
1739209799.4486377;-32.816014438256545
1739209799.4486463;-45.120503652039325
1739209799.4486551;-45.120503652039325
1739209799.4486637;-38.13080360867914
1739209799.4486723;-38.13080360867914
1739209799.4486809;-45.120503652039325
1739209799.4486897;-45.120503652039325
1739209799.4486983;-45.120503652039325
1739209799.4487069;-33.981070128970906
1739209799.4487157;-35.57807855764607
1739209799.4487243;-38.13080360867914
1739209799.4487329;-38.13080360867914
1739209799.4487414;-33.981070128970906
1739209799.4487503;-45.120503652039325
1739209799.4487588;-45.120503652039325
1739209799.4487674;-38.13080360867914
1739209799.4487762;-33.981070128970906
1739209799.4487848;-38.13080360867914
1739209799.4487934;-45.120503652039325
1739209799.448802;-33.981070128970906
1739209799.4488108;-35.57807855764607
1739209799.4488194;-45.120503652039325
1739209799.448828;-45.120503652039325
1739209799.4488368;-33.981070128970906
1739209799.4488454;-38.13080360867914
1739209799.448854;-38.13080360867914
1739209799.4488626;-38.13080360867914
1739209799.4488714;-33.981070128970956
1739209799.44888;-38.13080360867914
1739209799.4488885;-38.13080360867914
1739209799.4488974;-45.120503652039325
1739209799.448906;-45.120503652039325
1739209799.4489145;-33.981070128970906
1739209799.448923;-33.981070128970906
1739209799.448932;-38.13080360867914
1739209799.4489405;-33.981070128970906
1739209799.448949;-35.57807855764607
1739209799.448958;-45.120503652039325
1739209799.4489665;-45.120503652039325
1739209799.448975;-45.120503652039325
1739209799.4489837;-38.13080360867914
1739209799.4489925;-45.120503652039325
1739209799.449001;-45.120503652039325
1739209799.4490097;-35.57807855764607
1739209799.4490185;-38.13080360867914
1739209799.449027;-45.120503652039325
1739209799.4490356;-45.120503652039325
1739209799.4490442;-38.13080360867914
1739209799.449053;-38.13080360867914
1739209799.4490616;-38.13080360867914
1739209799.4490702;-38.13080360867914
1739209799.449079;-45.120503652039325
1739209799.4490876;-45.120503652039325
1739209799.4490962;-38.13080360867914
1739209799.4491048;-35.57807855764607
1739209799.4491136;-45.120503652039325
1739209799.4491222;-33.981070128970906
1739209799.4491308;-38.13080360867914
1739209799.4491396;-45.120503652039325
1739209799.4491482;-35.57807855764607
1739209799.4491568;-35.57807855764607
1739209799.4491653;-45.120503652039325
1739209799.4491742;-35.57807855764607
1739209799.4491827;-38.13080360867914
1739209799.4491913;-45.120503652039325
1739209799.4492002;-45.120503652039325
1739209799.4492087;-45.120503652039325
1739209799.4492173;-45.120503652039325
1739209799.449226;-45.120503652039325
1739209799.4492347;-45.120503652039325
1739209799.4492433;-45.120503652039325
1739209799.449252;-38.13080360867914
1739209799.4492607;-35.57807855764607
1739209799.4492693;-45.120503652039325
1739209799.4492779;-45.120503652039325
1739209799.4492865;-45.120503652039325
1739209799.4492953;-33.981070128970906
1739209799.4493039;-38.13080360867914
1739209799.4493124;-45.120503652039325
1739209799.4493213;-38.13080360867914
1739209799.4493299;-33.981070128970906
1739209799.4493384;-38.13080360867914
1739209799.449347;-45.120503652039325
