CAN Message; 0x77:3de986755cb7f123
Timestamp;Amplitude
1739209820.6787105;-45.120503652039325
1739209820.678719;-38.13080360867914
1739209820.6787274;-38.13080360867914
1739209820.6787357;-35.57807855764607
1739209820.6787443;-38.13080360867914
1739209820.6787527;-38.13080360867914
1739209820.678761;-38.13080360867914
1739209820.6787696;-38.13080360867914
1739209820.678778;-38.13080360867914
1739209820.6787863;-38.13080360867914
1739209820.6787949;-45.120503652039325
1739209820.6788032;-45.120503652039325
1739209820.6788116;-38.13080360867914
1739209820.6788201;-38.13080360867914
1739209820.6788285;-45.120503652039325
1739209820.6788368;-45.120503652039325
1739209820.6788454;-45.120503652039325
1739209820.6788538;-45.120503652039325
1739209820.678862;-33.981070128970906
1739209820.6788707;-26.991370085610722
1739209820.678879;-45.120503652039325
1739209820.6788874;-45.120503652039325
1739209820.678896;-38.13080360867914
1739209820.6789043;-31.141103565318915
1739209820.6789126;-45.120503652039325
1739209820.6789212;-45.120503652039325
1739209820.6789296;-45.120503652039325
1739209820.678938;-38.13080360867914
1739209820.6789465;-45.120503652039325
1739209820.6789548;-45.120503652039325
1739209820.6789632;-45.120503652039325
1739209820.6789718;-35.57807855764607
1739209820.67898;-38.13080360867914
1739209820.6789885;-45.120503652039325
1739209820.678997;-38.13080360867914
1739209820.6790054;-30.49652367304973
1739209820.6790137;-38.13080360867914
1739209820.6790223;-45.120503652039325
1739209820.6790307;-45.120503652039325
1739209820.679039;-38.13080360867914
1739209820.6790476;-33.981070128970906
1739209820.679056;-45.120503652039325
1739209820.6790643;-45.120503652039325
1739209820.6790729;-45.120503652039325
1739209820.6790812;-45.120503652039325
1739209820.6790895;-45.120503652039325
1739209820.6790981;-38.13080360867914
1739209820.6791065;-38.13080360867914
1739209820.679115;-45.120503652039325
1739209820.6791234;-45.120503652039325
1739209820.6791317;-45.120503652039325
1739209820.6791403;-45.120503652039325
1739209820.6791487;-45.120503652039325
1739209820.679157;-38.13080360867914
1739209820.6791656;-31.141103565318915
1739209820.679174;-38.13080360867914
1739209820.6791823;-35.57807855764607
1739209820.6791909;-35.57807855764607
1739209820.6791992;-38.13080360867914
1739209820.6792076;-35.57807855764607
1739209820.6792161;-38.13080360867914
1739209820.6792245;-45.120503652039325
