CAN Message; 0x39:051e7fcad1fc8c33
Timestamp;Amplitude
1739209687.54438;-38.13080360867914
1739209687.5443876;-38.13080360867914
1739209687.5443954;-45.120503652039325
1739209687.544403;-45.120503652039325
1739209687.5444107;-38.13080360867914
1739209687.5444183;-38.13080360867914
1739209687.544426;-45.120503652039325
1739209687.5444336;-38.13080360867914
1739209687.5444415;-38.13080360867914
1739209687.544449;-45.120503652039325
1739209687.5444567;-45.120503652039325
1739209687.5444643;-33.981070128970906
1739209687.544472;-38.13080360867914
1739209687.5444796;-30.49652367304973
1739209687.5444875;-38.13080360867914
1739209687.544495;-38.13080360867914
1739209687.5445027;-35.57807855764607
1739209687.5445104;-35.57807855764607
1739209687.544518;-45.120503652039325
1739209687.5445256;-33.981070128970906
1739209687.5445335;-31.141103565318893
1739209687.5445411;-33.981070128970956
1739209687.5445487;-45.120503652039325
1739209687.5445564;-38.13080360867914
1739209687.544564;-33.981070128970906
1739209687.5445716;-45.120503652039325
1739209687.5445795;-45.120503652039325
1739209687.5445871;-38.13080360867914
1739209687.5445948;-45.120503652039325
1739209687.5446024;-31.141103565318893
1739209687.54461;-33.981070128970906
1739209687.5446177;-38.13080360867914
1739209687.5446255;-35.57807855764607
1739209687.5446332;-45.120503652039325
1739209687.5446408;-45.120503652039325
1739209687.5446484;-38.13080360867914
1739209687.544656;-38.13080360867914
1739209687.5446637;-45.120503652039325
1739209687.5446715;-45.120503652039325
1739209687.5446792;-38.13080360867914
1739209687.5446868;-45.120503652039325
1739209687.5446944;-38.13080360867914
1739209687.544702;-45.120503652039325
1739209687.5447097;-45.120503652039325
1739209687.5447176;-35.57807855764607
1739209687.5447252;-45.120503652039325
1739209687.5447328;-45.120503652039325
1739209687.5447404;-38.13080360867914
1739209687.544748;-45.120503652039325
1739209687.5447557;-45.120503652039325
1739209687.5447636;-45.120503652039325
1739209687.5447712;-38.13080360867914
1739209687.5447788;-45.120503652039325
1739209687.5447865;-38.13080360867914
1739209687.544794;-45.120503652039325
1739209687.5448017;-38.13080360867914
1739209687.5448096;-38.13080360867914
1739209687.5448172;-35.57807855764607
1739209687.5448248;-38.13080360867914
1739209687.5448325;-38.13080360867914
1739209687.54484;-38.13080360867914
1739209687.5448477;-45.120503652039325
1739209687.5448556;-45.120503652039325
1739209687.5448632;-38.13080360867914
1739209687.5448709;-33.981070128970906
1739209687.5448785;-45.120503652039325
1739209687.544886;-38.13080360867914
1739209687.5448937;-32.816014438256545
1739209687.5449016;-35.57807855764607
1739209687.5449092;-38.13080360867914
1739209687.5449169;-38.13080360867914
1739209687.5449245;-38.13080360867914
1739209687.5449321;-38.13080360867914
1739209687.5449398;-45.120503652039325
1739209687.5449476;-38.13080360867914
1739209687.5449553;-38.13080360867914
1739209687.544963;-32.816014438256545
1739209687.5449705;-45.120503652039325
1739209687.5449781;-45.120503652039325
1739209687.5449858;-38.13080360867914
