CAN Message; 0x77:a7341d6cd573e799
Timestamp;Amplitude
1739209903.0436594;-45.120503652039325
1739209903.043664;-32.816014438256545
1739209903.0436683;-32.816014438256545
1739209903.0436728;-45.120503652039325
1739209903.043677;-35.57807855764607
1739209903.0436814;-38.13080360867914
1739209903.043686;-38.13080360867914
1739209903.0436902;-45.120503652039325
1739209903.0436947;-33.981070128970906
1739209903.043699;-35.57807855764607
1739209903.0437033;-38.13080360867914
1739209903.0437078;-35.57807855764607
1739209903.0437121;-35.57807855764607
1739209903.0437167;-38.13080360867914
1739209903.043721;-38.13080360867914
1739209903.0437253;-38.13080360867914
1739209903.0437298;-45.120503652039325
1739209903.043734;-38.13080360867914
1739209903.0437386;-38.13080360867914
1739209903.043743;-38.13080360867914
1739209903.0437472;-35.57807855764607
1739209903.0437517;-38.13080360867914
1739209903.043756;-45.120503652039325
1739209903.0437605;-38.13080360867914
1739209903.0437648;-38.13080360867914
1739209903.0437691;-45.120503652039325
1739209903.0437737;-45.120503652039325
1739209903.043778;-38.13080360867914
1739209903.0437825;-45.120503652039325
1739209903.0437868;-45.120503652039325
1739209903.043791;-38.13080360867914
1739209903.0437956;-38.13080360867914
1739209903.0437999;-38.13080360867914
1739209903.0438044;-38.13080360867914
1739209903.0438087;-45.120503652039325
1739209903.043813;-38.13080360867914
1739209903.0438175;-45.120503652039325
1739209903.0438218;-45.120503652039325
1739209903.0438263;-38.13080360867914
1739209903.0438306;-35.57807855764607
1739209903.043835;-38.13080360867914
1739209903.0438395;-45.120503652039325
1739209903.0438437;-38.13080360867914
1739209903.043848;-33.981070128970906
1739209903.0438526;-38.13080360867914
1739209903.0438569;-38.13080360867914
1739209903.0438614;-45.120503652039325
1739209903.0438657;-45.120503652039325
1739209903.04387;-33.981070128970906
1739209903.0438745;-38.13080360867914
1739209903.0438788;-45.120503652039325
1739209903.0438833;-45.120503652039325
1739209903.0438876;-45.120503652039325
1739209903.043892;-45.120503652039325
1739209903.0438964;-45.120503652039325
1739209903.0439007;-33.981070128970906
1739209903.0439053;-32.816014438256545
1739209903.0439095;-45.120503652039325
1739209903.0439138;-45.120503652039325
1739209903.0439184;-31.141103565318915
1739209903.0439227;-38.13080360867914
1739209903.0439272;-38.13080360867914
1739209903.0439315;-35.57807855764607
1739209903.0439358;-33.981070128970906
1739209903.0439403;-38.13080360867914
1739209903.0439446;-45.120503652039325
1739209903.0439491;-45.120503652039325
1739209903.0439534;-38.13080360867914
1739209903.0439577;-45.120503652039325
1739209903.0439622;-38.13080360867914
1739209903.0439665;-45.120503652039325
1739209903.043971;-45.120503652039325
1739209903.0439754;-38.13080360867914
1739209903.0439796;-38.13080360867914
1739209903.0439842;-45.120503652039325
1739209903.0439885;-45.120503652039325
1739209903.043993;-45.120503652039325
1739209903.0439973;-45.120503652039325
1739209903.0440016;-33.981070128970906
1739209903.044006;-30.49652367304973
1739209903.0440104;-32.816014438256545
1739209903.044015;-38.13080360867914
1739209903.0440192;-38.13080360867914
1739209903.0440235;-35.57807855764607
1739209903.044028;-45.120503652039325
1739209903.0440323;-45.120503652039325
1739209903.0440369;-35.57807855764607
1739209903.0440412;-38.13080360867914
1739209903.0440454;-45.120503652039325
1739209903.04405;-38.13080360867914
1739209903.0440543;-45.120503652039325
1739209903.0440588;-45.120503652039325
1739209903.044063;-45.120503652039325
1739209903.0440674;-45.120503652039325
1739209903.044072;-45.120503652039325
1739209903.0440762;-45.120503652039325
1739209903.0440807;-45.120503652039325
1739209903.044085;-38.13080360867914
1739209903.0440893;-45.120503652039325
1739209903.0440938;-33.981070128970906
1739209903.0440981;-38.13080360867914
1739209903.0441027;-38.13080360867914
1739209903.044107;-45.120503652039325
1739209903.0441113;-31.141103565318915
1739209903.0441158;-38.13080360867914
1739209903.04412;-45.120503652039325
1739209903.0441246;-38.13080360867914
1739209903.044129;-38.13080360867914
1739209903.0441332;-38.13080360867914
1739209903.0441377;-35.57807855764607
1739209903.044142;-35.57807855764607
1739209903.0441465;-31.141103565318943
1739209903.0441508;-45.120503652039325
1739209903.0441551;-38.13080360867914
1739209903.0441597;-45.120503652039325
1739209903.044164;-45.120503652039325
1739209903.0441685;-38.13080360867914
1739209903.0441728;-45.120503652039325
1739209903.044177;-38.13080360867914
1739209903.0441816;-30.49652367304973
1739209903.0441859;-32.816014438256545
1739209903.0441902;-45.120503652039325
1739209903.0441947;-45.120503652039325
1739209903.044199;-38.13080360867914
1739209903.0442035;-45.120503652039325
1739209903.0442078;-45.120503652039325
1739209903.044212;-38.13080360867914
1739209903.0442166;-38.13080360867914
1739209903.044221;-45.120503652039325
1739209903.0442255;-35.57807855764607
1739209903.0442297;-38.13080360867914
1739209903.044234;-45.120503652039325
1739209903.0442386;-38.13080360867914
1739209903.0442429;-45.120503652039325
1739209903.0442474;-35.57807855764607
1739209903.0442517;-45.120503652039325
1739209903.044256;-45.120503652039325
1739209903.0442605;-35.57807855764607
1739209903.0442648;-38.13080360867914
1739209903.0442693;-45.120503652039325
1739209903.0442736;-38.13080360867914
1739209903.044278;-35.57807855764607
1739209903.0442824;-45.120503652039325
1739209903.0442867;-32.816014438256545
1739209903.0442913;-31.141103565318893
1739209903.0442955;-45.120503652039325
1739209903.0442998;-45.120503652039325
1739209903.0443044;-45.120503652039325
1739209903.0443087;-45.120503652039325
1739209903.0443132;-45.120503652039325
1739209903.0443175;-38.13080360867914
1739209903.0443218;-45.120503652039325
1739209903.0443263;-45.120503652039325
1739209903.0443306;-38.13080360867914
1739209903.0443351;-45.120503652039325
1739209903.0443394;-45.120503652039325
1739209903.0443437;-45.120503652039325
1739209903.0443482;-38.13080360867914
1739209903.0443525;-45.120503652039325
1739209903.044357;-38.13080360867914
1739209903.0443614;-33.981070128970906
1739209903.0443656;-38.13080360867914
1739209903.0443702;-38.13080360867914
1739209903.0443745;-45.120503652039325
1739209903.044379;-45.120503652039325
1739209903.0443833;-38.13080360867914
1739209903.0443876;-45.120503652039325
1739209903.044392;-35.57807855764607
1739209903.0443964;-31.141103565318893
1739209903.044401;-45.120503652039325
1739209903.0444052;-45.120503652039325
1739209903.0444095;-38.13080360867914
1739209903.044414;-33.981070128970906
1739209903.0444183;-45.120503652039325
1739209903.0444229;-45.120503652039325
1739209903.0444272;-38.13080360867914
1739209903.0444314;-45.120503652039325
1739209903.044436;-45.120503652039325
1739209903.0444403;-45.120503652039325
1739209903.0444448;-45.120503652039325
1739209903.044449;-38.13080360867914
1739209903.0444534;-38.13080360867914
1739209903.044458;-38.13080360867914
1739209903.0444622;-33.981070128970906
1739209903.0444667;-38.13080360867914
1739209903.044471;-45.120503652039325
1739209903.0444753;-33.981070128970906
1739209903.0444798;-45.120503652039325
1739209903.0444841;-38.13080360867914
1739209903.0444887;-35.57807855764607
1739209903.044493;-38.13080360867914
1739209903.0444973;-38.13080360867914
1739209903.0445018;-38.13080360867914
1739209903.044506;-45.120503652039325
1739209903.0445106;-45.120503652039325
1739209903.044515;-45.120503652039325
1739209903.0445192;-45.120503652039325
1739209903.0445237;-45.120503652039325
1739209903.044528;-45.120503652039325
1739209903.0445323;-45.120503652039325
1739209903.0445368;-38.13080360867914
1739209903.0445411;-35.57807855764607
1739209903.0445457;-35.57807855764607
1739209903.04455;-45.120503652039325
1739209903.0445542;-45.120503652039325
1739209903.0445588;-45.120503652039325
1739209903.044563;-45.120503652039325
1739209903.0445676;-38.13080360867914
1739209903.0445719;-45.120503652039325
1739209903.0445762;-38.13080360867914
1739209903.0445807;-35.57807855764607
1739209903.044585;-45.120503652039325
1739209903.0445895;-38.13080360867914
1739209903.0445938;-38.13080360867914
1739209903.044598;-45.120503652039325
1739209903.0446026;-45.120503652039325
1739209903.044607;-38.13080360867914
1739209903.0446115;-33.981070128970906
1739209903.0446157;-33.981070128970906
1739209903.04462;-38.13080360867914
1739209903.0446246;-35.57807855764607
1739209903.0446289;-38.13080360867914
1739209903.0446334;-38.13080360867914
1739209903.0446377;-45.120503652039325
1739209903.044642;-33.981070128970906
1739209903.0446465;-33.981070128970906
1739209903.0446508;-45.120503652039325
1739209903.0446553;-38.13080360867914
1739209903.0446596;-45.120503652039325
1739209903.044664;-35.57807855764607
1739209903.0446684;-35.57807855764607
1739209903.0446727;-38.13080360867914
1739209903.0446773;-33.981070128970906
1739209903.0446815;-30.49652367304973
1739209903.0446858;-45.120503652039325
1739209903.0446904;-45.120503652039325
1739209903.0446947;-45.120503652039325
1739209903.0446992;-33.981070128970906
1739209903.0447035;-38.13080360867914
1739209903.0447078;-38.13080360867914
1739209903.0447123;-33.981070128970906
1739209903.0447166;-33.981070128970906
1739209903.0447211;-38.13080360867914
1739209903.0447254;-45.120503652039325
1739209903.0447297;-45.120503652039325
1739209903.0447342;-38.13080360867914
1739209903.0447385;-45.120503652039325
1739209903.044743;-45.120503652039325
1739209903.0447474;-45.120503652039325
1739209903.0447516;-45.120503652039325
1739209903.0447562;-33.981070128970906
1739209903.0447605;-45.120503652039325
1739209903.044765;-38.13080360867914
1739209903.0447693;-45.120503652039325
1739209903.0447736;-45.120503652039325
1739209903.044778;-38.13080360867914
1739209903.0447824;-38.13080360867914
1739209903.044787;-31.141103565318915
1739209903.0447912;-45.120503652039325
1739209903.0447955;-45.120503652039325
1739209903.0448;-38.13080360867914
1739209903.0448043;-33.981070128970906
1739209903.0448089;-45.120503652039325
1739209903.0448132;-45.120503652039325
1739209903.0448174;-33.981070128970906
1739209903.044822;-32.816014438256545
1739209903.0448263;-35.57807855764607
