CAN Message; 0x62:08ccce777262c858
Timestamp;Amplitude
1739209674.1913593;-38.13080360867914
1739209674.1913667;-45.120503652039325
1739209674.1913738;-38.13080360867914
1739209674.1913812;-45.120503652039325
1739209674.1913884;-38.13080360867914
1739209674.1913958;-38.13080360867914
1739209674.191403;-33.981070128970906
1739209674.1914103;-38.13080360867914
1739209674.1914175;-33.981070128970906
1739209674.1914246;-45.120503652039325
1739209674.191432;-33.981070128970906
1739209674.1914392;-38.13080360867914
1739209674.1914465;-38.13080360867914
1739209674.1914537;-45.120503652039325
1739209674.191461;-38.13080360867914
1739209674.1914682;-38.13080360867914
1739209674.1914756;-45.120503652039325
1739209674.1914828;-45.120503652039325
1739209674.19149;-38.13080360867914
1739209674.1914973;-38.13080360867914
1739209674.1915045;-38.13080360867914
1739209674.1915119;-45.120503652039325
1739209674.191519;-31.141103565318915
1739209674.1915264;-33.981070128970906
1739209674.1915336;-38.13080360867914
1739209674.191541;-45.120503652039325
1739209674.191548;-45.120503652039325
1739209674.1915553;-45.120503652039325
1739209674.1915627;-45.120503652039325
1739209674.1915698;-38.13080360867914
1739209674.1915772;-38.13080360867914
1739209674.1915843;-45.120503652039325
1739209674.1915917;-35.57807855764607
1739209674.191599;-33.981070128970906
1739209674.1916063;-38.13080360867914
1739209674.1916134;-38.13080360867914
1739209674.1916206;-38.13080360867914
1739209674.191628;-45.120503652039325
1739209674.1916351;-38.13080360867914
1739209674.1916425;-45.120503652039325
1739209674.1916497;-45.120503652039325
1739209674.191657;-45.120503652039325
1739209674.1916642;-33.981070128970906
1739209674.1916716;-31.141103565318915
1739209674.1916788;-45.120503652039325
1739209674.191686;-45.120503652039325
1739209674.1916933;-33.981070128970906
1739209674.1917005;-45.120503652039325
1739209674.1917078;-45.120503652039325
1739209674.191715;-33.981070128970906
1739209674.1917224;-38.13080360867914
1739209674.1917295;-32.81601443825658
1739209674.191737;-38.13080360867914
1739209674.191744;-45.120503652039325
1739209674.1917512;-45.120503652039325
1739209674.1917586;-45.120503652039325
1739209674.1917658;-38.13080360867914
1739209674.1917732;-38.13080360867914
1739209674.1917803;-31.141103565318915
1739209674.1917877;-28.992665084841942
1739209674.1917949;-45.120503652039325
1739209674.1918023;-38.13080360867914
1739209674.1918094;-38.13080360867914
1739209674.1918168;-38.13080360867914
1739209674.191824;-45.120503652039325
1739209674.191831;-38.13080360867914
1739209674.1918385;-38.13080360867914
1739209674.1918457;-35.57807855764607
1739209674.191853;-38.13080360867914
1739209674.1918602;-35.57807855764607
1739209674.1918676;-38.13080360867914
1739209674.1918747;-45.120503652039325
1739209674.1918821;-38.13080360867914
1739209674.1918893;-35.57807855764607
1739209674.1918964;-35.57807855764607
1739209674.1919038;-38.13080360867914
1739209674.191911;-45.120503652039325
1739209674.1919184;-38.13080360867914
1739209674.1919255;-35.57807855764607
1739209674.191933;-45.120503652039325
1739209674.19194;-38.13080360867914
1739209674.1919475;-38.13080360867914
1739209674.1919546;-38.13080360867914
1739209674.1919618;-38.13080360867914
1739209674.1919692;-33.981070128970906
1739209674.1919763;-45.120503652039325
1739209674.1919837;-38.13080360867914
1739209674.1919909;-38.13080360867914
1739209674.1919982;-38.13080360867914
1739209674.1920054;-33.981070128970906
1739209674.1920128;-38.13080360867914
1739209674.19202;-45.120503652039325
1739209674.192027;-38.13080360867914
1739209674.1920345;-38.13080360867914
1739209674.1920416;-45.120503652039325
1739209674.192049;-45.120503652039325
1739209674.1920562;-38.13080360867914
1739209674.1920636;-35.57807855764607
1739209674.1920707;-35.57807855764607
1739209674.192078;-28.58837851428586
1739209674.1920853;-38.13080360867914
1739209674.1920924;-35.57807855764607
1739209674.1920998;-38.13080360867914
1739209674.192107;-45.120503652039325
1739209674.1921144;-45.120503652039325
1739209674.1921215;-45.120503652039325
1739209674.192129;-45.120503652039325
1739209674.192136;-33.981070128970956
1739209674.1921434;-45.120503652039325
1739209674.1921506;-35.57807855764607
1739209674.1921577;-45.120503652039325
1739209674.1921651;-45.120503652039325
1739209674.1921723;-38.13080360867914
1739209674.1921797;-38.13080360867914
1739209674.1921868;-38.13080360867914
1739209674.1921942;-26.991370085610736
1739209674.1922014;-32.816014438256545
1739209674.1922088;-45.120503652039325
1739209674.192216;-38.13080360867914
1739209674.192223;-32.816014438256545
1739209674.1922305;-45.120503652039325
1739209674.1922376;-45.120503652039325
1739209674.192245;-45.120503652039325
1739209674.1922522;-45.120503652039325
1739209674.1922596;-45.120503652039325
1739209674.1922667;-45.120503652039325
1739209674.192274;-38.13080360867914
1739209674.1922812;-32.816014438256545
1739209674.1922884;-38.13080360867914
1739209674.1922958;-45.120503652039325
1739209674.192303;-45.120503652039325
1739209674.1923103;-31.141103565318893
1739209674.1923175;-33.981070128970906
1739209674.1923249;-45.120503652039325
1739209674.192332;-38.13080360867914
1739209674.1923394;-45.120503652039325
1739209674.1923466;-45.120503652039325
1739209674.1923537;-38.13080360867914
1739209674.192361;-38.13080360867914
1739209674.1923683;-35.57807855764607
1739209674.1923757;-38.13080360867914
1739209674.1923828;-45.120503652039325
1739209674.1923902;-38.13080360867914
1739209674.1923974;-38.13080360867914
1739209674.1924047;-38.13080360867914
1739209674.192412;-45.120503652039325
1739209674.192419;-38.13080360867914
1739209674.1924264;-38.13080360867914
1739209674.1924336;-38.13080360867914
1739209674.192441;-32.816014438256545
1739209674.1924481;-38.13080360867914
1739209674.1924555;-45.120503652039325
1739209674.1924627;-38.13080360867914
1739209674.19247;-38.13080360867914
1739209674.1924772;-45.120503652039325
1739209674.1924844;-35.57807855764607
1739209674.1924918;-35.57807855764607
1739209674.192499;-45.120503652039325
1739209674.1925063;-38.13080360867914
1739209674.1925135;-35.57807855764607
1739209674.1925209;-32.816014438256545
1739209674.192528;-45.120503652039325
1739209674.1925354;-38.13080360867914
1739209674.1925426;-38.13080360867914
1739209674.1925497;-38.13080360867914
1739209674.192557;-35.57807855764607
1739209674.1925642;-38.13080360867914
1739209674.1925716;-45.120503652039325
1739209674.1925788;-45.120503652039325
1739209674.1925862;-35.57807855764607
1739209674.1925933;-38.13080360867914
1739209674.1926007;-38.13080360867914
1739209674.1926079;-32.816014438256545
1739209674.192615;-38.13080360867914
1739209674.1926224;-38.13080360867914
1739209674.1926296;-32.816014438256545
1739209674.192637;-38.13080360867914
1739209674.1926441;-38.13080360867914
1739209674.1926515;-31.141103565318915
1739209674.1926587;-45.120503652039325
1739209674.192666;-45.120503652039325
1739209674.1926732;-45.120503652039325
1739209674.1926804;-45.120503652039325
1739209674.1926877;-45.120503652039325
1739209674.192695;-45.120503652039325
1739209674.1927023;-45.120503652039325
1739209674.1927094;-45.120503652039325
1739209674.1927168;-38.13080360867914
1739209674.192724;-35.57807855764607
1739209674.1927314;-38.13080360867914
1739209674.1927385;-38.13080360867914
1739209674.1927457;-45.120503652039325
1739209674.192753;-33.981070128970906
1739209674.1927602;-33.981070128970906
1739209674.1927676;-31.141103565318915
1739209674.1927748;-45.120503652039325
1739209674.1927822;-45.120503652039325
1739209674.1927893;-35.57807855764607
