CAN Message; 0x1b8:0000df5c0039a81b
Timestamp;Amplitude
1739209753.0047843;-38.13080360867914
1739209753.0047922;-38.13080360867914
1739209753.0047998;-38.13080360867914
1739209753.0048075;-38.13080360867914
1739209753.004815;-38.13080360867914
1739209753.004823;-45.120503652039325
1739209753.0048306;-38.13080360867914
1739209753.0048382;-32.816014438256545
1739209753.004846;-32.816014438256545
1739209753.0048537;-45.120503652039325
1739209753.0048614;-38.13080360867914
1739209753.004869;-38.13080360867914
1739209753.0048769;-38.13080360867914
1739209753.0048845;-38.13080360867914
1739209753.004892;-33.981070128970906
1739209753.0049;-32.816014438256545
1739209753.0049076;-33.981070128970906
1739209753.0049152;-45.120503652039325
1739209753.0049229;-33.981070128970906
1739209753.0049307;-33.981070128970906
1739209753.0049384;-33.981070128970906
1739209753.004946;-45.120503652039325
1739209753.0049539;-45.120503652039325
1739209753.0049615;-45.120503652039325
1739209753.0049691;-45.120503652039325
1739209753.004977;-45.120503652039325
1739209753.0049846;-45.120503652039325
1739209753.0049922;-33.981070128970906
1739209753.0049999;-32.816014438256545
1739209753.0050077;-45.120503652039325
1739209753.0050154;-31.141103565318915
1739209753.005023;-28.992665084841942
1739209753.0050309;-38.13080360867914
1739209753.0050385;-38.13080360867914
1739209753.0050461;-38.13080360867914
1739209753.0050538;-38.13080360867914
1739209753.0050616;-45.120503652039325
1739209753.0050693;-32.816014438256545
1739209753.005077;-33.981070128970906
1739209753.0050848;-38.13080360867914
1739209753.0050924;-38.13080360867914
1739209753.0051;-38.13080360867914
1739209753.0051076;-45.120503652039325
1739209753.0051155;-38.13080360867914
1739209753.0051231;-38.13080360867914
1739209753.0051308;-35.57807855764607
1739209753.0051386;-32.816014438256545
1739209753.0051463;-38.13080360867914
1739209753.005154;-38.13080360867914
1739209753.0051615;-45.120503652039325
1739209753.0051694;-45.120503652039325
1739209753.005177;-38.13080360867914
1739209753.0051847;-45.120503652039325
1739209753.0051925;-45.120503652039325
1739209753.0052001;-38.13080360867914
1739209753.0052078;-38.13080360867914
1739209753.0052154;-45.120503652039325
1739209753.0052233;-38.13080360867914
1739209753.005231;-35.57807855764607
1739209753.0052385;-31.141103565318915
1739209753.0052464;-45.120503652039325
1739209753.005254;-45.120503652039325
1739209753.0052617;-45.120503652039325
1739209753.0052695;-45.120503652039325
1739209753.0052772;-45.120503652039325
1739209753.0052848;-45.120503652039325
1739209753.0052924;-38.13080360867914
1739209753.0053003;-38.13080360867914
1739209753.005308;-33.981070128970906
1739209753.0053155;-45.120503652039325
1739209753.0053234;-38.13080360867914
1739209753.005331;-31.141103565318915
1739209753.0053387;-45.120503652039325
1739209753.0053463;-45.120503652039325
1739209753.0053542;-45.120503652039325
1739209753.0053618;-38.13080360867914
1739209753.0053694;-38.13080360867914
1739209753.0053773;-38.13080360867914
1739209753.005385;-38.13080360867914
1739209753.0053926;-35.57807855764607
1739209753.0054002;-35.57807855764607
1739209753.005408;-38.13080360867914
1739209753.0054157;-38.13080360867914
1739209753.0054233;-32.816014438256545
1739209753.0054312;-38.13080360867914
1739209753.0054388;-45.120503652039325
1739209753.0054464;-45.120503652039325
1739209753.005454;-45.120503652039325
1739209753.005462;-35.57807855764607
1739209753.0054696;-38.13080360867914
1739209753.0054772;-38.13080360867914
1739209753.005485;-45.120503652039325
1739209753.0054927;-45.120503652039325
1739209753.0055003;-33.981070128970906
1739209753.005508;-38.13080360867914
1739209753.0055158;-45.120503652039325
1739209753.0055234;-45.120503652039325
1739209753.005531;-32.816014438256545
1739209753.005539;-38.13080360867914
1739209753.0055466;-35.57807855764607
1739209753.0055542;-45.120503652039325
1739209753.0055618;-38.13080360867914
1739209753.0055697;-45.120503652039325
1739209753.0055773;-45.120503652039325
1739209753.005585;-32.816014438256545
1739209753.0055928;-35.57807855764607
1739209753.0056005;-38.13080360867914
1739209753.005608;-45.120503652039325
1739209753.005616;-38.13080360867914
1739209753.0056236;-38.13080360867914
1739209753.0056312;-38.13080360867914
1739209753.0056388;-38.13080360867914
1739209753.0056467;-45.120503652039325
1739209753.0056543;-38.13080360867914
1739209753.005662;-38.13080360867914
1739209753.0056698;-45.120503652039325
1739209753.0056775;-45.120503652039325
1739209753.005685;-38.13080360867914
1739209753.0056927;-38.13080360867914
1739209753.0057006;-35.57807855764607
1739209753.0057082;-33.981070128970906
1739209753.0057158;-45.120503652039325
