CAN Message; 0x1bb:00009e9da110288a
Timestamp;Amplitude
1739209831.5533693;-45.120503652039325
1739209831.5533721;-38.13080360867914
1739209831.5533752;-45.120503652039325
1739209831.553378;-45.120503652039325
1739209831.553381;-33.981070128970906
1739209831.5533838;-45.120503652039325
1739209831.5533867;-32.816014438256545
1739209831.5533895;-33.981070128970906
1739209831.5533926;-45.120503652039325
1739209831.5533955;-45.120503652039325
1739209831.5533984;-45.120503652039325
1739209831.5534012;-35.57807855764607
1739209831.553404;-45.120503652039325
1739209831.553407;-45.120503652039325
1739209831.55341;-45.120503652039325
1739209831.553413;-45.120503652039325
1739209831.5534158;-38.13080360867914
1739209831.5534186;-38.13080360867914
1739209831.5534215;-45.120503652039325
1739209831.5534246;-45.120503652039325
1739209831.5534275;-35.57807855764607
1739209831.5534303;-45.120503652039325
1739209831.5534332;-45.120503652039325
1739209831.553436;-38.13080360867914
1739209831.553439;-33.981070128970906
1739209831.553442;-35.57807855764607
1739209831.5534449;-38.13080360867914
1739209831.5534477;-38.13080360867914
1739209831.5534506;-38.13080360867914
1739209831.5534534;-38.13080360867914
1739209831.5534565;-45.120503652039325
1739209831.5534594;-31.141103565318893
1739209831.5534623;-45.120503652039325
1739209831.5534651;-45.120503652039325
1739209831.553468;-38.13080360867914
1739209831.5534708;-33.981070128970906
1739209831.553474;-38.13080360867914
1739209831.5534768;-38.13080360867914
1739209831.5534797;-45.120503652039325
1739209831.5534825;-38.13080360867914
1739209831.5534854;-38.13080360867914
1739209831.5534883;-35.57807855764607
1739209831.5534914;-38.13080360867914
1739209831.5534942;-45.120503652039325
1739209831.553497;-33.981070128970906
1739209831.5535;-45.120503652039325
1739209831.5535028;-35.57807855764607
1739209831.553506;-31.141103565318893
1739209831.5535088;-38.13080360867914
1739209831.5535116;-35.57807855764607
1739209831.5535145;-38.13080360867914
1739209831.5535173;-38.13080360867914
1739209831.5535202;-45.120503652039325
1739209831.5535233;-38.13080360867914
1739209831.5535262;-45.120503652039325
1739209831.553529;-38.13080360867914
1739209831.553532;-38.13080360867914
1739209831.5535347;-45.120503652039325
1739209831.5535376;-45.120503652039325
1739209831.5535407;-45.120503652039325
1739209831.5535436;-38.13080360867914
1739209831.5535464;-45.120503652039325
1739209831.5535493;-35.57807855764607
1739209831.5535522;-38.13080360867914
1739209831.5535553;-45.120503652039325
1739209831.553558;-45.120503652039325
1739209831.553561;-33.981070128970906
1739209831.5535638;-38.13080360867914
1739209831.5535667;-35.57807855764607
1739209831.5535696;-35.57807855764607
1739209831.5535727;-38.13080360867914
1739209831.5535755;-29.438486411369333
1739209831.5535784;-38.13080360867914
1739209831.5535812;-35.57807855764607
1739209831.553584;-38.13080360867914
1739209831.5535872;-30.49652367304973
1739209831.55359;-38.13080360867914
1739209831.553593;-45.120503652039325
1739209831.5535958;-45.120503652039325
1739209831.5535986;-38.13080360867914
1739209831.5536015;-45.120503652039325
1739209831.5536046;-38.13080360867914
1739209831.5536075;-38.13080360867914
1739209831.5536103;-38.13080360867914
1739209831.5536132;-38.13080360867914
1739209831.553616;-45.120503652039325
1739209831.553619;-45.120503652039325
1739209831.553622;-38.13080360867914
1739209831.5536249;-38.13080360867914
1739209831.5536277;-45.120503652039325
1739209831.5536306;-45.120503652039325
1739209831.5536335;-45.120503652039325
1739209831.5536366;-38.13080360867914
1739209831.5536394;-38.13080360867914
1739209831.5536423;-38.13080360867914
1739209831.5536451;-33.981070128970906
1739209831.553648;-35.57807855764607
1739209831.5536509;-38.13080360867914
1739209831.553654;-38.13080360867914
1739209831.5536568;-35.57807855764607
1739209831.5536597;-45.120503652039325
1739209831.5536625;-35.57807855764607
1739209831.5536654;-38.13080360867914
1739209831.5536683;-45.120503652039325
1739209831.5536714;-38.13080360867914
1739209831.5536742;-38.13080360867914
1739209831.553677;-45.120503652039325
1739209831.55368;-45.120503652039325
1739209831.5536828;-45.120503652039325
1739209831.553686;-45.120503652039325
1739209831.5536888;-45.120503652039325
1739209831.5536916;-38.13080360867914
1739209831.5536945;-38.13080360867914
1739209831.5536973;-45.120503652039325
1739209831.5537002;-38.13080360867914
1739209831.5537033;-45.120503652039325
1739209831.5537062;-38.13080360867914
1739209831.553709;-38.13080360867914
1739209831.553712;-38.13080360867914
1739209831.5537148;-45.120503652039325
1739209831.5537179;-33.981070128970906
1739209831.5537207;-45.120503652039325
1739209831.5537236;-38.13080360867914
1739209831.5537264;-45.120503652039325
1739209831.5537293;-38.13080360867914
1739209831.5537322;-45.120503652039325
1739209831.5537353;-45.120503652039325
1739209831.553738;-45.120503652039325
1739209831.553741;-38.13080360867914
1739209831.5537438;-35.57807855764607
1739209831.5537467;-38.13080360867914
1739209831.5537496;-45.120503652039325
1739209831.5537527;-45.120503652039325
1739209831.5537555;-45.120503652039325
1739209831.5537584;-45.120503652039325
1739209831.5537612;-45.120503652039325
1739209831.553764;-31.141103565318915
1739209831.5537672;-38.13080360867914
1739209831.55377;-45.120503652039325
1739209831.553773;-45.120503652039325
1739209831.5537758;-33.981070128970906
1739209831.5537786;-38.13080360867914
1739209831.5537815;-38.13080360867914
1739209831.5537846;-45.120503652039325
1739209831.5537875;-38.13080360867914
1739209831.5537903;-45.120503652039325
1739209831.5537932;-45.120503652039325
1739209831.553796;-38.13080360867914
1739209831.553799;-38.13080360867914
1739209831.553802;-35.57807855764607
1739209831.5538049;-45.120503652039325
1739209831.5538077;-45.120503652039325
1739209831.5538106;-33.981070128970906
1739209831.5538135;-45.120503652039325
1739209831.5538166;-45.120503652039325
1739209831.5538194;-45.120503652039325
1739209831.5538223;-45.120503652039325
1739209831.5538251;-45.120503652039325
1739209831.553828;-35.57807855764607
1739209831.5538309;-35.57807855764607
1739209831.553834;-31.141103565318915
1739209831.5538368;-45.120503652039325
1739209831.5538397;-38.13080360867914
1739209831.5538425;-35.57807855764607
1739209831.5538454;-38.13080360867914
1739209831.5538485;-33.981070128970906
1739209831.5538514;-35.57807855764607
1739209831.5538542;-35.57807855764607
1739209831.553857;-31.14110356531892
1739209831.55386;-45.120503652039325
1739209831.5538628;-38.13080360867914
1739209831.553866;-35.57807855764607
