CAN Message; 0x24:023deee1185c9de8
Timestamp;Amplitude
1739209789.307053;-38.13080360867914
1739209789.307055;-45.120503652039325
1739209789.3070571;-38.13080360867914
1739209789.307059;-45.120503652039325
1739209789.3070612;-38.13080360867914
1739209789.307063;-38.13080360867914
1739209789.3070652;-45.120503652039325
1739209789.3070674;-38.13080360867914
1739209789.3070693;-32.816014438256545
1739209789.3070714;-35.57807855764607
1739209789.3070734;-38.13080360867914
1739209789.3070755;-38.13080360867914
1739209789.3070774;-35.57807855764607
1739209789.3070796;-38.13080360867914
1739209789.3070817;-38.13080360867914
1739209789.3070836;-33.981070128970906
1739209789.3070858;-45.120503652039325
1739209789.3070877;-45.120503652039325
1739209789.3070898;-38.13080360867914
1739209789.3070917;-38.13080360867914
1739209789.3070939;-38.13080360867914
1739209789.307096;-38.13080360867914
1739209789.307098;-38.13080360867914
1739209789.3071;-45.120503652039325
1739209789.307102;-45.120503652039325
1739209789.307104;-38.13080360867914
1739209789.307106;-38.13080360867914
1739209789.3071082;-33.981070128970906
1739209789.3071103;-45.120503652039325
1739209789.3071122;-33.981070128970906
1739209789.3071144;-38.13080360867914
1739209789.3071163;-38.13080360867914
1739209789.3071184;-38.13080360867914
1739209789.3071203;-45.120503652039325
1739209789.3071225;-35.57807855764607
1739209789.3071246;-38.13080360867914
1739209789.3071265;-45.120503652039325
1739209789.3071287;-38.13080360867914
1739209789.3071306;-45.120503652039325
1739209789.3071327;-38.13080360867914
1739209789.3071346;-45.120503652039325
1739209789.3071368;-45.120503652039325
1739209789.307139;-45.120503652039325
1739209789.3071408;-38.13080360867914
1739209789.307143;-45.120503652039325
1739209789.3071449;-33.981070128970906
1739209789.307147;-45.120503652039325
1739209789.307149;-33.981070128970906
1739209789.307151;-32.816014438256545
1739209789.3071532;-38.13080360867914
1739209789.3071551;-38.13080360867914
1739209789.3071573;-38.13080360867914
1739209789.3071592;-45.120503652039325
1739209789.3071613;-38.13080360867914
1739209789.3071632;-32.816014438256545
1739209789.3071654;-38.13080360867914
1739209789.3071675;-45.120503652039325
1739209789.3071694;-45.120503652039325
1739209789.3071716;-45.120503652039325
1739209789.3071735;-38.13080360867914
1739209789.3071756;-38.13080360867914
1739209789.3071775;-38.13080360867914
1739209789.3071797;-45.120503652039325
1739209789.3071818;-38.13080360867914
1739209789.3071837;-35.57807855764607
1739209789.307186;-45.120503652039325
1739209789.3071878;-45.120503652039325
1739209789.30719;-33.981070128970906
1739209789.3071918;-45.120503652039325
1739209789.307194;-38.13080360867914
1739209789.3071961;-33.981070128970906
1739209789.307198;-45.120503652039325
1739209789.3072002;-38.13080360867914
1739209789.307202;-38.13080360867914
1739209789.3072042;-45.120503652039325
1739209789.3072062;-45.120503652039325
1739209789.3072083;-45.120503652039325
1739209789.3072104;-38.13080360867914
1739209789.3072124;-45.120503652039325
1739209789.3072145;-38.13080360867914
1739209789.3072164;-33.981070128970906
1739209789.3072186;-45.120503652039325
1739209789.3072205;-45.120503652039325
1739209789.3072226;-45.120503652039325
1739209789.3072248;-45.120503652039325
1739209789.3072267;-38.13080360867914
1739209789.3072288;-38.13080360867914
1739209789.3072307;-38.13080360867914
1739209789.3072329;-45.120503652039325
1739209789.3072348;-45.120503652039325
1739209789.307237;-38.13080360867914
1739209789.307239;-45.120503652039325
1739209789.307241;-38.13080360867914
1739209789.307243;-45.120503652039325
1739209789.307245;-38.13080360867914
1739209789.3072472;-38.13080360867914
1739209789.307249;-38.13080360867914
1739209789.3072512;-38.13080360867914
1739209789.3072534;-45.120503652039325
1739209789.3072553;-45.120503652039325
1739209789.3072574;-33.981070128970906
1739209789.3072593;-45.120503652039325
1739209789.3072615;-45.120503652039325
1739209789.3072634;-38.13080360867914
1739209789.3072655;-45.120503652039325
1739209789.3072677;-35.57807855764607
1739209789.3072696;-38.13080360867914
1739209789.3072717;-45.120503652039325
1739209789.3072736;-45.120503652039325
1739209789.3072758;-38.13080360867914
1739209789.3072777;-45.120503652039325
1739209789.3072798;-33.981070128970906
1739209789.307282;-45.120503652039325
1739209789.3072839;-45.120503652039325
1739209789.307286;-45.120503652039325
1739209789.307288;-45.120503652039325
1739209789.30729;-45.120503652039325
1739209789.307292;-38.13080360867914
1739209789.3072941;-35.57807855764607
1739209789.3072963;-38.13080360867914
1739209789.3072982;-45.120503652039325
1739209789.3073003;-33.981070128970906
1739209789.3073022;-32.816014438256545
1739209789.3073044;-33.981070128970906
1739209789.3073063;-38.13080360867914
1739209789.3073084;-38.13080360867914
1739209789.3073106;-35.57807855764607
1739209789.3073125;-45.120503652039325
1739209789.3073146;-45.120503652039325
1739209789.3073165;-38.13080360867914
1739209789.3073187;-38.13080360867914
1739209789.3073206;-35.57807855764607
1739209789.3073227;-38.13080360867914
1739209789.307325;-38.13080360867914
1739209789.3073268;-45.120503652039325
1739209789.307329;-45.120503652039325
1739209789.3073308;-45.120503652039325
1739209789.307333;-38.13080360867914
1739209789.307335;-38.13080360867914
1739209789.307337;-32.816014438256545
1739209789.3073392;-38.13080360867914
1739209789.307341;-38.13080360867914
1739209789.3073432;-38.13080360867914
1739209789.3073452;-38.13080360867914
1739209789.3073473;-35.57807855764607
1739209789.3073492;-38.13080360867914
1739209789.3073514;-45.120503652039325
1739209789.3073535;-45.120503652039325
1739209789.3073554;-45.120503652039325
1739209789.3073575;-33.981070128970906
1739209789.3073595;-38.13080360867914
1739209789.3073616;-38.13080360867914
1739209789.3073635;-45.120503652039325
1739209789.3073657;-38.13080360867914
1739209789.3073678;-45.120503652039325
1739209789.3073697;-38.13080360867914
1739209789.3073719;-38.13080360867914
1739209789.3073738;-38.13080360867914
1739209789.307376;-38.13080360867914
1739209789.3073778;-45.120503652039325
1739209789.30738;-32.816014438256545
1739209789.307382;-38.13080360867914
1739209789.307384;-45.120503652039325
1739209789.3073862;-45.120503652039325
1739209789.307388;-38.13080360867914
1739209789.3073902;-33.981070128970906
1739209789.3073921;-45.120503652039325
1739209789.3073943;-45.120503652039325
1739209789.3073964;-45.120503652039325
1739209789.3073983;-33.981070128970906
1739209789.3074005;-45.120503652039325
