CAN Message; 0x1b8:000014135c3ee27e
Timestamp;Amplitude
1739209785.876979;-45.120503652039325
1739209785.8769903;-33.981070128970906
1739209785.8770013;-45.120503652039325
1739209785.8770123;-45.120503652039325
1739209785.8770235;-45.120503652039325
1739209785.8770344;-38.13080360867914
1739209785.8770454;-38.13080360867914
1739209785.8770566;-38.13080360867914
1739209785.8770676;-33.981070128970906
1739209785.8770785;-38.13080360867914
1739209785.8770897;-38.13080360867914
1739209785.8771007;-38.13080360867914
1739209785.8771117;-45.120503652039325
1739209785.8771229;-38.13080360867914
1739209785.8771338;-35.57807855764607
1739209785.8771448;-35.57807855764607
1739209785.877156;-45.120503652039325
1739209785.877167;-38.13080360867914
1739209785.877178;-33.981070128970906
1739209785.8771892;-38.13080360867914
1739209785.8772001;-45.120503652039325
1739209785.877211;-38.13080360867914
1739209785.8772223;-45.120503652039325
1739209785.8772333;-38.13080360867914
1739209785.8772442;-38.13080360867914
1739209785.8772554;-38.13080360867914
1739209785.8772664;-32.816014438256545
1739209785.8772774;-38.13080360867914
1739209785.8772886;-45.120503652039325
1739209785.8772995;-45.120503652039325
1739209785.8773105;-35.57807855764607
1739209785.8773217;-35.57807855764607
1739209785.8773327;-45.120503652039325
1739209785.8773437;-45.120503652039325
1739209785.8773549;-33.981070128970906
1739209785.8773658;-38.13080360867914
1739209785.8773768;-45.120503652039325
1739209785.877388;-45.120503652039325
1739209785.877399;-45.120503652039325
1739209785.87741;-45.120503652039325
1739209785.8774211;-45.120503652039325
1739209785.877432;-45.120503652039325
1739209785.877443;-45.120503652039325
1739209785.8774543;-45.120503652039325
1739209785.8774652;-45.120503652039325
1739209785.8774762;-45.120503652039325
1739209785.8774874;-38.13080360867914
1739209785.8774984;-45.120503652039325
1739209785.8775094;-45.120503652039325
1739209785.8775206;-45.120503652039325
1739209785.8775315;-35.57807855764607
1739209785.8775425;-32.816014438256545
1739209785.8775537;-45.120503652039325
1739209785.8775647;-45.120503652039325
1739209785.8775756;-38.13080360867914
1739209785.8775868;-38.13080360867914
1739209785.8775978;-38.13080360867914
1739209785.8776088;-35.57807855764607
1739209785.87762;-45.120503652039325
1739209785.877631;-45.120503652039325
1739209785.877642;-45.120503652039325
1739209785.8776531;-45.120503652039325
1739209785.877664;-45.120503652039325
1739209785.877675;-45.120503652039325
1739209785.8776863;-35.57807855764607
1739209785.8776972;-38.13080360867914
1739209785.8777082;-33.981070128970906
1739209785.8777194;-32.816014438256545
1739209785.8777304;-45.120503652039325
1739209785.8777413;-45.120503652039325
1739209785.8777525;-32.816014438256545
1739209785.8777635;-32.816014438256545
1739209785.8777745;-45.120503652039325
1739209785.8777854;-45.120503652039325
1739209785.8777966;-45.120503652039325
1739209785.8778076;-38.13080360867914
1739209785.8778186;-38.13080360867914
1739209785.8778298;-33.981070128970906
1739209785.8778408;-45.120503652039325
1739209785.8778517;-45.120503652039325
1739209785.877863;-32.816014438256545
1739209785.877874;-33.981070128970906
1739209785.8778849;-45.120503652039325
1739209785.877896;-38.13080360867914
1739209785.877907;-33.981070128970906
1739209785.877918;-38.13080360867914
1739209785.8779292;-35.57807855764607
1739209785.8779402;-38.13080360867914
1739209785.8779511;-38.13080360867914
1739209785.8779624;-38.13080360867914
1739209785.8779733;-32.816014438256545
1739209785.8779843;-30.49652367304973
1739209785.8779955;-45.120503652039325
1739209785.8780065;-33.981070128970906
1739209785.8780174;-45.120503652039325
1739209785.8780286;-38.13080360867914
1739209785.8780396;-38.13080360867914
1739209785.8780506;-33.981070128970906
1739209785.8780618;-45.120503652039325
1739209785.8780727;-38.13080360867914
1739209785.8780837;-35.57807855764607
1739209785.878095;-35.57807855764607
1739209785.8781059;-45.120503652039325
1739209785.8781168;-45.120503652039325
1739209785.878128;-45.120503652039325
1739209785.878139;-45.120503652039325
1739209785.87815;-45.120503652039325
1739209785.8781612;-45.120503652039325
1739209785.8781722;-35.57807855764607
1739209785.8781831;-35.57807855764607
1739209785.8781943;-45.120503652039325
1739209785.8782053;-45.120503652039325
1739209785.8782163;-38.13080360867914
1739209785.8782275;-38.13080360867914
1739209785.8782384;-38.13080360867914
1739209785.8782494;-27.267205301931607
1739209785.8782606;-38.13080360867914
1739209785.8782716;-38.13080360867914
1739209785.8782825;-38.13080360867914
1739209785.8782938;-35.57807855764607
1739209785.8783047;-38.13080360867914
1739209785.8783157;-45.120503652039325
1739209785.878327;-45.120503652039325
1739209785.8783379;-38.13080360867914
1739209785.8783488;-45.120503652039325
1739209785.87836;-38.13080360867914
1739209785.878371;-38.13080360867914
1739209785.878382;-45.120503652039325
1739209785.8783932;-45.120503652039325
1739209785.8784041;-45.120503652039325
1739209785.878415;-45.120503652039325
1739209785.8784263;-31.141103565318915
1739209785.8784373;-38.13080360867914
1739209785.8784482;-38.13080360867914
1739209785.8784595;-45.120503652039325
1739209785.8784704;-38.13080360867914
1739209785.8784814;-45.120503652039325
1739209785.8784926;-45.120503652039325
1739209785.8785036;-35.57807855764607
1739209785.8785145;-31.141103565318915
