CAN Message; 0x1bb:00004a113809656a
Timestamp;Amplitude
1739209633.6938736;-45.120503652039325
1739209633.6938853;-45.120503652039325
1739209633.6938972;-38.13080360867914
1739209633.6939092;-45.120503652039325
1739209633.6939209;-45.120503652039325
1739209633.6939328;-45.120503652039325
1739209633.6939447;-45.120503652039325
1739209633.6939564;-45.120503652039325
1739209633.6939683;-28.21854285175415
1739209633.6939802;-27.8777449560314
1739209633.693992;-45.120503652039325
1739209633.6940038;-35.57807855764607
1739209633.6940157;-45.120503652039325
1739209633.6940274;-32.816014438256545
1739209633.6940393;-45.120503652039325
1739209633.6940513;-45.120503652039325
1739209633.694063;-45.120503652039325
1739209633.6940749;-33.981070128970956
1739209633.6940868;-35.57807855764607
1739209633.6940985;-45.120503652039325
1739209633.6941104;-38.13080360867914
1739209633.6941223;-45.120503652039325
1739209633.694134;-45.120503652039325
1739209633.694146;-45.120503652039325
1739209633.6941578;-31.141103565318893
1739209633.6941698;-28.992665084841942
1739209633.6941814;-45.120503652039325
1739209633.6941934;-45.120503652039325
1739209633.6942053;-38.13080360867914
1739209633.694217;-32.816014438256545
1739209633.694229;-38.13080360867914
1739209633.6942408;-45.120503652039325
1739209633.6942525;-45.120503652039325
1739209633.6942644;-38.13080360867914
1739209633.6942763;-38.13080360867914
1739209633.694288;-45.120503652039325
1739209633.6943;-45.120503652039325
1739209633.6943119;-45.120503652039325
1739209633.6943235;-38.13080360867914
1739209633.6943355;-45.120503652039325
1739209633.6943474;-45.120503652039325
1739209633.694359;-38.13080360867914
1739209633.694371;-45.120503652039325
1739209633.694383;-45.120503652039325
1739209633.6943946;-45.120503652039325
1739209633.6944065;-45.120503652039325
1739209633.6944184;-45.120503652039325
1739209633.69443;-45.120503652039325
1739209633.694442;-38.13080360867914
1739209633.694454;-33.981070128970906
1739209633.6944656;-45.120503652039325
1739209633.6944776;-45.120503652039325
1739209633.6944895;-45.120503652039325
1739209633.6945012;-38.13080360867914
1739209633.694513;-38.13080360867914
1739209633.694525;-38.13080360867914
1739209633.6945367;-45.120503652039325
1739209633.6945486;-32.816014438256545
1739209633.6945605;-38.13080360867914
1739209633.6945722;-45.120503652039325
1739209633.6945841;-45.120503652039325
1739209633.694596;-38.13080360867914
1739209633.6946077;-35.57807855764607
1739209633.6946197;-38.13080360867914
1739209633.6946316;-45.120503652039325
1739209633.6946433;-28.992665084841942
1739209633.6946552;-38.13080360867914
1739209633.694667;-38.13080360867914
1739209633.6946788;-45.120503652039325
1739209633.6946907;-38.13080360867914
1739209633.6947026;-38.13080360867914
1739209633.6947145;-45.120503652039325
1739209633.6947262;-45.120503652039325
1739209633.6947381;-29.438486411369347
1739209633.69475;-33.981070128970906
1739209633.6947618;-38.13080360867914
1739209633.6947737;-38.13080360867914
1739209633.6947856;-38.13080360867914
1739209633.6947973;-45.120503652039325
1739209633.6948092;-45.120503652039325
1739209633.6948211;-45.120503652039325
1739209633.6948328;-31.141103565318915
1739209633.6948447;-38.13080360867914
1739209633.6948566;-45.120503652039325
1739209633.6948683;-35.57807855764607
1739209633.6948802;-35.57807855764607
1739209633.6948922;-38.13080360867914
1739209633.6949039;-38.13080360867914
1739209633.6949158;-45.120503652039325
