CAN Message; 0x24:0e8e1563a80e3e23
Timestamp;Amplitude
1739209626.784154;-38.13080360867914
1739209626.78416;-45.120503652039325
1739209626.7841659;-38.13080360867914
1739209626.7841718;-32.816014438256545
1739209626.7841778;-32.81601443825658
1739209626.7841837;-45.120503652039325
1739209626.7841897;-38.13080360867914
1739209626.7841957;-38.13080360867914
1739209626.7842016;-38.13080360867914
1739209626.7842076;-45.120503652039325
1739209626.7842135;-38.13080360867914
1739209626.7842195;-38.13080360867914
1739209626.7842255;-31.141103565318915
1739209626.7842314;-33.981070128970906
1739209626.7842374;-45.120503652039325
1739209626.7842433;-35.57807855764607
1739209626.7842493;-45.120503652039325
1739209626.7842553;-45.120503652039325
1739209626.7842612;-38.13080360867914
1739209626.7842672;-32.816014438256545
1739209626.7842731;-38.13080360867914
1739209626.784279;-45.120503652039325
1739209626.784285;-38.13080360867914
1739209626.784291;-45.120503652039325
1739209626.784297;-38.13080360867914
1739209626.784303;-35.57807855764607
1739209626.784309;-45.120503652039325
1739209626.7843149;-45.120503652039325
1739209626.7843208;-38.13080360867914
1739209626.7843268;-38.13080360867914
1739209626.7843328;-38.13080360867914
1739209626.7843387;-45.120503652039325
1739209626.7843447;-45.120503652039325
1739209626.7843506;-38.13080360867914
1739209626.7843566;-38.13080360867914
1739209626.7843626;-45.120503652039325
1739209626.7843685;-38.13080360867914
1739209626.7843745;-33.981070128970906
1739209626.7843804;-45.120503652039325
1739209626.7843864;-45.120503652039325
1739209626.7843924;-33.981070128970906
1739209626.7843983;-38.13080360867914
1739209626.7844043;-38.13080360867914
1739209626.7844102;-38.13080360867914
1739209626.7844162;-45.120503652039325
1739209626.7844222;-38.13080360867914
1739209626.7844281;-38.13080360867914
1739209626.784434;-45.120503652039325
1739209626.78444;-38.13080360867914
1739209626.784446;-32.816014438256545
1739209626.784452;-35.57807855764607
1739209626.784458;-45.120503652039325
1739209626.784464;-38.13080360867914
1739209626.7844698;-35.57807855764607
1739209626.7844758;-38.13080360867914
1739209626.7844818;-45.120503652039325
1739209626.7844877;-38.13080360867914
1739209626.7844937;-45.120503652039325
1739209626.7844996;-38.13080360867914
1739209626.7845056;-45.120503652039325
1739209626.7845116;-45.120503652039325
1739209626.7845175;-38.13080360867914
1739209626.7845235;-35.57807855764607
1739209626.7845294;-45.120503652039325
1739209626.7845354;-38.13080360867914
1739209626.7845414;-35.57807855764607
1739209626.7845473;-38.13080360867914
1739209626.7845533;-45.120503652039325
1739209626.7845592;-38.13080360867914
1739209626.7845652;-35.57807855764607
1739209626.7845712;-45.120503652039325
1739209626.7845771;-45.120503652039325
1739209626.784583;-45.120503652039325
1739209626.7845893;-38.13080360867914
1739209626.7845953;-38.13080360867914
1739209626.7846012;-45.120503652039325
1739209626.7846072;-45.120503652039325
1739209626.7846131;-45.120503652039325
1739209626.784619;-45.120503652039325
1739209626.784625;-45.120503652039325
1739209626.784631;-38.13080360867914
1739209626.784637;-32.816014438256545
1739209626.784643;-45.120503652039325
1739209626.784649;-45.120503652039325
1739209626.7846549;-38.13080360867914
1739209626.7846608;-32.816014438256545
1739209626.7846668;-31.141103565318915
1739209626.7846727;-45.120503652039325
1739209626.7846787;-38.13080360867914
1739209626.7846847;-35.57807855764607
1739209626.7846906;-38.13080360867914
1739209626.7846966;-45.120503652039325
