CAN Message; 0x77:bfc83fc8dcc8e520
Timestamp;Amplitude
1739209728.1864197;-45.120503652039325
1739209728.1864262;-45.120503652039325
1739209728.1864326;-45.120503652039325
1739209728.186439;-45.120503652039325
1739209728.1864457;-33.981070128970906
1739209728.1864522;-38.13080360867914
1739209728.1864586;-45.120503652039325
1739209728.186465;-25.826314394896357
1739209728.1864715;-32.816014438256545
1739209728.186478;-38.13080360867914
1739209728.1864843;-45.120503652039325
1739209728.1864908;-38.13080360867914
1739209728.1864972;-35.57807855764607
1739209728.186504;-38.13080360867914
1739209728.1865103;-35.57807855764607
1739209728.1865168;-38.13080360867914
1739209728.1865232;-38.13080360867914
1739209728.1865296;-38.13080360867914
1739209728.186536;-45.120503652039325
1739209728.1865425;-45.120503652039325
1739209728.186549;-38.13080360867914
1739209728.1865554;-45.120503652039325
1739209728.1865618;-45.120503652039325
1739209728.1865685;-45.120503652039325
1739209728.186575;-38.13080360867914
1739209728.1865814;-38.13080360867914
1739209728.1865878;-38.13080360867914
1739209728.1865942;-45.120503652039325
1739209728.1866007;-38.13080360867914
1739209728.1866071;-38.13080360867914
1739209728.1866136;-45.120503652039325
1739209728.18662;-33.981070128970906
1739209728.1866267;-38.13080360867914
1739209728.186633;-45.120503652039325
1739209728.1866395;-35.57807855764607
1739209728.186646;-32.816014438256545
1739209728.1866524;-38.13080360867914
1739209728.1866589;-45.120503652039325
1739209728.1866653;-38.13080360867914
1739209728.1866717;-45.120503652039325
1739209728.1866782;-45.120503652039325
1739209728.1866848;-45.120503652039325
1739209728.1866913;-38.13080360867914
1739209728.1866977;-38.13080360867914
1739209728.1867042;-38.13080360867914
1739209728.1867106;-35.57807855764607
1739209728.186717;-45.120503652039325
1739209728.1867235;-30.49652367304973
1739209728.18673;-28.58837851428586
1739209728.1867363;-31.141103565318915
1739209728.1867428;-45.120503652039325
1739209728.1867495;-45.120503652039325
1739209728.186756;-45.120503652039325
1739209728.1867623;-45.120503652039325
1739209728.1867688;-45.120503652039325
1739209728.1867752;-38.13080360867914
1739209728.1867816;-45.120503652039325
1739209728.186788;-38.13080360867914
1739209728.1867945;-45.120503652039325
1739209728.186801;-38.13080360867914
1739209728.1868076;-38.13080360867914
1739209728.186814;-45.120503652039325
1739209728.1868205;-45.120503652039325
1739209728.186827;-45.120503652039325
1739209728.1868334;-45.120503652039325
1739209728.1868398;-35.57807855764607
1739209728.1868463;-38.13080360867914
1739209728.1868527;-45.120503652039325
1739209728.1868591;-38.13080360867914
1739209728.1868658;-38.13080360867914
1739209728.1868722;-45.120503652039325
1739209728.1868787;-45.120503652039325
1739209728.186885;-45.120503652039325
1739209728.1868916;-45.120503652039325
1739209728.186898;-45.120503652039325
1739209728.1869044;-33.981070128970906
1739209728.1869109;-38.13080360867914
1739209728.1869173;-45.120503652039325
1739209728.1869237;-45.120503652039325
1739209728.1869304;-45.120503652039325
1739209728.1869369;-45.120503652039325
1739209728.1869433;-38.13080360867914
1739209728.1869497;-45.120503652039325
1739209728.1869562;-45.120503652039325
1739209728.1869626;-38.13080360867914
1739209728.186969;-35.57807855764607
1739209728.1869755;-45.120503652039325
1739209728.186982;-35.57807855764607
1739209728.1869886;-35.57807855764607
1739209728.186995;-45.120503652039325
1739209728.1870015;-45.120503652039325
1739209728.187008;-45.120503652039325
1739209728.1870143;-45.120503652039325
1739209728.1870208;-45.120503652039325
1739209728.1870272;-45.120503652039325
1739209728.1870337;-38.13080360867914
1739209728.18704;-38.13080360867914
1739209728.1870468;-45.120503652039325
1739209728.1870532;-45.120503652039325
1739209728.1870596;-45.120503652039325
1739209728.187066;-35.57807855764607
1739209728.1870725;-45.120503652039325
1739209728.187079;-45.120503652039325
1739209728.1870854;-45.120503652039325
1739209728.1870918;-33.981070128970906
