CAN Message; 0x1a7:00007c2c4631beeb
Timestamp;Amplitude
1739209830.9696636;-45.120503652039325
1739209830.969672;-45.120503652039325
1739209830.9696803;-45.120503652039325
1739209830.9696884;-35.57807855764607
1739209830.9696965;-32.816014438256545
1739209830.9697049;-45.120503652039325
1739209830.9697132;-38.13080360867914
1739209830.9697213;-38.13080360867914
1739209830.9697294;-45.120503652039325
1739209830.9697378;-45.120503652039325
1739209830.969746;-38.13080360867914
1739209830.9697542;-38.13080360867914
1739209830.9697623;-33.981070128970906
1739209830.9697707;-38.13080360867914
1739209830.969779;-45.120503652039325
1739209830.9697871;-45.120503652039325
1739209830.9697952;-33.981070128970906
1739209830.9698036;-38.13080360867914
1739209830.969812;-45.120503652039325
1739209830.96982;-45.120503652039325
1739209830.9698281;-45.120503652039325
1739209830.9698365;-45.120503652039325
1739209830.9698448;-45.120503652039325
1739209830.969853;-45.120503652039325
1739209830.969861;-45.120503652039325
1739209830.9698694;-38.13080360867914
1739209830.9698777;-35.57807855764607
1739209830.9698858;-45.120503652039325
1739209830.969894;-45.120503652039325
1739209830.9699023;-45.120503652039325
1739209830.9699106;-45.120503652039325
1739209830.9699187;-45.120503652039325
1739209830.9699268;-45.120503652039325
1739209830.9699352;-30.49652367304973
1739209830.9699435;-30.49652367304973
1739209830.9699516;-45.120503652039325
1739209830.9699597;-38.13080360867914
1739209830.969968;-38.13080360867914
1739209830.9699764;-45.120503652039325
1739209830.9699845;-45.120503652039325
1739209830.9699926;-38.13080360867914
1739209830.970001;-35.57807855764607
1739209830.9700093;-45.120503652039325
1739209830.9700174;-45.120503652039325
1739209830.9700255;-45.120503652039325
1739209830.970034;-45.120503652039325
1739209830.9700422;-45.120503652039325
1739209830.9700503;-45.120503652039325
1739209830.9700584;-45.120503652039325
1739209830.9700668;-45.120503652039325
1739209830.9700751;-45.120503652039325
1739209830.9700832;-45.120503652039325
1739209830.9700913;-35.57807855764607
1739209830.9700997;-38.13080360867914
1739209830.970108;-45.120503652039325
1739209830.9701161;-35.57807855764607
1739209830.9701242;-38.13080360867914
1739209830.9701326;-33.981070128970906
1739209830.970141;-38.13080360867914
1739209830.970149;-38.13080360867914
1739209830.9701571;-38.13080360867914
1739209830.9701655;-38.13080360867914
1739209830.9701738;-45.120503652039325
1739209830.970182;-38.13080360867914
1739209830.97019;-45.120503652039325
1739209830.9701984;-38.13080360867914
1739209830.9702067;-32.816014438256545
1739209830.9702148;-38.13080360867914
1739209830.970223;-38.13080360867914
1739209830.9702313;-33.981070128970956
1739209830.9702396;-45.120503652039325
1739209830.9702477;-35.57807855764607
1739209830.9702559;-38.13080360867914
1739209830.9702642;-45.120503652039325
1739209830.9702725;-45.120503652039325
1739209830.9702806;-45.120503652039325
1739209830.9702888;-38.13080360867914
1739209830.970297;-28.992665084841942
1739209830.9703054;-45.120503652039325
1739209830.9703135;-38.13080360867914
1739209830.9703217;-35.57807855764607
1739209830.97033;-38.13080360867914
1739209830.9703383;-45.120503652039325
1739209830.9703465;-45.120503652039325
1739209830.9703546;-45.120503652039325
1739209830.970363;-33.981070128970956
1739209830.9703712;-45.120503652039325
1739209830.9703794;-33.981070128970906
1739209830.9703875;-45.120503652039325
1739209830.9703958;-38.13080360867914
1739209830.9704041;-38.13080360867914
1739209830.9704123;-38.13080360867914
1739209830.9704204;-35.57807855764607
1739209830.9704287;-45.120503652039325
1739209830.970437;-45.120503652039325
1739209830.9704452;-45.120503652039325
1739209830.9704533;-45.120503652039325
1739209830.9704616;-45.120503652039325
1739209830.97047;-38.13080360867914
1739209830.970478;-45.120503652039325
1739209830.9704862;-45.120503652039325
1739209830.9704945;-27.8777449560314
1739209830.9705029;-35.57807855764607
1739209830.970511;-45.120503652039325
1739209830.970519;-45.120503652039325
1739209830.9705274;-38.13080360867914
1739209830.9705358;-45.120503652039325
1739209830.9705439;-45.120503652039325
1739209830.970552;-38.13080360867914
1739209830.9705603;-45.120503652039325
1739209830.9705687;-45.120503652039325
1739209830.9705768;-45.120503652039325
1739209830.9705849;-45.120503652039325
1739209830.9705932;-38.13080360867914
1739209830.9706016;-38.13080360867914
1739209830.9706097;-45.120503652039325
1739209830.9706178;-45.120503652039325
1739209830.970626;-32.816014438256545
1739209830.9706345;-32.816014438256545
1739209830.9706426;-45.120503652039325
1739209830.9706507;-38.13080360867914
1739209830.970659;-32.816014438256545
1739209830.9706674;-38.13080360867914
1739209830.9706755;-38.13080360867914
1739209830.9706836;-38.13080360867914
1739209830.970692;-38.13080360867914
1739209830.9707003;-45.120503652039325
1739209830.9707084;-38.13080360867914
1739209830.9707165;-45.120503652039325
1739209830.9707248;-35.57807855764607
1739209830.9707332;-35.57807855764607
1739209830.9707413;-45.120503652039325
1739209830.9707494;-45.120503652039325
1739209830.9707577;-45.120503652039325
1739209830.970766;-45.120503652039325
1739209830.9707742;-45.120503652039325
1739209830.9707823;-45.120503652039325
1739209830.9707906;-45.120503652039325
1739209830.970799;-38.13080360867914
1739209830.970807;-45.120503652039325
1739209830.9708152;-45.120503652039325
1739209830.9708235;-32.816014438256545
1739209830.9708319;-33.981070128970906
1739209830.97084;-38.13080360867914
1739209830.970848;-45.120503652039325
1739209830.9708564;-45.120503652039325
1739209830.9708648;-38.13080360867914
1739209830.9708729;-45.120503652039325
1739209830.970881;-45.120503652039325
1739209830.9708893;-45.120503652039325
1739209830.9708977;-45.120503652039325
1739209830.9709058;-45.120503652039325
1739209830.970914;-45.120503652039325
1739209830.9709222;-45.120503652039325
1739209830.9709306;-38.13080360867914
1739209830.9709387;-38.13080360867914
1739209830.9709468;-38.13080360867914
1739209830.9709551;-35.57807855764607
1739209830.9709635;-32.816014438256545
1739209830.9709716;-45.120503652039325
1739209830.9709797;-38.13080360867914
1739209830.970988;-38.13080360867914
1739209830.9709964;-45.120503652039325
