CAN Message; 0x1b8:0300d487d9f452ac
Timestamp;Amplitude
1739209861.8518791;-33.981070128970906
1739209861.8518898;-45.120503652039325
1739209861.8519003;-32.816014438256545
1739209861.8519108;-30.49652367304973
1739209861.8519216;-45.120503652039325
1739209861.851932;-38.13080360867914
1739209861.8519425;-38.13080360867914
1739209861.8519533;-35.57807855764607
1739209861.8519638;-45.120503652039325
1739209861.8519745;-38.13080360867914
1739209861.851985;-38.13080360867914
1739209861.8519955;-45.120503652039325
1739209861.8520062;-45.120503652039325
1739209861.8520167;-45.120503652039325
1739209861.8520272;-38.13080360867914
1739209861.852038;-45.120503652039325
1739209861.8520484;-45.120503652039325
1739209861.852059;-45.120503652039325
1739209861.8520696;-38.13080360867914
1739209861.85208;-45.120503652039325
1739209861.8520906;-45.120503652039325
1739209861.8521013;-38.13080360867914
1739209861.8521118;-45.120503652039325
1739209861.8521223;-45.120503652039325
1739209861.852133;-31.141103565318893
1739209861.8521435;-45.120503652039325
1739209861.852154;-31.141103565318915
1739209861.8521647;-28.58837851428586
1739209861.8521752;-38.13080360867914
1739209861.852186;-38.13080360867914
1739209861.8521965;-38.13080360867914
1739209861.852207;-35.57807855764607
1739209861.8522177;-45.120503652039325
1739209861.8522282;-45.120503652039325
1739209861.8522387;-45.120503652039325
1739209861.8522494;-38.13080360867914
1739209861.8522599;-45.120503652039325
1739209861.8522704;-45.120503652039325
1739209861.852281;-35.57807855764607
1739209861.8522916;-35.57807855764607
1739209861.852302;-45.120503652039325
1739209861.8523128;-45.120503652039325
1739209861.8523233;-38.13080360867914
1739209861.8523338;-38.13080360867914
1739209861.8523445;-45.120503652039325
1739209861.852355;-45.120503652039325
1739209861.8523655;-45.120503652039325
1739209861.8523762;-45.120503652039325
1739209861.8523867;-38.13080360867914
1739209861.8523974;-38.13080360867914
1739209861.852408;-38.13080360867914
1739209861.8524184;-35.57807855764607
1739209861.8524292;-45.120503652039325
1739209861.8524396;-38.13080360867914
1739209861.8524501;-38.13080360867914
1739209861.8524609;-33.981070128970906
1739209861.8524714;-38.13080360867914
1739209861.8524818;-45.120503652039325
