CAN Message; 0x62:02e16264cf358188
Timestamp;Amplitude
1739209906.7457993;-45.120503652039325
1739209906.7458036;-38.13080360867914
1739209906.7458081;-38.13080360867914
1739209906.7458127;-38.13080360867914
1739209906.745817;-38.13080360867914
1739209906.7458215;-38.13080360867914
1739209906.745826;-32.816014438256545
1739209906.7458305;-38.13080360867914
1739209906.7458348;-45.120503652039325
1739209906.7458394;-45.120503652039325
1739209906.745844;-45.120503652039325
1739209906.7458482;-45.120503652039325
1739209906.7458527;-45.120503652039325
1739209906.7458572;-38.13080360867914
1739209906.7458615;-45.120503652039325
1739209906.745866;-38.13080360867914
1739209906.7458706;-38.13080360867914
1739209906.745875;-38.13080360867914
1739209906.7458794;-38.13080360867914
1739209906.745884;-38.13080360867914
1739209906.7458885;-38.13080360867914
1739209906.7458928;-38.13080360867914
1739209906.7458973;-35.57807855764607
1739209906.7459018;-31.141103565318915
1739209906.745906;-38.13080360867914
1739209906.7459106;-38.13080360867914
1739209906.7459152;-38.13080360867914
1739209906.7459195;-38.13080360867914
1739209906.745924;-45.120503652039325
1739209906.7459285;-45.120503652039325
1739209906.7459328;-45.120503652039325
1739209906.7459373;-33.981070128970956
1739209906.7459419;-38.13080360867914
1739209906.7459464;-32.816014438256545
1739209906.7459507;-35.57807855764607
1739209906.7459552;-45.120503652039325
1739209906.7459598;-38.13080360867914
1739209906.745964;-45.120503652039325
1739209906.7459686;-38.13080360867914
1739209906.745973;-38.13080360867914
1739209906.7459774;-38.13080360867914
1739209906.745982;-38.13080360867914
1739209906.7459865;-45.120503652039325
1739209906.745991;-45.120503652039325
1739209906.7459953;-38.13080360867914
1739209906.7459998;-38.13080360867914
1739209906.7460043;-38.13080360867914
1739209906.7460086;-45.120503652039325
1739209906.7460132;-38.13080360867914
1739209906.7460177;-33.981070128970906
1739209906.746022;-33.981070128970906
1739209906.7460265;-38.13080360867914
1739209906.746031;-45.120503652039325
1739209906.7460353;-38.13080360867914
1739209906.7460399;-45.120503652039325
1739209906.7460444;-45.120503652039325
1739209906.746049;-45.120503652039325
1739209906.7460532;-45.120503652039325
1739209906.7460577;-45.120503652039325
1739209906.7460623;-45.120503652039325
1739209906.7460666;-38.13080360867914
1739209906.746071;-33.981070128970906
1739209906.7460756;-38.13080360867914
1739209906.74608;-38.13080360867914
1739209906.7460845;-38.13080360867914
1739209906.746089;-38.13080360867914
1739209906.7460933;-38.13080360867914
1739209906.7460978;-35.57807855764607
1739209906.7461023;-45.120503652039325
1739209906.7461069;-32.816014438256545
1739209906.7461112;-35.57807855764607
1739209906.7461157;-45.120503652039325
1739209906.7461202;-45.120503652039325
1739209906.7461245;-38.13080360867914
1739209906.746129;-38.13080360867914
1739209906.7461336;-45.120503652039325
1739209906.7461379;-38.13080360867914
1739209906.7461424;-38.13080360867914
1739209906.746147;-38.13080360867914
1739209906.7461512;-38.13080360867914
1739209906.7461557;-38.13080360867914
1739209906.7461603;-32.816014438256545
1739209906.7461648;-35.57807855764607
1739209906.746169;-38.13080360867914
1739209906.7461736;-45.120503652039325
1739209906.7461782;-45.120503652039325
1739209906.7461824;-45.120503652039325
1739209906.746187;-38.13080360867914
1739209906.7461915;-38.13080360867914
1739209906.7461958;-45.120503652039325
1739209906.7462003;-38.13080360867914
1739209906.7462049;-38.13080360867914
1739209906.7462091;-35.57807855764607
1739209906.7462137;-38.13080360867914
1739209906.7462182;-45.120503652039325
1739209906.7462227;-38.13080360867914
1739209906.746227;-32.816014438256545
1739209906.7462316;-45.120503652039325
1739209906.746236;-45.120503652039325
1739209906.7462404;-38.13080360867914
1739209906.746245;-45.120503652039325
1739209906.7462494;-32.816014438256545
1739209906.7462537;-38.13080360867914
1739209906.7462583;-45.120503652039325
1739209906.7462628;-38.13080360867914
1739209906.746267;-38.13080360867914
1739209906.7462716;-45.120503652039325
1739209906.7462761;-38.13080360867914
1739209906.7462807;-38.13080360867914
1739209906.746285;-45.120503652039325
1739209906.7462895;-45.120503652039325
1739209906.746294;-38.13080360867914
1739209906.7462983;-31.141103565318915
1739209906.7463028;-35.57807855764607
1739209906.7463074;-38.13080360867914
1739209906.7463117;-38.13080360867914
1739209906.7463162;-33.981070128970906
1739209906.7463207;-38.13080360867914
1739209906.7463253;-45.120503652039325
1739209906.7463295;-38.13080360867914
1739209906.746334;-45.120503652039325
1739209906.7463386;-38.13080360867914
1739209906.746343;-38.13080360867914
1739209906.7463474;-38.13080360867914
1739209906.746352;-45.120503652039325
1739209906.7463562;-45.120503652039325
1739209906.7463608;-45.120503652039325
1739209906.7463653;-45.120503652039325
1739209906.7463696;-38.13080360867914
1739209906.7463741;-45.120503652039325
1739209906.7463787;-45.120503652039325
1739209906.7463832;-38.13080360867914
1739209906.7463875;-32.816014438256545
1739209906.746392;-45.120503652039325
1739209906.7463965;-45.120503652039325
1739209906.7464008;-38.13080360867914
1739209906.7464054;-31.141103565318915
1739209906.74641;-38.13080360867914
1739209906.7464142;-45.120503652039325
1739209906.7464187;-45.120503652039325
1739209906.7464232;-38.13080360867914
1739209906.7464275;-38.13080360867914
1739209906.746432;-38.13080360867914
1739209906.7464366;-35.57807855764607
1739209906.7464411;-38.13080360867914
1739209906.7464454;-45.120503652039325
1739209906.74645;-45.120503652039325
1739209906.7464545;-33.981070128970906
1739209906.7464588;-38.13080360867914
1739209906.7464633;-45.120503652039325
1739209906.7464678;-38.13080360867914
1739209906.7464721;-38.13080360867914
1739209906.7464767;-33.981070128970906
1739209906.7464812;-38.13080360867914
1739209906.7464855;-38.13080360867914
1739209906.74649;-35.57807855764607
1739209906.7464945;-38.13080360867914
1739209906.746499;-38.13080360867914
1739209906.7465034;-45.120503652039325
1739209906.746508;-45.120503652039325
1739209906.7465124;-38.13080360867914
1739209906.7465167;-38.13080360867914
1739209906.7465212;-38.13080360867914
1739209906.7465258;-38.13080360867914
1739209906.74653;-38.13080360867914
1739209906.7465346;-38.13080360867914
1739209906.746539;-38.13080360867914
1739209906.7465434;-38.13080360867914
1739209906.746548;-33.981070128970906
1739209906.7465525;-28.992665084841942
1739209906.746557;-45.120503652039325
1739209906.7465613;-45.120503652039325
1739209906.7465658;-45.120503652039325
1739209906.7465703;-45.120503652039325
1739209906.7465746;-45.120503652039325
1739209906.7465792;-35.57807855764607
1739209906.7465837;-38.13080360867914
1739209906.746588;-38.13080360867914
1739209906.7465925;-35.57807855764607
1739209906.746597;-45.120503652039325
1739209906.7466013;-45.120503652039325
1739209906.7466059;-33.981070128970906
