CAN Message; 0x1d3:0000becfcab3f9d7
Timestamp;Amplitude
1739209664.6345828;-45.120503652039325
1739209664.6345856;-45.120503652039325
1739209664.6345882;-33.981070128970906
1739209664.6345909;-45.120503652039325
1739209664.6345935;-31.141103565318915
1739209664.6345963;-33.981070128970906
1739209664.634599;-38.13080360867914
1739209664.6346016;-38.13080360867914
1739209664.6346042;-38.13080360867914
1739209664.634607;-35.57807855764607
1739209664.6346097;-38.13080360867914
1739209664.6346123;-35.57807855764607
1739209664.634615;-33.981070128970906
1739209664.6346178;-33.981070128970906
1739209664.6346204;-38.13080360867914
1739209664.634623;-35.57807855764607
1739209664.6346257;-33.981070128970906
1739209664.6346285;-45.120503652039325
1739209664.6346312;-45.120503652039325
1739209664.6346338;-45.120503652039325
1739209664.6346364;-33.981070128970906
1739209664.6346393;-31.141103565318915
1739209664.634642;-45.120503652039325
1739209664.6346445;-45.120503652039325
1739209664.6346474;-38.13080360867914
1739209664.63465;-38.13080360867914
1739209664.6346526;-45.120503652039325
1739209664.6346552;-45.120503652039325
1739209664.634658;-45.120503652039325
1739209664.6346607;-45.120503652039325
1739209664.6346633;-45.120503652039325
1739209664.634666;-45.120503652039325
1739209664.6346688;-38.13080360867914
1739209664.6346714;-45.120503652039325
1739209664.634674;-45.120503652039325
1739209664.6346767;-35.57807855764607
1739209664.6346796;-35.57807855764607
1739209664.6346822;-45.120503652039325
1739209664.6346848;-45.120503652039325
1739209664.6346874;-45.120503652039325
1739209664.6346903;-45.120503652039325
1739209664.634693;-45.120503652039325
1739209664.6346955;-38.13080360867914
1739209664.6346984;-38.13080360867914
1739209664.634701;-45.120503652039325
1739209664.6347036;-38.13080360867914
1739209664.6347063;-38.13080360867914
1739209664.6347091;-38.13080360867914
1739209664.6347117;-45.120503652039325
1739209664.6347144;-33.981070128970906
1739209664.634717;-38.13080360867914
1739209664.6347198;-38.13080360867914
1739209664.6347225;-32.816014438256545
1739209664.634725;-45.120503652039325
1739209664.6347277;-38.13080360867914
1739209664.6347306;-38.13080360867914
1739209664.6347332;-38.13080360867914
1739209664.6347358;-45.120503652039325
1739209664.6347384;-45.120503652039325
1739209664.6347413;-45.120503652039325
1739209664.634744;-45.120503652039325
1739209664.6347466;-38.13080360867914
1739209664.6347492;-38.13080360867914
1739209664.634752;-35.57807855764607
1739209664.6347547;-35.57807855764607
1739209664.6347573;-35.57807855764607
1739209664.6347601;-32.816014438256545
1739209664.6347628;-45.120503652039325
1739209664.6347654;-45.120503652039325
1739209664.634768;-38.13080360867914
1739209664.6347709;-45.120503652039325
1739209664.6347735;-45.120503652039325
1739209664.634776;-45.120503652039325
1739209664.6347787;-45.120503652039325
1739209664.6347816;-38.13080360867914
1739209664.6347842;-38.13080360867914
1739209664.6347868;-45.120503652039325
1739209664.6347895;-45.120503652039325
1739209664.6347923;-38.13080360867914
1739209664.634795;-45.120503652039325
1739209664.6347976;-45.120503652039325
1739209664.6348002;-33.981070128970906
1739209664.634803;-32.816014438256545
1739209664.6348057;-45.120503652039325
1739209664.6348083;-45.120503652039325
1739209664.6348112;-33.981070128970906
1739209664.6348138;-38.13080360867914
1739209664.6348164;-45.120503652039325
1739209664.634819;-45.120503652039325
1739209664.634822;-45.120503652039325
1739209664.6348245;-38.13080360867914
1739209664.6348271;-38.13080360867914
1739209664.6348298;-45.120503652039325
1739209664.6348326;-45.120503652039325
1739209664.6348352;-45.120503652039325
1739209664.6348379;-45.120503652039325
1739209664.6348405;-45.120503652039325
1739209664.6348433;-33.981070128970906
1739209664.634846;-35.57807855764607
1739209664.6348486;-38.13080360867914
1739209664.6348512;-45.120503652039325
1739209664.634854;-38.13080360867914
1739209664.6348567;-32.816014438256545
1739209664.6348593;-38.13080360867914
1739209664.634862;-45.120503652039325
1739209664.6348648;-38.13080360867914
1739209664.6348674;-35.57807855764607
1739209664.63487;-45.120503652039325
1739209664.634873;-45.120503652039325
1739209664.6348755;-45.120503652039325
1739209664.6348782;-45.120503652039325
1739209664.6348808;-38.13080360867914
1739209664.6348836;-45.120503652039325
1739209664.6348863;-35.57807855764607
1739209664.634889;-38.13080360867914
1739209664.6348915;-45.120503652039325
1739209664.6348944;-45.120503652039325
1739209664.634897;-38.13080360867914
1739209664.6348996;-30.49652367304973
1739209664.6349022;-38.13080360867914
1739209664.634905;-38.13080360867914
1739209664.6349077;-45.120503652039325
1739209664.6349103;-38.13080360867914
1739209664.634913;-45.120503652039325
1739209664.6349158;-38.13080360867914
1739209664.6349185;-45.120503652039325
1739209664.634921;-45.120503652039325
1739209664.634924;-38.13080360867914
1739209664.6349266;-38.13080360867914
1739209664.6349292;-45.120503652039325
1739209664.6349318;-45.120503652039325
1739209664.6349347;-45.120503652039325
1739209664.6349373;-45.120503652039325
1739209664.63494;-38.13080360867914
1739209664.6349425;-35.57807855764607
1739209664.6349454;-38.13080360867914
1739209664.634948;-35.57807855764607
1739209664.6349506;-45.120503652039325
