CAN Message; 0x1a7:0000e1f725a1e3d0
Timestamp;Amplitude
1739209743.9133215;-45.120503652039325
1739209743.9133441;-45.120503652039325
1739209743.9133668;-38.13080360867914
1739209743.9133894;-38.13080360867914
1739209743.9134123;-33.981070128970906
1739209743.913435;-33.981070128970906
1739209743.9134576;-45.120503652039325
1739209743.9134803;-35.57807855764607
1739209743.913503;-35.57807855764607
1739209743.9135256;-38.13080360867914
1739209743.9135482;-38.13080360867914
1739209743.913571;-38.13080360867914
1739209743.9135935;-33.981070128970906
1739209743.9136164;-30.49652367304973
1739209743.913639;-35.57807855764607
1739209743.9136617;-35.57807855764607
1739209743.9136844;-38.13080360867914
1739209743.913707;-45.120503652039325
1739209743.9137297;-35.57807855764607
1739209743.9137523;-45.120503652039325
1739209743.913775;-35.57807855764607
1739209743.9137979;-28.992665084841942
1739209743.9138205;-45.120503652039325
1739209743.9138432;-45.120503652039325
1739209743.9138658;-45.120503652039325
1739209743.9138885;-45.120503652039325
1739209743.913911;-38.13080360867914
1739209743.9139338;-38.13080360867914
1739209743.9139564;-45.120503652039325
1739209743.913979;-45.120503652039325
1739209743.914002;-45.120503652039325
1739209743.9140246;-45.120503652039325
1739209743.9140472;-38.13080360867914
1739209743.91407;-38.13080360867914
1739209743.9140925;-45.120503652039325
1739209743.9141152;-33.981070128970906
1739209743.9141378;-38.13080360867914
1739209743.9141605;-45.120503652039325
1739209743.9141831;-45.120503652039325
1739209743.914206;-38.13080360867914
1739209743.9142287;-45.120503652039325
1739209743.9142513;-38.13080360867914
1739209743.914274;-38.13080360867914
1739209743.9142966;-45.120503652039325
1739209743.9143193;-45.120503652039325
1739209743.914342;-38.13080360867914
1739209743.9143646;-45.120503652039325
1739209743.9143875;-45.120503652039325
1739209743.91441;-38.13080360867914
1739209743.9144328;-45.120503652039325
1739209743.9144554;-45.120503652039325
1739209743.914478;-38.13080360867914
1739209743.9145007;-45.120503652039325
1739209743.9145234;-45.120503652039325
1739209743.914546;-45.120503652039325
1739209743.9145687;-38.13080360867914
1739209743.9145916;-35.57807855764607
1739209743.9146142;-45.120503652039325
1739209743.9146369;-38.13080360867914
1739209743.9146595;-38.13080360867914
1739209743.9146821;-45.120503652039325
1739209743.9147048;-38.13080360867914
1739209743.9147274;-38.13080360867914
1739209743.91475;-38.13080360867914
1739209743.9147727;-35.57807855764607
1739209743.9147956;-38.13080360867914
