CAN Message; 0x77:5b98dcc41f90e707
Timestamp;Amplitude
1739209887.0418506;-38.13080360867914
1739209887.0418577;-35.57807855764607
1739209887.0418646;-38.13080360867914
1739209887.0418715;-45.120503652039325
1739209887.0418785;-35.57807855764607
1739209887.0418856;-45.120503652039325
1739209887.0418925;-45.120503652039325
1739209887.0418994;-45.120503652039325
1739209887.0419064;-45.120503652039325
1739209887.0419135;-45.120503652039325
1739209887.0419204;-45.120503652039325
1739209887.0419273;-38.13080360867914
1739209887.0419343;-45.120503652039325
1739209887.0419414;-45.120503652039325
1739209887.0419483;-38.13080360867914
1739209887.0419552;-38.13080360867914
1739209887.0419621;-35.57807855764607
1739209887.0419693;-45.120503652039325
1739209887.0419762;-45.120503652039325
1739209887.0419831;-45.120503652039325
1739209887.04199;-45.120503652039325
1739209887.0419972;-30.49652367304973
1739209887.042004;-30.49652367304973
1739209887.042011;-38.13080360867914
1739209887.0420182;-45.120503652039325
1739209887.042025;-38.13080360867914
1739209887.042032;-35.57807855764607
1739209887.042039;-38.13080360867914
1739209887.042046;-33.981070128970906
1739209887.042053;-38.13080360867914
1739209887.04206;-33.981070128970956
1739209887.0420668;-32.816014438256545
1739209887.042074;-45.120503652039325
1739209887.0420809;-45.120503652039325
1739209887.0420878;-45.120503652039325
1739209887.0420947;-35.57807855764607
1739209887.0421019;-45.120503652039325
1739209887.0421088;-38.13080360867914
1739209887.0421157;-35.57807855764607
1739209887.0421226;-38.13080360867914
1739209887.0421298;-38.13080360867914
1739209887.0421367;-45.120503652039325
1739209887.0421436;-38.13080360867914
1739209887.0421505;-38.13080360867914
1739209887.0421576;-38.13080360867914
1739209887.0421646;-45.120503652039325
1739209887.0421715;-38.13080360867914
1739209887.0421786;-35.57807855764607
1739209887.0421855;-38.13080360867914
1739209887.0421925;-45.120503652039325
1739209887.0421994;-38.13080360867914
1739209887.0422065;-38.13080360867914
1739209887.0422134;-38.13080360867914
1739209887.0422204;-45.120503652039325
1739209887.0422273;-38.13080360867914
1739209887.0422344;-35.57807855764607
1739209887.0422413;-38.13080360867914
1739209887.0422482;-38.13080360867914
1739209887.0422552;-45.120503652039325
1739209887.0422623;-33.981070128970906
1739209887.0422692;-38.13080360867914
1739209887.0422761;-38.13080360867914
1739209887.042283;-35.57807855764607
1739209887.0422902;-38.13080360867914
1739209887.0422971;-45.120503652039325
1739209887.042304;-45.120503652039325
1739209887.042311;-38.13080360867914
1739209887.042318;-38.13080360867914
1739209887.042325;-38.13080360867914
1739209887.042332;-45.120503652039325
1739209887.042339;-38.13080360867914
1739209887.042346;-38.13080360867914
1739209887.042353;-38.13080360867914
1739209887.0423598;-45.120503652039325
1739209887.042367;-45.120503652039325
1739209887.042374;-45.120503652039325
1739209887.0423808;-38.13080360867914
1739209887.0423877;-45.120503652039325
1739209887.0423949;-38.13080360867914
1739209887.0424018;-35.57807855764607
1739209887.0424087;-38.13080360867914
1739209887.0424156;-45.120503652039325
1739209887.0424228;-33.981070128970906
1739209887.0424297;-35.57807855764607
1739209887.0424366;-38.13080360867914
1739209887.0424435;-38.13080360867914
1739209887.0424507;-38.13080360867914
1739209887.0424576;-38.13080360867914
1739209887.0424645;-45.120503652039325
1739209887.0424714;-45.120503652039325
1739209887.0424786;-35.57807855764607
1739209887.0424855;-38.13080360867914
1739209887.0424924;-38.13080360867914
1739209887.0424995;-35.57807855764607
1739209887.0425065;-45.120503652039325
1739209887.0425134;-38.13080360867914
1739209887.0425203;-38.13080360867914
1739209887.0425274;-45.120503652039325
1739209887.0425344;-45.120503652039325
1739209887.0425413;-45.120503652039325
1739209887.0425482;-45.120503652039325
1739209887.0425553;-38.13080360867914
1739209887.0425622;-35.57807855764607
1739209887.0425692;-33.981070128970906
1739209887.042576;-38.13080360867914
1739209887.0425832;-45.120503652039325
1739209887.0425901;-35.57807855764607
1739209887.042597;-38.13080360867914
1739209887.042604;-45.120503652039325
1739209887.0426111;-33.981070128970906
1739209887.042618;-45.120503652039325
1739209887.042625;-38.13080360867914
1739209887.0426319;-45.120503652039325
1739209887.042639;-38.13080360867914
1739209887.042646;-38.13080360867914
1739209887.0426528;-45.120503652039325
1739209887.04266;-38.13080360867914
1739209887.042667;-38.13080360867914
1739209887.0426738;-45.120503652039325
1739209887.0426807;-45.120503652039325
1739209887.042688;-35.57807855764607
1739209887.0426948;-38.13080360867914
1739209887.0427017;-38.13080360867914
1739209887.0427086;-45.120503652039325
1739209887.0427158;-33.981070128970906
1739209887.0427227;-45.120503652039325
1739209887.0427296;-32.816014438256545
1739209887.0427365;-26.991370085610722
1739209887.0427437;-38.13080360867914
1739209887.0427506;-45.120503652039325
1739209887.0427575;-38.13080360867914
1739209887.0427644;-33.981070128970906
1739209887.0427716;-45.120503652039325
1739209887.0427785;-35.57807855764607
1739209887.0427854;-38.13080360867914
1739209887.0427923;-38.13080360867914
1739209887.0427995;-38.13080360867914
1739209887.0428064;-38.13080360867914
1739209887.0428133;-38.13080360867914
1739209887.0428205;-45.120503652039325
1739209887.0428274;-45.120503652039325
1739209887.0428343;-38.13080360867914
1739209887.0428412;-38.13080360867914
1739209887.0428483;-45.120503652039325
1739209887.0428553;-38.13080360867914
1739209887.0428622;-45.120503652039325
1739209887.042869;-38.13080360867914
1739209887.0428762;-45.120503652039325
1739209887.0428832;-38.13080360867914
1739209887.04289;-45.120503652039325
1739209887.042897;-38.13080360867914
1739209887.0429041;-26.487275050834715
1739209887.042911;-38.13080360867914
1739209887.042918;-38.13080360867914
1739209887.042925;-38.13080360867914
1739209887.042932;-38.13080360867914
1739209887.042939;-38.13080360867914
1739209887.0429459;-32.816014438256545
1739209887.0429528;-33.981070128970906
1739209887.04296;-38.13080360867914
1739209887.0429668;-45.120503652039325
1739209887.0429738;-35.57807855764607
1739209887.042981;-45.120503652039325
1739209887.0429878;-45.120503652039325
1739209887.0429947;-45.120503652039325
1739209887.0430017;-45.120503652039325
1739209887.0430088;-45.120503652039325
1739209887.0430157;-35.57807855764607
1739209887.0430226;-35.57807855764607
1739209887.0430295;-45.120503652039325
1739209887.0430367;-45.120503652039325
1739209887.0430436;-45.120503652039325
1739209887.0430505;-45.120503652039325
1739209887.0430574;-38.13080360867914
1739209887.0430646;-45.120503652039325
1739209887.0430715;-32.816014438256545
1739209887.0430784;-45.120503652039325
1739209887.0430853;-35.57807855764607
1739209887.0430925;-31.141103565318915
1739209887.0430994;-35.57807855764607
1739209887.0431063;-45.120503652039325
1739209887.0431132;-38.13080360867914
1739209887.0431204;-38.13080360867914
1739209887.0431273;-45.120503652039325
1739209887.0431342;-45.120503652039325
1739209887.0431411;-38.13080360867914
1739209887.0431483;-45.120503652039325
1739209887.0431552;-38.13080360867914
1739209887.043162;-38.13080360867914
1739209887.0431693;-45.120503652039325
1739209887.0431762;-45.120503652039325
1739209887.043183;-38.13080360867914
1739209887.04319;-38.13080360867914
1739209887.0431972;-45.120503652039325
1739209887.043204;-38.13080360867914
1739209887.043211;-38.13080360867914
1739209887.043218;-45.120503652039325
1739209887.043225;-45.120503652039325
1739209887.043232;-45.120503652039325
1739209887.0432389;-45.120503652039325
1739209887.0432458;-38.13080360867914
1739209887.043253;-45.120503652039325
1739209887.0432599;-38.13080360867914
1739209887.0432668;-32.816014438256545
1739209887.0432737;-45.120503652039325
1739209887.0432808;-45.120503652039325
1739209887.0432878;-33.981070128970906
1739209887.0432947;-38.13080360867914
1739209887.0433016;-33.981070128970906
1739209887.0433087;-38.13080360867914
1739209887.0433156;-38.13080360867914
1739209887.0433226;-45.120503652039325
1739209887.0433297;-38.13080360867914
1739209887.0433366;-45.120503652039325
1739209887.0433435;-38.13080360867914
1739209887.0433505;-38.13080360867914
1739209887.0433576;-45.120503652039325
1739209887.0433645;-45.120503652039325
1739209887.0433714;-38.13080360867914
1739209887.0433784;-38.13080360867914
1739209887.0433855;-45.120503652039325
1739209887.0433924;-45.120503652039325
1739209887.0433993;-38.13080360867914
1739209887.0434062;-38.13080360867914
1739209887.0434134;-38.13080360867914
1739209887.0434203;-45.120503652039325
1739209887.0434272;-45.120503652039325
1739209887.0434341;-35.57807855764607
1739209887.0434413;-38.13080360867914
1739209887.0434482;-45.120503652039325
1739209887.0434551;-45.120503652039325
1739209887.043462;-45.120503652039325
1739209887.0434692;-38.13080360867914
1739209887.043476;-38.13080360867914
1739209887.043483;-45.120503652039325
1739209887.0434902;-45.120503652039325
1739209887.043497;-45.120503652039325
1739209887.043504;-45.120503652039325
1739209887.043511;-45.120503652039325
1739209887.043518;-35.57807855764607
1739209887.043525;-33.981070128970906
1739209887.043532;-38.13080360867914
1739209887.0435388;-45.120503652039325
1739209887.043546;-35.57807855764607
1739209887.0435529;-45.120503652039325
1739209887.0435598;-45.120503652039325
1739209887.0435667;-38.13080360867914
1739209887.0435739;-35.57807855764607
1739209887.0435808;-27.267205301931607
1739209887.0435877;-45.120503652039325
1739209887.0435946;-38.13080360867914
1739209887.0436018;-32.816014438256545
1739209887.0436087;-33.981070128970906
1739209887.0436156;-45.120503652039325
1739209887.0436225;-45.120503652039325
1739209887.0436296;-45.120503652039325
1739209887.0436366;-33.981070128970906
1739209887.0436435;-45.120503652039325
1739209887.0436506;-38.13080360867914
1739209887.0436575;-45.120503652039325
1739209887.0436645;-45.120503652039325
1739209887.0436714;-45.120503652039325
1739209887.0436785;-45.120503652039325
1739209887.0436854;-38.13080360867914
1739209887.0436924;-45.120503652039325
1739209887.0436993;-45.120503652039325
1739209887.0437064;-38.13080360867914
1739209887.0437133;-45.120503652039325
1739209887.0437202;-45.120503652039325
1739209887.0437272;-35.57807855764607
1739209887.0437343;-38.13080360867914
1739209887.0437412;-38.13080360867914
1739209887.0437481;-38.13080360867914
1739209887.043755;-38.13080360867914
1739209887.0437622;-38.13080360867914
1739209887.0437691;-45.120503652039325
1739209887.043776;-45.120503652039325
1739209887.043783;-29.438486411369333
1739209887.04379;-38.13080360867914
1739209887.043797;-45.120503652039325
1739209887.043804;-27.267205301931607
1739209887.043811;-28.992665084841942
1739209887.043818;-45.120503652039325
1739209887.043825;-45.120503652039325
1739209887.0438318;-33.981070128970906
1739209887.043839;-45.120503652039325
1739209887.043846;-45.120503652039325
1739209887.0438528;-35.57807855764607
1739209887.0438597;-32.816014438256545
1739209887.0438669;-38.13080360867914
1739209887.0438738;-45.120503652039325
1739209887.0438807;-45.120503652039325
1739209887.0438876;-38.13080360867914
1739209887.0438948;-35.57807855764607
1739209887.0439017;-38.13080360867914
1739209887.0439086;-32.816014438256545
1739209887.0439155;-33.981070128970906
1739209887.0439227;-33.981070128970906
1739209887.0439296;-38.13080360867914
1739209887.0439365;-35.57807855764607
1739209887.0439434;-38.13080360867914
1739209887.0439506;-45.120503652039325
