CAN Message; 0x1b8:00000dece355ec56
Timestamp;Amplitude
1739209715.6538448;-45.120503652039325
1739209715.653851;-45.120503652039325
1739209715.6538572;-45.120503652039325
1739209715.6538634;-45.120503652039325
1739209715.6538696;-38.13080360867914
1739209715.653876;-45.120503652039325
1739209715.6538823;-38.13080360867914
1739209715.6538885;-35.57807855764607
1739209715.6538947;-45.120503652039325
1739209715.6539009;-45.120503652039325
1739209715.653907;-45.120503652039325
1739209715.6539133;-45.120503652039325
1739209715.6539195;-45.120503652039325
1739209715.6539257;-38.13080360867914
1739209715.6539319;-38.13080360867914
1739209715.653938;-38.13080360867914
1739209715.6539443;-33.981070128970906
1739209715.6539507;-38.13080360867914
1739209715.653957;-38.13080360867914
1739209715.653963;-45.120503652039325
1739209715.6539693;-33.981070128970906
1739209715.6539755;-45.120503652039325
1739209715.6539817;-38.13080360867914
1739209715.653988;-38.13080360867914
1739209715.653994;-45.120503652039325
1739209715.6540003;-45.120503652039325
1739209715.6540065;-38.13080360867914
1739209715.6540127;-38.13080360867914
1739209715.654019;-45.120503652039325
1739209715.6540253;-38.13080360867914
1739209715.6540315;-45.120503652039325
1739209715.6540377;-45.120503652039325
1739209715.654044;-38.13080360867914
1739209715.65405;-45.120503652039325
1739209715.6540563;-45.120503652039325
1739209715.6540625;-38.13080360867914
1739209715.6540687;-45.120503652039325
1739209715.654075;-45.120503652039325
1739209715.654081;-38.13080360867914
1739209715.6540873;-38.13080360867914
1739209715.6540937;-38.13080360867914
1739209715.6541;-45.120503652039325
1739209715.6541061;-45.120503652039325
1739209715.6541123;-45.120503652039325
1739209715.6541185;-38.13080360867914
1739209715.6541247;-45.120503652039325
1739209715.654131;-45.120503652039325
1739209715.6541371;-38.13080360867914
1739209715.6541433;-38.13080360867914
1739209715.6541495;-38.13080360867914
1739209715.6541557;-38.13080360867914
1739209715.6541622;-45.120503652039325
1739209715.6541684;-38.13080360867914
1739209715.6541746;-38.13080360867914
1739209715.6541808;-33.981070128970906
1739209715.654187;-38.13080360867914
1739209715.6541932;-35.57807855764607
1739209715.6541994;-33.981070128970906
1739209715.6542056;-38.13080360867914
1739209715.6542118;-45.120503652039325
1739209715.654218;-38.13080360867914
1739209715.6542242;-32.816014438256545
1739209715.6542304;-38.13080360867914
1739209715.6542368;-45.120503652039325
1739209715.654243;-38.13080360867914
1739209715.6542492;-38.13080360867914
1739209715.6542554;-38.13080360867914
1739209715.6542616;-45.120503652039325
1739209715.6542678;-45.120503652039325
1739209715.654274;-38.13080360867914
1739209715.6542802;-45.120503652039325
1739209715.6542864;-45.120503652039325
1739209715.6542926;-45.120503652039325
1739209715.6542988;-38.13080360867914
1739209715.6543052;-38.13080360867914
1739209715.6543114;-45.120503652039325
1739209715.6543176;-38.13080360867914
1739209715.6543238;-38.13080360867914
1739209715.65433;-38.13080360867914
1739209715.6543362;-45.120503652039325
