CAN Message; 0x39:0bff87a0068cb3b0
Timestamp;Amplitude
1739209749.369201;-45.120503652039325
1739209749.3692062;-38.13080360867914
1739209749.3692117;-30.49652367304973
1739209749.369217;-33.981070128970906
1739209749.3692224;-45.120503652039325
1739209749.3692276;-38.13080360867914
1739209749.3692331;-35.57807855764607
1739209749.3692384;-38.13080360867914
1739209749.3692439;-45.120503652039325
1739209749.369249;-38.13080360867914
1739209749.3692546;-35.57807855764607
1739209749.3692598;-45.120503652039325
1739209749.3692653;-38.13080360867914
1739209749.3692706;-38.13080360867914
1739209749.369276;-38.13080360867914
1739209749.3692813;-45.120503652039325
1739209749.3692868;-38.13080360867914
1739209749.369292;-33.981070128970906
1739209749.3692975;-32.816014438256545
1739209749.3693027;-33.981070128970906
1739209749.3693082;-45.120503652039325
1739209749.3693135;-38.13080360867914
1739209749.369319;-35.57807855764607
1739209749.3693244;-38.13080360867914
1739209749.3693297;-45.120503652039325
1739209749.3693352;-38.13080360867914
1739209749.3693404;-33.981070128970906
1739209749.369346;-28.992665084841942
1739209749.3693511;-45.120503652039325
1739209749.3693566;-45.120503652039325
1739209749.3693619;-35.57807855764607
1739209749.3693674;-35.57807855764607
1739209749.3693726;-38.13080360867914
1739209749.369378;-38.13080360867914
1739209749.3693833;-38.13080360867914
1739209749.3693888;-31.14110356531892
1739209749.369394;-38.13080360867914
1739209749.3693995;-45.120503652039325
1739209749.3694048;-45.120503652039325
1739209749.3694103;-45.120503652039325
1739209749.3694155;-38.13080360867914
1739209749.369421;-45.120503652039325
1739209749.3694263;-33.981070128970906
1739209749.3694317;-33.981070128970906
1739209749.369437;-45.120503652039325
1739209749.3694425;-38.13080360867914
1739209749.369448;-45.120503652039325
1739209749.3694532;-38.13080360867914
1739209749.3694587;-35.57807855764607
1739209749.369464;-38.13080360867914
1739209749.3694694;-35.57807855764607
1739209749.3694746;-45.120503652039325
1739209749.3694801;-38.13080360867914
1739209749.3694854;-45.120503652039325
1739209749.3694909;-45.120503652039325
1739209749.369496;-38.13080360867914
1739209749.3695016;-38.13080360867914
1739209749.3695068;-45.120503652039325
1739209749.3695123;-45.120503652039325
1739209749.3695176;-38.13080360867914
1739209749.369523;-45.120503652039325
1739209749.3695283;-45.120503652039325
1739209749.3695338;-38.13080360867914
1739209749.369539;-45.120503652039325
1739209749.3695445;-38.13080360867914
1739209749.3695498;-38.13080360867914
1739209749.3695552;-45.120503652039325
1739209749.3695605;-33.981070128970906
1739209749.369566;-38.13080360867914
1739209749.3695714;-35.57807855764607
1739209749.3695767;-38.13080360867914
1739209749.3695822;-32.816014438256545
1739209749.3695874;-32.816014438256545
1739209749.369593;-38.13080360867914
1739209749.3695982;-45.120503652039325
1739209749.3696036;-38.13080360867914
1739209749.3696089;-45.120503652039325
1739209749.3696144;-45.120503652039325
1739209749.3696196;-45.120503652039325
1739209749.369625;-45.120503652039325
1739209749.3696303;-45.120503652039325
1739209749.3696358;-45.120503652039325
1739209749.369641;-45.120503652039325
1739209749.3696465;-45.120503652039325
1739209749.3696518;-45.120503652039325
1739209749.3696573;-38.13080360867914
1739209749.3696625;-38.13080360867914
1739209749.369668;-38.13080360867914
1739209749.3696733;-45.120503652039325
1739209749.3696787;-33.981070128970906
1739209749.369684;-45.120503652039325
1739209749.3696895;-32.816014438256545
1739209749.3696947;-33.981070128970906
1739209749.3697002;-38.13080360867914
1739209749.3697057;-35.57807855764607
1739209749.369711;-38.13080360867914
1739209749.3697164;-45.120503652039325
1739209749.3697217;-45.120503652039325
1739209749.3697271;-35.57807855764607
1739209749.3697324;-38.13080360867914
1739209749.3697379;-45.120503652039325
1739209749.369743;-38.13080360867914
1739209749.3697486;-35.57807855764607
1739209749.3697538;-45.120503652039325
1739209749.3697593;-45.120503652039325
1739209749.3697646;-38.13080360867914
1739209749.36977;-38.13080360867914
1739209749.3697753;-38.13080360867914
1739209749.3697808;-38.13080360867914
1739209749.369786;-38.13080360867914
1739209749.3697915;-38.13080360867914
1739209749.3697968;-32.816014438256545
1739209749.3698022;-38.13080360867914
1739209749.3698075;-38.13080360867914
1739209749.369813;-45.120503652039325
1739209749.3698182;-32.816014438256545
1739209749.3698237;-30.49652367304973
1739209749.3698292;-38.13080360867914
1739209749.3698344;-38.13080360867914
1739209749.36984;-45.120503652039325
1739209749.3698452;-45.120503652039325
1739209749.3698506;-45.120503652039325
1739209749.3698559;-33.981070128970906
1739209749.3698614;-45.120503652039325
1739209749.3698666;-38.13080360867914
1739209749.369872;-45.120503652039325
1739209749.3698773;-45.120503652039325
1739209749.3698828;-45.120503652039325
1739209749.369888;-45.120503652039325
1739209749.3698936;-38.13080360867914
1739209749.3698988;-45.120503652039325
1739209749.3699043;-35.57807855764607
1739209749.3699095;-35.57807855764607
1739209749.369915;-45.120503652039325
1739209749.3699203;-45.120503652039325
1739209749.3699257;-38.13080360867914
1739209749.369931;-38.13080360867914
1739209749.3699365;-45.120503652039325
1739209749.3699417;-45.120503652039325
1739209749.3699472;-45.120503652039325
1739209749.3699527;-45.120503652039325
1739209749.369958;-45.120503652039325
1739209749.3699634;-45.120503652039325
1739209749.3699687;-38.13080360867914
1739209749.3699741;-35.57807855764607
1739209749.3699794;-45.120503652039325
1739209749.3699849;-45.120503652039325
1739209749.36999;-45.120503652039325
1739209749.3699956;-45.120503652039325
1739209749.3700008;-38.13080360867914
1739209749.3700063;-45.120503652039325
1739209749.3700116;-38.13080360867914
1739209749.370017;-38.13080360867914
1739209749.3700223;-35.57807855764607
1739209749.3700278;-45.120503652039325
1739209749.370033;-33.981070128970906
1739209749.3700385;-29.438486411369333
1739209749.3700438;-35.57807855764607
1739209749.3700492;-45.120503652039325
1739209749.3700545;-35.57807855764607
1739209749.37006;-35.57807855764607
1739209749.3700652;-45.120503652039325
1739209749.3700707;-38.13080360867914
1739209749.3700762;-38.13080360867914
1739209749.3700814;-33.981070128970956
1739209749.370087;-45.120503652039325
1739209749.3700922;-45.120503652039325
1739209749.3700976;-45.120503652039325
1739209749.370103;-38.13080360867914
1739209749.3701084;-38.13080360867914
1739209749.3701136;-45.120503652039325
1739209749.370119;-35.57807855764607
1739209749.3701243;-31.141103565318893
1739209749.3701298;-38.13080360867914
1739209749.370135;-45.120503652039325
1739209749.3701406;-45.120503652039325
1739209749.3701458;-45.120503652039325
1739209749.3701513;-38.13080360867914
1739209749.3701565;-45.120503652039325
1739209749.370162;-45.120503652039325
1739209749.3701673;-45.120503652039325
1739209749.3701727;-45.120503652039325
1739209749.370178;-35.57807855764607
1739209749.3701835;-38.13080360867914
1739209749.3701887;-32.816014438256545
1739209749.3701942;-35.57807855764607
1739209749.3701997;-45.120503652039325
1739209749.370205;-38.13080360867914
1739209749.3702104;-45.120503652039325
1739209749.3702157;-45.120503652039325
1739209749.3702211;-38.13080360867914
1739209749.3702264;-45.120503652039325
1739209749.3702319;-45.120503652039325
1739209749.370237;-45.120503652039325
1739209749.3702426;-45.120503652039325
1739209749.3702478;-45.120503652039325
1739209749.3702533;-38.13080360867914
1739209749.3702586;-33.981070128970906
1739209749.370264;-38.13080360867914
1739209749.3702693;-38.13080360867914
1739209749.3702748;-38.13080360867914
1739209749.37028;-33.981070128970906
1739209749.3702855;-45.120503652039325
1739209749.3702908;-38.13080360867914
1739209749.3702962;-45.120503652039325
1739209749.3703015;-38.13080360867914
1739209749.370307;-32.816014438256545
1739209749.3703122;-38.13080360867914
1739209749.3703177;-45.120503652039325
1739209749.3703232;-38.13080360867914
1739209749.3703284;-45.120503652039325
1739209749.370334;-45.120503652039325
1739209749.3703392;-33.981070128970906
1739209749.3703446;-38.13080360867914
1739209749.37035;-38.13080360867914
1739209749.3703554;-38.13080360867914
1739209749.3703606;-45.120503652039325
1739209749.370366;-45.120503652039325
1739209749.3703713;-29.438486411369333
1739209749.3703768;-38.13080360867914
1739209749.370382;-45.120503652039325
1739209749.3703876;-45.120503652039325
1739209749.3703928;-45.120503652039325
1739209749.3703983;-45.120503652039325
1739209749.3704035;-38.13080360867914
1739209749.370409;-35.57807855764607
1739209749.3704143;-45.120503652039325
1739209749.3704197;-45.120503652039325
1739209749.370425;-45.120503652039325
1739209749.3704305;-33.981070128970906
1739209749.3704357;-45.120503652039325
1739209749.3704412;-38.13080360867914
1739209749.3704467;-38.13080360867914
1739209749.370452;-38.13080360867914
1739209749.3704574;-38.13080360867914
1739209749.3704627;-45.120503652039325
1739209749.3704681;-45.120503652039325
1739209749.3704734;-33.981070128970906
1739209749.3704789;-45.120503652039325
1739209749.370484;-45.120503652039325
1739209749.3704896;-38.13080360867914
1739209749.3704948;-35.57807855764607
1739209749.3705003;-45.120503652039325
1739209749.3705056;-38.13080360867914
1739209749.370511;-45.120503652039325
1739209749.3705163;-45.120503652039325
1739209749.3705218;-38.13080360867914
1739209749.370527;-38.13080360867914
1739209749.3705325;-45.120503652039325
1739209749.3705378;-33.981070128970906
1739209749.3705432;-35.57807855764607
1739209749.3705485;-45.120503652039325
1739209749.370554;-45.120503652039325
1739209749.3705592;-45.120503652039325
1739209749.3705647;-45.120503652039325
1739209749.3705702;-45.120503652039325
1739209749.3705754;-38.13080360867914
1739209749.370581;-38.13080360867914
1739209749.3705862;-38.13080360867914
1739209749.3705916;-45.120503652039325
1739209749.370597;-38.13080360867914
1739209749.3706024;-27.267205301931607
1739209749.3706076;-33.981070128970906
1739209749.370613;-33.981070128970906
1739209749.3706183;-45.120503652039325
1739209749.3706238;-38.13080360867914
1739209749.370629;-38.13080360867914
1739209749.3706346;-45.120503652039325
1739209749.3706398;-45.120503652039325
1739209749.3706453;-32.816014438256545
1739209749.3706505;-33.981070128970906
1739209749.370656;-38.13080360867914
1739209749.3706613;-45.120503652039325
1739209749.3706667;-45.120503652039325
1739209749.370672;-45.120503652039325
1739209749.3706775;-45.120503652039325
1739209749.3706827;-45.120503652039325
1739209749.3706882;-31.141103565318915
1739209749.3706934;-32.816014438256545
1739209749.370699;-45.120503652039325
1739209749.3707044;-45.120503652039325
1739209749.3707097;-38.13080360867914
1739209749.3707151;-38.13080360867914
1739209749.3707204;-38.13080360867914
1739209749.3707259;-45.120503652039325
1739209749.370731;-45.120503652039325
1739209749.3707366;-45.120503652039325
1739209749.3707418;-45.120503652039325
1739209749.3707473;-38.13080360867914
1739209749.3707526;-38.13080360867914
1739209749.370758;-35.57807855764607
1739209749.3707633;-35.57807855764607
1739209749.3707688;-38.13080360867914
1739209749.370774;-45.120503652039325
1739209749.3707795;-38.13080360867914
