CAN Message; 0x1d3:00005a9fd483a264
Timestamp;Amplitude
1739209704.6564116;-45.120503652039325
1739209704.6564257;-38.13080360867914
1739209704.65644;-38.13080360867914
1739209704.6564543;-33.981070128970906
1739209704.6564684;-45.120503652039325
1739209704.6564827;-45.120503652039325
1739209704.656497;-38.13080360867914
1739209704.656511;-38.13080360867914
1739209704.6565254;-45.120503652039325
1739209704.6565397;-38.13080360867914
1739209704.6565537;-45.120503652039325
1739209704.656568;-45.120503652039325
1739209704.6565824;-38.13080360867914
1739209704.6565964;-35.57807855764607
1739209704.6566107;-45.120503652039325
1739209704.656625;-45.120503652039325
1739209704.6566393;-38.13080360867914
1739209704.6566534;-45.120503652039325
1739209704.6566677;-38.13080360867914
1739209704.656682;-45.120503652039325
1739209704.656696;-32.816014438256545
1739209704.6567104;-38.13080360867914
1739209704.6567247;-32.816014438256545
1739209704.6567388;-26.991370085610736
1739209704.656753;-45.120503652039325
1739209704.6567674;-38.13080360867914
1739209704.6567814;-38.13080360867914
1739209704.6567957;-35.57807855764607
1739209704.65681;-45.120503652039325
1739209704.656824;-38.13080360867914
1739209704.6568384;-45.120503652039325
1739209704.6568527;-38.13080360867914
1739209704.6568668;-45.120503652039325
1739209704.656881;-45.120503652039325
1739209704.6568954;-45.120503652039325
1739209704.6569095;-45.120503652039325
1739209704.6569238;-35.57807855764607
1739209704.656938;-38.13080360867914
1739209704.6569521;-38.13080360867914
1739209704.6569664;-28.992665084841942
1739209704.6569808;-38.13080360867914
1739209704.6569948;-33.981070128970906
1739209704.6570091;-38.13080360867914
1739209704.6570234;-38.13080360867914
1739209704.6570375;-38.13080360867914
1739209704.6570518;-38.13080360867914
1739209704.657066;-45.120503652039325
1739209704.6570802;-35.57807855764607
1739209704.6570945;-38.13080360867914
1739209704.6571088;-38.13080360867914
1739209704.657123;-38.13080360867914
1739209704.6571372;-45.120503652039325
1739209704.6571515;-38.13080360867914
1739209704.6571658;-38.13080360867914
1739209704.6571798;-45.120503652039325
1739209704.6571941;-31.141103565318915
1739209704.6572084;-45.120503652039325
1739209704.6572225;-45.120503652039325
1739209704.6572368;-33.981070128970906
1739209704.6572511;-32.816014438256545
1739209704.6572652;-45.120503652039325
1739209704.6572795;-38.13080360867914
1739209704.6572938;-38.13080360867914
1739209704.6573079;-45.120503652039325
1739209704.6573222;-45.120503652039325
1739209704.6573365;-45.120503652039325
1739209704.6573505;-38.13080360867914
1739209704.6573648;-33.981070128970906
1739209704.6573792;-45.120503652039325
1739209704.6573932;-45.120503652039325
1739209704.6574075;-38.13080360867914
1739209704.6574218;-38.13080360867914
1739209704.657436;-45.120503652039325
1739209704.6574502;-45.120503652039325
1739209704.6574645;-45.120503652039325
1739209704.6574786;-45.120503652039325
1739209704.6574929;-38.13080360867914
1739209704.6575072;-32.816014438256545
1739209704.6575212;-45.120503652039325
1739209704.6575356;-38.13080360867914
1739209704.6575499;-35.57807855764607
1739209704.657564;-33.981070128970906
1739209704.6575782;-45.120503652039325
1739209704.6575925;-38.13080360867914
1739209704.6576068;-33.981070128970906
1739209704.657621;-38.13080360867914
1739209704.6576352;-45.120503652039325
1739209704.6576495;-38.13080360867914
1739209704.6576636;-38.13080360867914
1739209704.657678;-45.120503652039325
1739209704.6576922;-45.120503652039325
1739209704.6577063;-45.120503652039325
1739209704.6577206;-45.120503652039325
1739209704.6577349;-38.13080360867914
1739209704.657749;-38.13080360867914
1739209704.6577632;-45.120503652039325
1739209704.6577775;-38.13080360867914
1739209704.6577916;-38.13080360867914
1739209704.657806;-45.120503652039325
1739209704.6578202;-38.13080360867914
1739209704.6578343;-33.981070128970906
1739209704.6578486;-45.120503652039325
1739209704.657863;-45.120503652039325
1739209704.657877;-45.120503652039325
1739209704.6578913;-45.120503652039325
1739209704.6579056;-45.120503652039325
1739209704.6579196;-45.120503652039325
1739209704.657934;-33.981070128970906
1739209704.6579483;-45.120503652039325
1739209704.6579623;-45.120503652039325
1739209704.6579766;-45.120503652039325
1739209704.657991;-45.120503652039325
1739209704.658005;-45.120503652039325
1739209704.6580193;-38.13080360867914
1739209704.6580336;-38.13080360867914
1739209704.658048;-45.120503652039325
1739209704.658062;-45.120503652039325
1739209704.6580763;-38.13080360867914
1739209704.6580906;-38.13080360867914
1739209704.6581047;-38.13080360867914
1739209704.658119;-28.992665084841942
1739209704.6581333;-45.120503652039325
1739209704.6581473;-38.13080360867914
1739209704.6581616;-45.120503652039325
