CAN Message; 0x39:028f80875a2beb0c
Timestamp;Amplitude
1739209640.3296137;-45.120503652039325
1739209640.3296192;-45.120503652039325
1739209640.329625;-45.120503652039325
1739209640.3296304;-45.120503652039325
1739209640.329636;-38.13080360867914
1739209640.3296416;-45.120503652039325
1739209640.3296473;-45.120503652039325
1739209640.3296528;-45.120503652039325
1739209640.3296585;-45.120503652039325
1739209640.329664;-45.120503652039325
1739209640.3296697;-38.13080360867914
1739209640.3296752;-38.13080360867914
1739209640.329681;-45.120503652039325
1739209640.3296864;-45.120503652039325
1739209640.3296921;-45.120503652039325
1739209640.3296978;-32.816014438256545
1739209640.3297033;-35.57807855764607
1739209640.329709;-45.120503652039325
1739209640.3297145;-45.120503652039325
1739209640.3297203;-38.13080360867914
1739209640.3297257;-35.57807855764607
1739209640.3297315;-45.120503652039325
1739209640.329737;-38.13080360867914
1739209640.3297427;-45.120503652039325
1739209640.3297482;-45.120503652039325
1739209640.3297539;-38.13080360867914
1739209640.3297594;-45.120503652039325
1739209640.329765;-35.57807855764607
1739209640.3297706;-45.120503652039325
1739209640.3297763;-33.981070128970906
1739209640.329782;-33.981070128970906
1739209640.3297875;-35.57807855764607
1739209640.3297932;-38.13080360867914
1739209640.3297987;-45.120503652039325
1739209640.3298044;-45.120503652039325
1739209640.32981;-38.13080360867914
1739209640.3298156;-38.13080360867914
1739209640.329821;-45.120503652039325
1739209640.3298268;-38.13080360867914
1739209640.3298323;-45.120503652039325
1739209640.329838;-38.13080360867914
1739209640.3298435;-38.13080360867914
1739209640.3298492;-45.120503652039325
1739209640.3298547;-45.120503652039325
1739209640.3298604;-45.120503652039325
1739209640.3298662;-45.120503652039325
1739209640.3298717;-45.120503652039325
1739209640.3298774;-45.120503652039325
1739209640.3298829;-45.120503652039325
1739209640.3298886;-45.120503652039325
1739209640.329894;-45.120503652039325
1739209640.3298998;-35.57807855764607
1739209640.3299053;-38.13080360867914
1739209640.329911;-35.57807855764607
1739209640.3299165;-38.13080360867914
1739209640.3299222;-33.981070128970906
1739209640.3299277;-31.141103565318915
1739209640.3299334;-35.57807855764607
1739209640.329939;-38.13080360867914
1739209640.3299446;-45.120503652039325
1739209640.3299503;-33.981070128970906
1739209640.3299558;-45.120503652039325
1739209640.3299615;-38.13080360867914
1739209640.329967;-45.120503652039325
1739209640.3299727;-33.981070128970956
1739209640.3299782;-32.816014438256545
1739209640.329984;-33.981070128970906
1739209640.3299894;-45.120503652039325
1739209640.3299952;-38.13080360867914
1739209640.3300006;-32.816014438256545
1739209640.3300064;-45.120503652039325
1739209640.3300118;-33.981070128970906
1739209640.3300176;-30.49652367304973
1739209640.330023;-35.57807855764607
1739209640.3300288;-38.13080360867914
1739209640.3300345;-38.13080360867914
1739209640.33004;-35.57807855764607
1739209640.3300457;-38.13080360867914
