CAN Message; 0x1a7:0000a30e411e2f10
Timestamp;Amplitude
1739209607.6291702;-45.120503652039325
1739209607.629184;-38.13080360867914
1739209607.6291978;-33.981070128970906
1739209607.6292117;-33.981070128970906
1739209607.6292255;-38.13080360867914
1739209607.6292393;-38.13080360867914
1739209607.6292531;-38.13080360867914
1739209607.629267;-45.120503652039325
1739209607.6292808;-45.120503652039325
1739209607.6292946;-38.13080360867914
1739209607.6293085;-38.13080360867914
1739209607.6293225;-38.13080360867914
1739209607.6293364;-45.120503652039325
1739209607.6293502;-38.13080360867914
1739209607.629364;-38.13080360867914
1739209607.6293778;-38.13080360867914
1739209607.6293917;-38.13080360867914
1739209607.6294055;-38.13080360867914
1739209607.6294193;-45.120503652039325
1739209607.6294332;-38.13080360867914
1739209607.629447;-38.13080360867914
1739209607.6294608;-45.120503652039325
1739209607.6294746;-45.120503652039325
1739209607.6294885;-45.120503652039325
1739209607.6295023;-45.120503652039325
1739209607.6295161;-38.13080360867914
1739209607.62953;-35.57807855764607
1739209607.6295438;-38.13080360867914
1739209607.6295576;-45.120503652039325
1739209607.6295714;-45.120503652039325
1739209607.6295853;-45.120503652039325
1739209607.629599;-38.13080360867914
1739209607.629613;-38.13080360867914
1739209607.6296268;-45.120503652039325
1739209607.6296406;-38.13080360867914
1739209607.6296546;-33.981070128970906
1739209607.6296685;-45.120503652039325
1739209607.6296823;-38.13080360867914
1739209607.6296961;-38.13080360867914
1739209607.62971;-45.120503652039325
1739209607.6297238;-45.120503652039325
1739209607.6297376;-38.13080360867914
1739209607.6297514;-38.13080360867914
1739209607.6297653;-28.992665084841942
1739209607.629779;-45.120503652039325
1739209607.629793;-38.13080360867914
1739209607.6298068;-38.13080360867914
1739209607.6298206;-38.13080360867914
1739209607.6298344;-38.13080360867914
1739209607.6298482;-45.120503652039325
1739209607.629862;-45.120503652039325
1739209607.629876;-32.816014438256545
1739209607.6298897;-32.816014438256545
1739209607.6299036;-38.13080360867914
1739209607.6299174;-45.120503652039325
1739209607.6299312;-35.57807855764607
1739209607.629945;-35.57807855764607
1739209607.6299589;-38.13080360867914
1739209607.6299727;-38.13080360867914
1739209607.6299868;-31.141103565318915
1739209607.6300006;-38.13080360867914
1739209607.6300144;-45.120503652039325
1739209607.6300282;-45.120503652039325
1739209607.630042;-38.13080360867914
1739209607.630056;-38.13080360867914
1739209607.6300697;-38.13080360867914
1739209607.6300836;-38.13080360867914
1739209607.6300974;-33.981070128970906
1739209607.6301112;-45.120503652039325
1739209607.630125;-45.120503652039325
1739209607.6301389;-38.13080360867914
1739209607.6301527;-38.13080360867914
1739209607.6301665;-45.120503652039325
1739209607.6301804;-45.120503652039325
1739209607.6301942;-45.120503652039325
1739209607.630208;-38.13080360867914
1739209607.6302218;-35.57807855764607
1739209607.6302357;-45.120503652039325
1739209607.6302495;-45.120503652039325
1739209607.6302633;-35.57807855764607
1739209607.6302772;-32.816014438256545
1739209607.630291;-45.120503652039325
1739209607.6303048;-31.141103565318915
1739209607.6303189;-32.816014438256545
1739209607.6303327;-45.120503652039325
1739209607.6303465;-45.120503652039325
1739209607.6303604;-38.13080360867914
1739209607.6303742;-45.120503652039325
1739209607.630388;-45.120503652039325
1739209607.6304018;-38.13080360867914
1739209607.6304157;-45.120503652039325
1739209607.6304295;-45.120503652039325
1739209607.6304433;-45.120503652039325
1739209607.6304572;-45.120503652039325
1739209607.630471;-45.120503652039325
1739209607.6304848;-32.816014438256545
1739209607.6304986;-38.13080360867914
1739209607.6305125;-38.13080360867914
1739209607.6305263;-45.120503652039325
1739209607.6305401;-38.13080360867914
1739209607.630554;-29.438486411369333
1739209607.6305678;-45.120503652039325
1739209607.6305816;-38.13080360867914
1739209607.6305954;-45.120503652039325
1739209607.6306093;-38.13080360867914
1739209607.630623;-45.120503652039325
1739209607.630637;-38.13080360867914
1739209607.630651;-45.120503652039325
1739209607.6306648;-45.120503652039325
1739209607.6306787;-45.120503652039325
1739209607.6306925;-45.120503652039325
1739209607.6307063;-32.816014438256545
1739209607.6307201;-38.13080360867914
1739209607.630734;-45.120503652039325
1739209607.6307478;-45.120503652039325
1739209607.6307616;-38.13080360867914
1739209607.6307755;-28.58837851428586
1739209607.6307893;-38.13080360867914
1739209607.630803;-45.120503652039325
1739209607.630817;-45.120503652039325
1739209607.6308308;-31.141103565318915
1739209607.6308446;-45.120503652039325
1739209607.6308584;-38.13080360867914
1739209607.6308722;-45.120503652039325
1739209607.630886;-45.120503652039325
1739209607.6309;-45.120503652039325
1739209607.6309137;-38.13080360867914
1739209607.6309276;-38.13080360867914
1739209607.6309414;-45.120503652039325
1739209607.6309552;-45.120503652039325
1739209607.6309693;-45.120503652039325
1739209607.630983;-38.13080360867914
1739209607.630997;-35.57807855764607
1739209607.6310108;-38.13080360867914
1739209607.6310246;-45.120503652039325
1739209607.6310384;-35.57807855764607
