CAN Message; 0x39:06e1bd6a8238b7a2
Timestamp;Amplitude
1739209631.1668873;-38.13080360867914
1739209631.1668963;-35.57807855764607
1739209631.1669052;-45.120503652039325
1739209631.1669142;-38.13080360867914
1739209631.1669233;-32.816014438256545
1739209631.1669323;-38.13080360867914
1739209631.1669412;-45.120503652039325
1739209631.1669502;-45.120503652039325
1739209631.1669593;-35.57807855764607
1739209631.1669683;-38.13080360867914
1739209631.1669774;-45.120503652039325
1739209631.1669862;-38.13080360867914
1739209631.1669953;-45.120503652039325
1739209631.1670043;-35.57807855764607
1739209631.1670134;-38.13080360867914
1739209631.1670222;-45.120503652039325
1739209631.1670313;-38.13080360867914
1739209631.1670403;-38.13080360867914
1739209631.1670494;-32.816014438256545
1739209631.1670585;-35.57807855764607
1739209631.1670673;-45.120503652039325
1739209631.1670763;-38.13080360867914
1739209631.1670854;-38.13080360867914
1739209631.1670945;-35.57807855764607
1739209631.1671033;-45.120503652039325
1739209631.1671124;-38.13080360867914
1739209631.1671214;-38.13080360867914
1739209631.1671305;-45.120503652039325
1739209631.1671395;-45.120503652039325
1739209631.1671484;-45.120503652039325
1739209631.1671574;-38.13080360867914
1739209631.1671665;-45.120503652039325
1739209631.1671755;-38.13080360867914
1739209631.1671844;-38.13080360867914
1739209631.1671934;-35.57807855764607
1739209631.1672025;-33.981070128970906
1739209631.1672115;-45.120503652039325
1739209631.1672206;-45.120503652039325
1739209631.1672294;-33.981070128970906
1739209631.1672385;-33.981070128970906
1739209631.1672475;-45.120503652039325
1739209631.1672566;-45.120503652039325
1739209631.1672654;-45.120503652039325
1739209631.1672745;-45.120503652039325
1739209631.1672835;-45.120503652039325
1739209631.1672926;-45.120503652039325
1739209631.1673017;-45.120503652039325
1739209631.1673105;-45.120503652039325
1739209631.1673195;-45.120503652039325
1739209631.1673286;-45.120503652039325
1739209631.1673377;-45.120503652039325
1739209631.1673465;-45.120503652039325
1739209631.1673555;-45.120503652039325
1739209631.1673646;-45.120503652039325
1739209631.1673737;-35.57807855764607
1739209631.1673827;-38.13080360867914
1739209631.1673915;-45.120503652039325
1739209631.1674006;-45.120503652039325
1739209631.1674097;-33.981070128970906
1739209631.1674187;-31.141103565318915
1739209631.1674275;-38.13080360867914
1739209631.1674366;-38.13080360867914
1739209631.1674457;-32.816014438256545
1739209631.1674547;-33.981070128970906
1739209631.1674638;-45.120503652039325
1739209631.1674726;-45.120503652039325
1739209631.1674817;-45.120503652039325
1739209631.1674907;-38.13080360867914
1739209631.1674998;-45.120503652039325
1739209631.1675086;-45.120503652039325
1739209631.1675177;-38.13080360867914
1739209631.1675267;-45.120503652039325
1739209631.1675358;-45.120503652039325
1739209631.1675448;-45.120503652039325
1739209631.1675537;-38.13080360867914
1739209631.1675627;-31.141103565318915
1739209631.1675718;-45.120503652039325
1739209631.1675808;-38.13080360867914
1739209631.1675897;-35.57807855764607
1739209631.1675987;-38.13080360867914
1739209631.1676078;-45.120503652039325
1739209631.1676168;-45.120503652039325
1739209631.167626;-38.13080360867914
1739209631.1676347;-45.120503652039325
