CAN Message; 0x150:06006820d4f46700
Timestamp;Amplitude
1739209710.578876;-38.13080360867914
1739209710.5788782;-45.120503652039325
1739209710.5788805;-45.120503652039325
1739209710.578883;-45.120503652039325
1739209710.5788853;-38.13080360867914
1739209710.5788875;-45.120503652039325
1739209710.5788898;-35.57807855764607
1739209710.5788922;-33.981070128970906
1739209710.5788946;-33.981070128970906
1739209710.5788968;-38.13080360867914
1739209710.5788991;-38.13080360867914
1739209710.5789015;-35.57807855764607
1739209710.578904;-45.120503652039325
1739209710.578906;-45.120503652039325
1739209710.5789084;-45.120503652039325
1739209710.5789108;-33.981070128970906
1739209710.5789132;-33.981070128970906
1739209710.5789154;-45.120503652039325
1739209710.5789177;-45.120503652039325
1739209710.5789201;-38.13080360867914
1739209710.5789225;-38.13080360867914
1739209710.5789247;-38.13080360867914
1739209710.578927;-38.13080360867914
1739209710.5789294;-38.13080360867914
1739209710.5789318;-38.13080360867914
1739209710.578934;-38.13080360867914
1739209710.5789363;-45.120503652039325
1739209710.5789387;-38.13080360867914
1739209710.578941;-33.981070128970906
1739209710.5789433;-45.120503652039325
1739209710.5789456;-45.120503652039325
1739209710.578948;-45.120503652039325
1739209710.5789504;-38.13080360867914
1739209710.5789526;-32.816014438256545
1739209710.578955;-45.120503652039325
1739209710.5789573;-38.13080360867914
1739209710.5789597;-38.13080360867914
1739209710.5789618;-38.13080360867914
1739209710.5789642;-38.13080360867914
1739209710.5789666;-45.120503652039325
1739209710.578969;-38.13080360867914
1739209710.5789711;-38.13080360867914
1739209710.5789735;-38.13080360867914
1739209710.578976;-38.13080360867914
1739209710.5789783;-45.120503652039325
1739209710.5789804;-32.816014438256545
1739209710.5789828;-45.120503652039325
1739209710.5789852;-38.13080360867914
1739209710.5789876;-31.141103565318915
1739209710.5789897;-38.13080360867914
1739209710.5789921;-45.120503652039325
1739209710.5789945;-38.13080360867914
1739209710.578997;-38.13080360867914
1739209710.578999;-45.120503652039325
1739209710.5790014;-45.120503652039325
1739209710.5790038;-45.120503652039325
1739209710.5790062;-35.57807855764607
1739209710.5790083;-45.120503652039325
1739209710.5790107;-38.13080360867914
1739209710.579013;-38.13080360867914
1739209710.5790155;-45.120503652039325
1739209710.5790176;-38.13080360867914
1739209710.57902;-45.120503652039325
1739209710.5790224;-38.13080360867914
1739209710.5790248;-27.267205301931607
1739209710.579027;-38.13080360867914
1739209710.5790293;-45.120503652039325
1739209710.5790317;-38.13080360867914
1739209710.579034;-38.13080360867914
1739209710.5790362;-38.13080360867914
1739209710.5790386;-38.13080360867914
1739209710.579041;-33.981070128970906
1739209710.5790434;-30.49652367304976
1739209710.5790455;-45.120503652039325
1739209710.579048;-38.13080360867914
1739209710.5790503;-45.120503652039325
1739209710.5790527;-45.120503652039325
1739209710.5790548;-45.120503652039325
1739209710.5790572;-45.120503652039325
1739209710.5790596;-35.57807855764607
1739209710.579062;-28.992665084841942
1739209710.5790641;-38.13080360867914
1739209710.5790665;-35.57807855764607
1739209710.579069;-35.57807855764607
1739209710.5790713;-38.13080360867914
1739209710.5790734;-45.120503652039325
1739209710.5790758;-38.13080360867914
1739209710.5790782;-38.13080360867914
1739209710.5790803;-33.981070128970956
1739209710.5790827;-45.120503652039325
1739209710.579085;-33.981070128970906
1739209710.5790875;-38.13080360867914
1739209710.5790896;-38.13080360867914
1739209710.579092;-38.13080360867914
1739209710.5790944;-38.13080360867914
1739209710.5790968;-45.120503652039325
1739209710.579099;-33.981070128970906
1739209710.5791013;-35.57807855764607
1739209710.5791037;-38.13080360867914
1739209710.579106;-38.13080360867914
1739209710.5791082;-38.13080360867914
