CAN Message; 0x77:19d1fb7de98000d3
Timestamp;Amplitude
1739209726.0009685;-38.13080360867914
1739209726.0009775;-38.13080360867914
1739209726.0009866;-45.120503652039325
1739209726.0009959;-45.120503652039325
1739209726.001005;-45.120503652039325
1739209726.001014;-45.120503652039325
1739209726.0010233;-38.13080360867914
1739209726.0010324;-38.13080360867914
1739209726.0010414;-38.13080360867914
1739209726.0010507;-38.13080360867914
1739209726.0010598;-38.13080360867914
1739209726.001069;-38.13080360867914
1739209726.0010781;-38.13080360867914
1739209726.0010872;-35.57807855764607
1739209726.0010965;-35.57807855764607
1739209726.0011055;-45.120503652039325
1739209726.0011146;-38.13080360867914
1739209726.001124;-45.120503652039325
1739209726.001133;-38.13080360867914
1739209726.001142;-45.120503652039325
1739209726.0011513;-45.120503652039325
1739209726.0011604;-38.13080360867914
1739209726.0011694;-38.13080360867914
1739209726.0011787;-45.120503652039325
1739209726.0011878;-33.981070128970906
1739209726.001197;-33.981070128970906
1739209726.0012062;-38.13080360867914
1739209726.0012152;-38.13080360867914
1739209726.0012245;-45.120503652039325
1739209726.0012336;-45.120503652039325
1739209726.0012426;-45.120503652039325
1739209726.001252;-38.13080360867914
1739209726.001261;-38.13080360867914
1739209726.00127;-38.13080360867914
1739209726.0012794;-38.13080360867914
1739209726.0012884;-38.13080360867914
1739209726.0012975;-33.981070128970906
1739209726.0013068;-32.816014438256545
1739209726.0013158;-35.57807855764607
1739209726.001325;-38.13080360867914
1739209726.0013342;-38.13080360867914
1739209726.0013433;-38.13080360867914
1739209726.0013525;-45.120503652039325
1739209726.0013616;-38.13080360867914
1739209726.0013707;-38.13080360867914
1739209726.00138;-45.120503652039325
1739209726.001389;-45.120503652039325
1739209726.001398;-38.13080360867914
1739209726.0014074;-35.57807855764607
1739209726.0014164;-45.120503652039325
1739209726.0014255;-45.120503652039325
1739209726.0014348;-33.981070128970906
1739209726.0014439;-38.13080360867914
1739209726.001453;-33.981070128970906
1739209726.0014622;-35.57807855764607
1739209726.0014713;-38.13080360867914
1739209726.0014803;-45.120503652039325
1739209726.0014896;-35.57807855764607
1739209726.0014987;-38.13080360867914
1739209726.001508;-45.120503652039325
1739209726.001517;-45.120503652039325
