CAN Message; 0x77:99af619073aa0eac
Timestamp;Amplitude
1739209887.3541012;-45.120503652039325
1739209887.354103;-38.13080360867914
1739209887.3541052;-45.120503652039325
1739209887.3541071;-38.13080360867914
1739209887.3541093;-38.13080360867914
1739209887.3541112;-35.57807855764607
1739209887.3541133;-45.120503652039325
1739209887.3541155;-45.120503652039325
1739209887.3541174;-38.13080360867914
1739209887.3541195;-33.981070128970906
1739209887.3541214;-27.8777449560314
1739209887.3541236;-38.13080360867914
1739209887.3541257;-35.57807855764607
1739209887.3541276;-38.13080360867914
1739209887.3541298;-32.816014438256545
1739209887.3541317;-38.13080360867914
1739209887.3541338;-45.120503652039325
1739209887.3541358;-45.120503652039325
1739209887.354138;-38.13080360867914
1739209887.35414;-45.120503652039325
1739209887.354142;-38.13080360867914
1739209887.354144;-38.13080360867914
1739209887.354146;-45.120503652039325
1739209887.3541481;-38.13080360867914
1739209887.3541503;-38.13080360867914
1739209887.3541522;-35.57807855764607
1739209887.3541543;-26.991370085610736
1739209887.3541563;-35.57807855764607
1739209887.3541584;-45.120503652039325
1739209887.3541603;-38.13080360867914
1739209887.3541625;-32.816014438256545
1739209887.3541646;-45.120503652039325
1739209887.3541665;-45.120503652039325
1739209887.3541687;-33.981070128970906
1739209887.3541706;-38.13080360867914
1739209887.3541727;-45.120503652039325
1739209887.3541746;-35.57807855764607
1739209887.3541768;-38.13080360867914
1739209887.354179;-45.120503652039325
1739209887.3541808;-35.57807855764607
1739209887.354183;-38.13080360867914
1739209887.3541849;-38.13080360867914
1739209887.354187;-29.438486411369333
1739209887.3541892;-33.981070128970906
1739209887.354191;-45.120503652039325
1739209887.3541932;-45.120503652039325
1739209887.354195;-38.13080360867914
1739209887.3541973;-38.13080360867914
1739209887.3541992;-45.120503652039325
1739209887.3542013;-38.13080360867914
1739209887.3542035;-45.120503652039325
1739209887.3542054;-45.120503652039325
1739209887.3542075;-45.120503652039325
1739209887.3542094;-45.120503652039325
1739209887.3542116;-45.120503652039325
1739209887.3542137;-38.13080360867914
1739209887.3542156;-45.120503652039325
1739209887.3542178;-38.13080360867914
1739209887.3542197;-35.57807855764607
1739209887.3542218;-38.13080360867914
1739209887.3542237;-38.13080360867914
1739209887.3542259;-38.13080360867914
1739209887.354228;-45.120503652039325
1739209887.35423;-45.120503652039325
1739209887.354232;-38.13080360867914
1739209887.354234;-38.13080360867914
1739209887.3542361;-35.57807855764607
1739209887.3542383;-38.13080360867914
1739209887.3542402;-45.120503652039325
1739209887.3542423;-45.120503652039325
1739209887.3542442;-38.13080360867914
1739209887.3542464;-38.13080360867914
1739209887.3542483;-38.13080360867914
1739209887.3542504;-38.13080360867914
1739209887.3542526;-45.120503652039325
1739209887.3542545;-45.120503652039325
1739209887.3542566;-38.13080360867914
1739209887.3542585;-38.13080360867914
1739209887.3542607;-45.120503652039325
1739209887.3542626;-38.13080360867914
1739209887.3542647;-33.981070128970906
1739209887.354267;-38.13080360867914
1739209887.3542688;-45.120503652039325
1739209887.354271;-38.13080360867914
1739209887.3542728;-38.13080360867914
1739209887.354275;-45.120503652039325
1739209887.3542771;-45.120503652039325
1739209887.354279;-38.13080360867914
1739209887.3542812;-45.120503652039325
1739209887.354283;-35.57807855764607
1739209887.3542852;-38.13080360867914
1739209887.3542871;-45.120503652039325
1739209887.3542893;-33.981070128970906
1739209887.3542914;-45.120503652039325
1739209887.3542933;-45.120503652039325
1739209887.3542955;-45.120503652039325
1739209887.3542974;-38.13080360867914
1739209887.3542995;-38.13080360867914
1739209887.3543017;-38.13080360867914
1739209887.3543036;-38.13080360867914
1739209887.3543057;-32.816014438256545
1739209887.3543077;-38.13080360867914
1739209887.3543098;-45.120503652039325
1739209887.3543117;-38.13080360867914
1739209887.3543139;-38.13080360867914
1739209887.354316;-38.13080360867914
1739209887.354318;-38.13080360867914
1739209887.35432;-35.57807855764607
1739209887.354322;-38.13080360867914
1739209887.354324;-38.13080360867914
1739209887.354326;-38.13080360867914
1739209887.3543282;-35.57807855764607
1739209887.3543303;-35.57807855764607
