CAN Message; 0x150:0500a04bdb97462b
Timestamp;Amplitude
1739209755.3554783;-33.981070128970906
1739209755.3554807;-38.13080360867914
1739209755.355483;-38.13080360867914
1739209755.3554852;-38.13080360867914
1739209755.3554876;-38.13080360867914
1739209755.35549;-33.981070128970906
1739209755.3554924;-45.120503652039325
1739209755.3554947;-45.120503652039325
1739209755.3554971;-45.120503652039325
1739209755.3554995;-35.57807855764607
1739209755.3555017;-38.13080360867914
1739209755.355504;-45.120503652039325
1739209755.3555064;-45.120503652039325
1739209755.3555088;-45.120503652039325
1739209755.3555112;-38.13080360867914
1739209755.3555136;-35.57807855764607
1739209755.355516;-45.120503652039325
1739209755.3555183;-45.120503652039325
1739209755.3555205;-45.120503652039325
1739209755.3555229;-45.120503652039325
1739209755.3555253;-33.981070128970906
1739209755.3555276;-45.120503652039325
1739209755.35553;-38.13080360867914
1739209755.3555324;-38.13080360867914
1739209755.3555348;-33.981070128970906
1739209755.355537;-25.826314394896354
1739209755.3555393;-38.13080360867914
1739209755.3555417;-45.120503652039325
1739209755.355544;-38.13080360867914
1739209755.3555465;-35.57807855764607
1739209755.3555489;-45.120503652039325
1739209755.3555512;-45.120503652039325
1739209755.3555534;-45.120503652039325
1739209755.3555558;-45.120503652039325
1739209755.3555582;-45.120503652039325
1739209755.3555605;-45.120503652039325
1739209755.355563;-45.120503652039325
1739209755.3555653;-45.120503652039325
1739209755.3555677;-38.13080360867914
1739209755.35557;-38.13080360867914
1739209755.3555722;-45.120503652039325
1739209755.3555746;-45.120503652039325
1739209755.355577;-45.120503652039325
1739209755.3555794;-45.120503652039325
1739209755.3555818;-38.13080360867914
1739209755.3555841;-45.120503652039325
1739209755.3555865;-45.120503652039325
1739209755.3555887;-45.120503652039325
1739209755.355591;-45.120503652039325
1739209755.3555934;-28.58837851428586
1739209755.3555958;-35.57807855764607
1739209755.3555982;-45.120503652039325
1739209755.3556006;-45.120503652039325
1739209755.355603;-32.816014438256545
1739209755.3556051;-38.13080360867914
1739209755.3556075;-38.13080360867914
1739209755.35561;-38.13080360867914
1739209755.3556123;-33.981070128970956
1739209755.3556147;-45.120503652039325
1739209755.355617;-32.816014438256545
1739209755.3556194;-45.120503652039325
1739209755.3556218;-45.120503652039325
1739209755.355624;-38.13080360867914
1739209755.3556263;-45.120503652039325
1739209755.3556287;-45.120503652039325
1739209755.355631;-45.120503652039325
1739209755.3556335;-38.13080360867914
1739209755.355636;-35.57807855764607
1739209755.3556383;-38.13080360867914
1739209755.3556404;-45.120503652039325
1739209755.3556428;-38.13080360867914
1739209755.3556452;-38.13080360867914
1739209755.3556476;-38.13080360867914
1739209755.35565;-38.13080360867914
1739209755.3556523;-38.13080360867914
1739209755.3556547;-35.57807855764607
1739209755.3556569;-38.13080360867914
1739209755.3556592;-35.57807855764607
1739209755.3556616;-38.13080360867914
1739209755.355664;-38.13080360867914
1739209755.3556664;-38.13080360867914
1739209755.3556688;-45.120503652039325
1739209755.3556712;-45.120503652039325
1739209755.3556736;-33.981070128970906
1739209755.3556757;-45.120503652039325
1739209755.355678;-45.120503652039325
1739209755.3556805;-33.981070128970906
1739209755.3556828;-45.120503652039325
1739209755.3556852;-38.13080360867914
1739209755.3556876;-45.120503652039325
1739209755.35569;-45.120503652039325
1739209755.3556921;-38.13080360867914
1739209755.3556945;-35.57807855764607
1739209755.355697;-38.13080360867914
1739209755.3556993;-45.120503652039325
1739209755.3557017;-38.13080360867914
1739209755.355704;-38.13080360867914
1739209755.3557065;-35.57807855764607
1739209755.3557086;-33.981070128970906
1739209755.355711;-45.120503652039325
1739209755.3557134;-38.13080360867914
1739209755.3557158;-35.57807855764607
1739209755.3557181;-35.57807855764607
1739209755.3557205;-45.120503652039325
1739209755.355723;-38.13080360867914
1739209755.3557253;-45.120503652039325
1739209755.3557274;-38.13080360867914
1739209755.3557298;-38.13080360867914
1739209755.3557322;-35.57807855764607
1739209755.3557346;-38.13080360867914
1739209755.355737;-38.13080360867914
1739209755.3557394;-38.13080360867914
1739209755.3557417;-38.13080360867914
1739209755.355744;-38.13080360867914
1739209755.3557463;-33.981070128970906
1739209755.3557487;-45.120503652039325
1739209755.355751;-38.13080360867914
1739209755.3557534;-38.13080360867914
1739209755.3557558;-38.13080360867914
1739209755.3557582;-45.120503652039325
1739209755.3557603;-38.13080360867914
1739209755.3557627;-45.120503652039325
1739209755.355765;-38.13080360867914
1739209755.3557675;-38.13080360867914
1739209755.3557699;-45.120503652039325
1739209755.3557723;-38.13080360867914
1739209755.3557746;-38.13080360867914
1739209755.3557768;-30.49652367304973
1739209755.3557792;-38.13080360867914
1739209755.3557816;-45.120503652039325
1739209755.355784;-45.120503652039325
1739209755.3557863;-33.981070128970906
1739209755.3557887;-35.57807855764607
1739209755.355791;-38.13080360867914
1739209755.3557935;-33.981070128970906
1739209755.3557956;-35.57807855764607
1739209755.355798;-38.13080360867914
1739209755.3558004;-45.120503652039325
1739209755.3558028;-25.826314394896357
1739209755.3558052;-31.141103565318915
1739209755.3558075;-45.120503652039325
1739209755.35581;-38.13080360867914
1739209755.355812;-38.13080360867914
1739209755.3558145;-45.120503652039325
1739209755.3558168;-38.13080360867914
1739209755.3558192;-38.13080360867914
1739209755.3558216;-38.13080360867914
1739209755.355824;-45.120503652039325
1739209755.3558264;-45.120503652039325
1739209755.3558285;-45.120503652039325
1739209755.355831;-45.120503652039325
1739209755.3558333;-45.120503652039325
1739209755.3558357;-38.13080360867914
1739209755.355838;-38.13080360867914
1739209755.3558404;-35.57807855764607
1739209755.3558428;-38.13080360867914
1739209755.3558452;-45.120503652039325
1739209755.3558474;-33.981070128970906
1739209755.3558497;-35.57807855764607
1739209755.3558521;-45.120503652039325
1739209755.3558545;-38.13080360867914
1739209755.355857;-38.13080360867914
1739209755.3558593;-45.120503652039325
1739209755.3558617;-45.120503652039325
1739209755.3558638;-38.13080360867914
1739209755.3558662;-45.120503652039325
1739209755.3558686;-45.120503652039325
1739209755.355871;-45.120503652039325
1739209755.3558733;-45.120503652039325
1739209755.3558757;-32.816014438256545
1739209755.355878;-45.120503652039325
1739209755.3558803;-45.120503652039325
