CAN Message; 0x1b8:0000c4a05fe5e07a
Timestamp;Amplitude
1739209864.3197582;-45.120503652039325
1739209864.319765;-38.13080360867914
1739209864.3197718;-38.13080360867914
1739209864.3197787;-45.120503652039325
1739209864.3197854;-45.120503652039325
1739209864.3197923;-38.13080360867914
1739209864.319799;-32.816014438256545
1739209864.3198059;-32.816014438256545
1739209864.3198125;-38.13080360867914
1739209864.3198192;-45.120503652039325
1739209864.3198261;-38.13080360867914
1739209864.3198328;-32.816014438256545
1739209864.3198397;-45.120503652039325
1739209864.3198464;-45.120503652039325
1739209864.3198533;-38.13080360867914
1739209864.31986;-45.120503652039325
1739209864.319867;-38.13080360867914
1739209864.3198736;-38.13080360867914
1739209864.3198805;-45.120503652039325
1739209864.3198872;-33.981070128970956
1739209864.3198938;-38.13080360867914
1739209864.3199008;-38.13080360867914
1739209864.3199074;-45.120503652039325
1739209864.3199143;-45.120503652039325
1739209864.319921;-38.13080360867914
1739209864.319928;-38.13080360867914
1739209864.3199346;-35.57807855764607
1739209864.3199415;-28.21854285175415
1739209864.3199482;-35.57807855764607
1739209864.3199549;-38.13080360867914
1739209864.3199618;-38.13080360867914
1739209864.3199685;-35.57807855764607
1739209864.3199754;-38.13080360867914
1739209864.319982;-45.120503652039325
1739209864.319989;-38.13080360867914
1739209864.3199956;-45.120503652039325
1739209864.3200026;-38.13080360867914
1739209864.3200092;-45.120503652039325
1739209864.3200161;-45.120503652039325
1739209864.3200228;-45.120503652039325
1739209864.3200295;-38.13080360867914
1739209864.3200364;-38.13080360867914
1739209864.320043;-38.13080360867914
1739209864.32005;-45.120503652039325
1739209864.3200567;-45.120503652039325
1739209864.3200636;-38.13080360867914
1739209864.3200703;-38.13080360867914
1739209864.3200772;-45.120503652039325
1739209864.3200839;-45.120503652039325
1739209864.3200905;-45.120503652039325
1739209864.3200974;-38.13080360867914
1739209864.3201041;-30.49652367304973
1739209864.320111;-38.13080360867914
1739209864.3201177;-45.120503652039325
1739209864.3201246;-45.120503652039325
1739209864.3201313;-38.13080360867914
1739209864.3201382;-38.13080360867914
1739209864.320145;-35.57807855764607
1739209864.3201518;-38.13080360867914
1739209864.3201585;-33.981070128970956
1739209864.3201652;-38.13080360867914
1739209864.320172;-45.120503652039325
1739209864.3201787;-45.120503652039325
1739209864.3201857;-45.120503652039325
1739209864.3201923;-45.120503652039325
1739209864.3201993;-38.13080360867914
1739209864.320206;-38.13080360867914
1739209864.3202128;-31.141103565318915
1739209864.3202195;-33.981070128970906
1739209864.3202262;-38.13080360867914
1739209864.320233;-38.13080360867914
1739209864.3202398;-38.13080360867914
1739209864.3202467;-45.120503652039325
1739209864.3202534;-45.120503652039325
1739209864.3202603;-45.120503652039325
1739209864.320267;-45.120503652039325
1739209864.3202739;-45.120503652039325
1739209864.3202806;-38.13080360867914
1739209864.3202872;-45.120503652039325
1739209864.3202941;-45.120503652039325
1739209864.3203008;-45.120503652039325
1739209864.3203077;-33.981070128970906
1739209864.3203144;-38.13080360867914
1739209864.3203213;-38.13080360867914
1739209864.320328;-38.13080360867914
1739209864.320335;-35.57807855764607
1739209864.3203416;-38.13080360867914
1739209864.3203485;-45.120503652039325
