CAN Message; 0x39:06e1c3ed0ce95bd4
Timestamp;Amplitude
1739209606.3411312;-38.13080360867914
1739209606.3411362;-45.120503652039325
1739209606.3411412;-45.120503652039325
1739209606.3411465;-45.120503652039325
1739209606.3411515;-45.120503652039325
1739209606.3411565;-35.57807855764607
1739209606.3411615;-38.13080360867914
1739209606.3411665;-45.120503652039325
1739209606.3411715;-45.120503652039325
1739209606.3411767;-45.120503652039325
1739209606.3411818;-45.120503652039325
1739209606.3411868;-45.120503652039325
1739209606.3411918;-45.120503652039325
1739209606.3411968;-33.981070128970906
1739209606.3412018;-25.826314394896357
1739209606.341207;-33.981070128970906
1739209606.341212;-45.120503652039325
1739209606.341217;-38.13080360867914
1739209606.341222;-38.13080360867914
1739209606.341227;-45.120503652039325
1739209606.341232;-45.120503652039325
1739209606.3412373;-45.120503652039325
1739209606.3412423;-35.57807855764607
1739209606.3412473;-38.13080360867914
1739209606.3412523;-45.120503652039325
1739209606.3412573;-33.981070128970906
1739209606.3412623;-38.13080360867914
1739209606.3412676;-45.120503652039325
1739209606.3412726;-45.120503652039325
1739209606.3412776;-38.13080360867914
1739209606.3412826;-28.992665084841942
1739209606.3412876;-31.141103565318915
1739209606.3412926;-38.13080360867914
1739209606.3412976;-38.13080360867914
1739209606.3413029;-38.13080360867914
1739209606.3413079;-35.57807855764607
1739209606.341313;-35.57807855764607
1739209606.341318;-33.981070128970906
1739209606.341323;-35.57807855764607
1739209606.341328;-33.981070128970906
1739209606.3413332;-45.120503652039325
1739209606.3413382;-38.13080360867914
1739209606.3413432;-35.57807855764607
1739209606.3413482;-45.120503652039325
1739209606.3413532;-38.13080360867914
1739209606.3413582;-35.57807855764607
1739209606.3413634;-38.13080360867914
1739209606.3413684;-38.13080360867914
1739209606.3413734;-45.120503652039325
1739209606.3413785;-45.120503652039325
1739209606.3413835;-45.120503652039325
1739209606.3413885;-45.120503652039325
1739209606.3413937;-45.120503652039325
1739209606.3413987;-45.120503652039325
1739209606.3414037;-38.13080360867914
1739209606.3414087;-38.13080360867914
1739209606.3414137;-35.57807855764607
1739209606.3414187;-45.120503652039325
1739209606.341424;-38.13080360867914
1739209606.341429;-38.13080360867914
1739209606.341434;-45.120503652039325
1739209606.341439;-45.120503652039325
1739209606.341444;-38.13080360867914
1739209606.341449;-45.120503652039325
1739209606.341454;-45.120503652039325
1739209606.3414593;-38.13080360867914
1739209606.3414643;-38.13080360867914
1739209606.3414693;-45.120503652039325
1739209606.3414743;-45.120503652039325
1739209606.3414793;-35.57807855764607
1739209606.3414843;-38.13080360867914
1739209606.3414896;-33.981070128970906
1739209606.3414946;-38.13080360867914
1739209606.3414996;-38.13080360867914
1739209606.3415046;-38.13080360867914
1739209606.3415096;-35.57807855764607
1739209606.3415146;-38.13080360867914
1739209606.3415198;-45.120503652039325
1739209606.3415248;-38.13080360867914
1739209606.3415298;-38.13080360867914
1739209606.3415349;-45.120503652039325
1739209606.3415399;-45.120503652039325
1739209606.3415449;-38.13080360867914
