CAN Message; 0x24:019a66ab1dba23b1
Timestamp;Amplitude
1739209608.348076;-38.13080360867914
1739209608.348083;-38.13080360867914
1739209608.34809;-45.120503652039325
1739209608.3480966;-45.120503652039325
1739209608.3481035;-45.120503652039325
1739209608.3481104;-45.120503652039325
1739209608.3481174;-45.120503652039325
1739209608.3481243;-38.13080360867914
1739209608.3481312;-38.13080360867914
1739209608.348138;-45.120503652039325
1739209608.348145;-38.13080360867914
1739209608.3481517;-45.120503652039325
1739209608.3481586;-32.816014438256545
1739209608.3481655;-38.13080360867914
1739209608.3481724;-45.120503652039325
1739209608.3481793;-45.120503652039325
1739209608.3481863;-38.13080360867914
1739209608.3481932;-38.13080360867914
1739209608.3481998;-45.120503652039325
1739209608.3482068;-38.13080360867914
1739209608.3482137;-38.13080360867914
1739209608.3482206;-45.120503652039325
1739209608.3482275;-45.120503652039325
1739209608.3482344;-45.120503652039325
1739209608.3482413;-45.120503652039325
1739209608.348248;-45.120503652039325
1739209608.348255;-45.120503652039325
1739209608.3482618;-45.120503652039325
1739209608.3482687;-45.120503652039325
1739209608.3482757;-45.120503652039325
1739209608.3482826;-38.13080360867914
1739209608.3482895;-38.13080360867914
1739209608.3482964;-32.816014438256545
1739209608.348303;-38.13080360867914
1739209608.34831;-38.13080360867914
1739209608.348317;-45.120503652039325
1739209608.3483238;-27.8777449560314
1739209608.3483307;-30.49652367304973
1739209608.3483377;-45.120503652039325
1739209608.3483446;-38.13080360867914
1739209608.3483512;-35.57807855764607
1739209608.3483582;-38.13080360867914
1739209608.348365;-45.120503652039325
1739209608.348372;-38.13080360867914
1739209608.348379;-45.120503652039325
1739209608.3483858;-38.13080360867914
1739209608.3483927;-32.816014438256545
1739209608.3483994;-33.981070128970906
1739209608.3484063;-45.120503652039325
1739209608.3484132;-38.13080360867914
1739209608.3484201;-38.13080360867914
1739209608.348427;-38.13080360867914
1739209608.348434;-33.981070128970906
1739209608.348441;-45.120503652039325
1739209608.3484478;-45.120503652039325
1739209608.3484545;-45.120503652039325
1739209608.3484614;-45.120503652039325
1739209608.3484683;-45.120503652039325
1739209608.3484752;-33.981070128970906
1739209608.3484821;-30.49652367304973
1739209608.348489;-35.57807855764607
1739209608.348496;-31.141103565318915
1739209608.3485026;-38.13080360867914
1739209608.3485096;-45.120503652039325
1739209608.3485165;-45.120503652039325
1739209608.3485234;-33.981070128970906
1739209608.3485303;-38.13080360867914
1739209608.3485372;-33.981070128970906
1739209608.3485441;-45.120503652039325
1739209608.3485508;-32.81601443825658
1739209608.3485577;-35.57807855764607
