CAN Message; 0x62:011fd9666316e394
Timestamp;Amplitude
1739209861.0215278;-38.13080360867914
1739209861.0215352;-38.13080360867914
1739209861.0215425;-38.13080360867914
1739209861.02155;-38.13080360867914
1739209861.0215573;-45.120503652039325
1739209861.0215647;-38.13080360867914
1739209861.0215724;-45.120503652039325
1739209861.0215797;-45.120503652039325
1739209861.0215871;-45.120503652039325
1739209861.0215945;-38.13080360867914
1739209861.021602;-45.120503652039325
1739209861.0216093;-27.267205301931607
1739209861.0216167;-31.141103565318915
1739209861.021624;-38.13080360867914
1739209861.0216315;-33.981070128970906
1739209861.0216389;-32.816014438256545
1739209861.0216463;-38.13080360867914
1739209861.0216537;-45.120503652039325
1739209861.021661;-33.981070128970906
1739209861.0216684;-38.13080360867914
1739209861.021676;-45.120503652039325
1739209861.0216835;-45.120503652039325
1739209861.0216908;-45.120503652039325
1739209861.0216982;-45.120503652039325
1739209861.0217056;-45.120503652039325
1739209861.021713;-38.13080360867914
1739209861.0217204;-45.120503652039325
1739209861.0217278;-45.120503652039325
1739209861.0217352;-45.120503652039325
1739209861.0217426;-45.120503652039325
1739209861.02175;-38.13080360867914
1739209861.0217574;-38.13080360867914
1739209861.0217648;-38.13080360867914
1739209861.0217721;-32.816014438256545
1739209861.0217798;-45.120503652039325
1739209861.0217872;-38.13080360867914
1739209861.0217946;-35.57807855764607
1739209861.021802;-38.13080360867914
1739209861.0218093;-38.13080360867914
1739209861.0218167;-35.57807855764607
1739209861.0218241;-38.13080360867914
1739209861.0218315;-38.13080360867914
1739209861.021839;-45.120503652039325
1739209861.0218463;-45.120503652039325
1739209861.0218537;-45.120503652039325
1739209861.021861;-45.120503652039325
1739209861.0218685;-45.120503652039325
1739209861.0218759;-45.120503652039325
1739209861.0218835;-38.13080360867914
1739209861.0218909;-38.13080360867914
1739209861.0218983;-45.120503652039325
1739209861.0219057;-38.13080360867914
1739209861.021913;-45.120503652039325
1739209861.0219204;-38.13080360867914
1739209861.0219278;-38.13080360867914
1739209861.0219352;-45.120503652039325
1739209861.0219426;-45.120503652039325
1739209861.02195;-38.13080360867914
1739209861.0219574;-38.13080360867914
1739209861.0219648;-45.120503652039325
1739209861.0219722;-38.13080360867914
1739209861.0219796;-45.120503652039325
1739209861.0219872;-45.120503652039325
1739209861.0219946;-38.13080360867914
1739209861.022002;-33.981070128970906
1739209861.0220094;-38.13080360867914
1739209861.0220168;-45.120503652039325
1739209861.0220242;-35.57807855764607
1739209861.0220315;-35.57807855764607
1739209861.022039;-45.120503652039325
1739209861.0220463;-38.13080360867914
1739209861.0220537;-38.13080360867914
1739209861.022061;-45.120503652039325
1739209861.0220685;-45.120503652039325
1739209861.022076;-45.120503652039325
1739209861.0220833;-45.120503652039325
1739209861.022091;-31.141103565318915
1739209861.0220983;-38.13080360867914
1739209861.0221057;-45.120503652039325
1739209861.022113;-45.120503652039325
1739209861.0221205;-33.981070128970906
1739209861.0221279;-45.120503652039325
1739209861.0221353;-38.13080360867914
1739209861.0221426;-35.57807855764607
