CAN Message; 0x1b8:0200ca347679c458
Timestamp;Amplitude
1739209609.0090437;-35.57807855764607
1739209609.0090513;-45.120503652039325
1739209609.009059;-38.13080360867914
1739209609.0090666;-45.120503652039325
1739209609.0090742;-33.981070128970956
1739209609.0090818;-45.120503652039325
1739209609.0090897;-45.120503652039325
1739209609.0090973;-45.120503652039325
1739209609.009105;-38.13080360867914
1739209609.0091126;-35.57807855764607
1739209609.0091202;-35.57807855764607
1739209609.0091279;-35.57807855764607
1739209609.0091355;-29.438486411369333
1739209609.009143;-33.981070128970906
1739209609.0091507;-45.120503652039325
1739209609.0091584;-45.120503652039325
1739209609.009166;-45.120503652039325
1739209609.0091736;-45.120503652039325
1739209609.0091815;-38.13080360867914
1739209609.0091891;-38.13080360867914
1739209609.0091968;-45.120503652039325
1739209609.0092044;-38.13080360867914
1739209609.009212;-38.13080360867914
1739209609.0092196;-38.13080360867914
1739209609.0092273;-35.57807855764607
1739209609.009235;-45.120503652039325
1739209609.0092425;-45.120503652039325
1739209609.0092502;-45.120503652039325
1739209609.0092578;-45.120503652039325
1739209609.0092654;-38.13080360867914
1739209609.0092733;-45.120503652039325
1739209609.009281;-38.13080360867914
1739209609.0092885;-38.13080360867914
1739209609.0092962;-33.981070128970906
1739209609.0093038;-45.120503652039325
1739209609.0093114;-45.120503652039325
1739209609.009319;-32.816014438256545
1739209609.0093267;-38.13080360867914
1739209609.0093343;-45.120503652039325
1739209609.009342;-38.13080360867914
1739209609.0093496;-31.141103565318893
1739209609.0093572;-38.13080360867914
1739209609.009365;-45.120503652039325
1739209609.0093727;-38.13080360867914
1739209609.0093803;-38.13080360867914
1739209609.009388;-45.120503652039325
1739209609.0093956;-45.120503652039325
1739209609.0094032;-45.120503652039325
1739209609.0094109;-38.13080360867914
1739209609.0094185;-31.141103565318915
1739209609.009426;-45.120503652039325
1739209609.0094337;-45.120503652039325
1739209609.0094414;-32.816014438256545
1739209609.009449;-35.57807855764607
1739209609.0094569;-38.13080360867914
1739209609.0094645;-45.120503652039325
1739209609.0094721;-45.120503652039325
1739209609.0094798;-45.120503652039325
1739209609.0094874;-45.120503652039325
1739209609.009495;-38.13080360867914
1739209609.0095026;-38.13080360867914
1739209609.0095103;-38.13080360867914
1739209609.009518;-45.120503652039325
1739209609.0095255;-38.13080360867914
1739209609.0095332;-35.57807855764607
1739209609.0095408;-38.13080360867914
