CAN Message; 0x39:019af7c90d98be00
Timestamp;Amplitude
1739209750.560779;-45.120503652039325
1739209750.560785;-45.120503652039325
1739209750.5607913;-38.13080360867914
1739209750.5607972;-45.120503652039325
1739209750.5608032;-45.120503652039325
1739209750.5608091;-33.981070128970906
1739209750.560815;-38.13080360867914
1739209750.5608213;-45.120503652039325
1739209750.5608273;-33.981070128970906
1739209750.5608332;-35.57807855764607
1739209750.5608392;-38.13080360867914
1739209750.5608451;-45.120503652039325
1739209750.5608513;-38.13080360867914
1739209750.5608573;-35.57807855764607
1739209750.5608633;-38.13080360867914
1739209750.5608692;-38.13080360867914
1739209750.5608752;-38.13080360867914
1739209750.5608814;-38.13080360867914
1739209750.5608873;-38.13080360867914
1739209750.5608933;-45.120503652039325
1739209750.5608993;-38.13080360867914
1739209750.5609052;-35.57807855764607
1739209750.5609114;-45.120503652039325
1739209750.5609174;-45.120503652039325
1739209750.5609233;-33.981070128970906
1739209750.5609293;-38.13080360867914
1739209750.5609353;-45.120503652039325
1739209750.5609415;-45.120503652039325
1739209750.5609474;-45.120503652039325
1739209750.5609534;-45.120503652039325
1739209750.5609593;-38.13080360867914
1739209750.5609653;-45.120503652039325
1739209750.5609715;-38.13080360867914
1739209750.5609775;-35.57807855764607
1739209750.5609834;-38.13080360867914
1739209750.5609894;-45.120503652039325
1739209750.5609953;-38.13080360867914
1739209750.5610015;-38.13080360867914
1739209750.5610075;-45.120503652039325
1739209750.5610135;-45.120503652039325
1739209750.5610194;-45.120503652039325
1739209750.5610254;-45.120503652039325
1739209750.5610316;-45.120503652039325
1739209750.5610375;-45.120503652039325
1739209750.5610435;-45.120503652039325
1739209750.5610495;-45.120503652039325
1739209750.5610554;-35.57807855764607
1739209750.5610616;-38.13080360867914
1739209750.5610676;-38.13080360867914
1739209750.5610735;-35.57807855764607
1739209750.5610795;-38.13080360867914
1739209750.5610855;-38.13080360867914
1739209750.5610917;-38.13080360867914
1739209750.5610976;-30.49652367304973
1739209750.5611036;-38.13080360867914
1739209750.5611095;-38.13080360867914
1739209750.5611155;-45.120503652039325
1739209750.5611217;-45.120503652039325
1739209750.5611277;-38.13080360867914
1739209750.5611336;-38.13080360867914
1739209750.5611396;-38.13080360867914
1739209750.5611455;-45.120503652039325
1739209750.5611517;-38.13080360867914
1739209750.5611577;-38.13080360867914
1739209750.5611637;-45.120503652039325
1739209750.5611696;-45.120503652039325
1739209750.5611756;-45.120503652039325
1739209750.5611818;-45.120503652039325
1739209750.5611877;-35.57807855764607
1739209750.5611937;-38.13080360867914
1739209750.5611997;-38.13080360867914
1739209750.5612056;-31.141103565318915
1739209750.5612118;-33.981070128970906
1739209750.5612178;-38.13080360867914
1739209750.5612237;-45.120503652039325
1739209750.5612297;-45.120503652039325
1739209750.5612357;-45.120503652039325
1739209750.5612419;-33.981070128970906
1739209750.5612478;-45.120503652039325
1739209750.5612538;-38.13080360867914
1739209750.5612597;-35.57807855764607
1739209750.5612657;-45.120503652039325
1739209750.561272;-33.981070128970906
1739209750.5612779;-38.13080360867914
1739209750.5612838;-45.120503652039325
1739209750.5612898;-45.120503652039325
1739209750.5612957;-38.13080360867914
1739209750.561302;-38.13080360867914
1739209750.561308;-45.120503652039325
1739209750.5613139;-35.57807855764607
1739209750.5613198;-38.13080360867914
1739209750.5613258;-45.120503652039325
1739209750.561332;-38.13080360867914
1739209750.561338;-38.13080360867914
1739209750.561344;-38.13080360867914
1739209750.5613499;-38.13080360867914
1739209750.5613558;-45.120503652039325
1739209750.561362;-38.13080360867914
1739209750.561368;-38.13080360867914
1739209750.561374;-45.120503652039325
1739209750.56138;-38.13080360867914
1739209750.5613859;-38.13080360867914
1739209750.561392;-45.120503652039325
1739209750.561398;-45.120503652039325
1739209750.561404;-38.13080360867914
1739209750.56141;-35.57807855764607
1739209750.561416;-38.13080360867914
1739209750.561422;-38.13080360867914
1739209750.561428;-38.13080360867914
1739209750.561434;-38.13080360867914
1739209750.56144;-38.13080360867914
1739209750.561446;-45.120503652039325
1739209750.5614522;-38.13080360867914
1739209750.561458;-38.13080360867914
1739209750.561464;-45.120503652039325
1739209750.56147;-45.120503652039325
1739209750.561476;-45.120503652039325
1739209750.5614822;-38.13080360867914
1739209750.5614882;-45.120503652039325
1739209750.561494;-45.120503652039325
1739209750.5615;-45.120503652039325
1739209750.561506;-45.120503652039325
1739209750.5615122;-33.981070128970906
1739209750.5615182;-38.13080360867914
1739209750.5615242;-45.120503652039325
1739209750.56153;-38.13080360867914
1739209750.561536;-38.13080360867914
1739209750.561542;-35.57807855764607
1739209750.5615482;-38.13080360867914
1739209750.5615542;-45.120503652039325
1739209750.5615602;-38.13080360867914
1739209750.561566;-45.120503652039325
1739209750.561572;-45.120503652039325
1739209750.5615783;-45.120503652039325
1739209750.5615842;-45.120503652039325
1739209750.5615902;-38.13080360867914
1739209750.5615962;-38.13080360867914
1739209750.561602;-38.13080360867914
1739209750.5616083;-33.981070128970906
1739209750.5616143;-35.57807855764607
1739209750.5616202;-38.13080360867914
1739209750.5616262;-38.13080360867914
1739209750.5616322;-35.57807855764607
1739209750.5616384;-45.120503652039325
1739209750.5616443;-45.120503652039325
1739209750.5616503;-45.120503652039325
1739209750.5616562;-45.120503652039325
1739209750.5616622;-45.120503652039325
1739209750.5616684;-38.13080360867914
1739209750.5616744;-35.57807855764607
1739209750.5616803;-38.13080360867914
1739209750.5616863;-45.120503652039325
1739209750.5616922;-38.13080360867914
1739209750.5616984;-38.13080360867914
1739209750.5617044;-38.13080360867914
1739209750.5617104;-45.120503652039325
1739209750.5617163;-38.13080360867914
1739209750.5617223;-38.13080360867914
1739209750.5617285;-38.13080360867914
1739209750.5617344;-38.13080360867914
1739209750.5617404;-38.13080360867914
1739209750.5617464;-35.57807855764607
1739209750.5617523;-45.120503652039325
1739209750.5617585;-45.120503652039325
1739209750.5617645;-38.13080360867914
1739209750.5617704;-32.816014438256545
1739209750.5617764;-45.120503652039325
1739209750.5617824;-38.13080360867914
1739209750.5617886;-45.120503652039325
1739209750.5617945;-45.120503652039325
1739209750.5618005;-38.13080360867914
1739209750.5618064;-45.120503652039325
1739209750.5618124;-33.981070128970906
1739209750.5618186;-38.13080360867914
1739209750.5618246;-38.13080360867914
1739209750.5618305;-38.13080360867914
1739209750.5618365;-38.13080360867914
1739209750.5618424;-38.13080360867914
1739209750.5618486;-45.120503652039325
1739209750.5618546;-45.120503652039325
1739209750.5618606;-38.13080360867914
1739209750.5618665;-32.816014438256545
1739209750.5618725;-38.13080360867914
1739209750.5618787;-45.120503652039325
1739209750.5618846;-38.13080360867914
1739209750.5618906;-45.120503652039325
1739209750.5618966;-38.13080360867914
1739209750.5619025;-38.13080360867914
1739209750.5619087;-38.13080360867914
1739209750.5619147;-38.13080360867914
1739209750.5619206;-38.13080360867914
1739209750.5619266;-35.57807855764607
1739209750.5619326;-38.13080360867914
1739209750.5619388;-35.57807855764607
1739209750.5619447;-38.13080360867914
1739209750.5619507;-38.13080360867914
1739209750.5619566;-38.13080360867914
1739209750.5619626;-35.57807855764607
1739209750.5619688;-38.13080360867914
1739209750.5619748;-45.120503652039325
1739209750.5619807;-35.57807855764607
1739209750.5619867;-32.816014438256545
1739209750.5619926;-38.13080360867914
1739209750.5619988;-45.120503652039325
1739209750.5620048;-38.13080360867914
1739209750.5620108;-32.816014438256545
1739209750.5620167;-35.57807855764607
1739209750.5620227;-38.13080360867914
1739209750.562029;-45.120503652039325
1739209750.5620348;-38.13080360867914
1739209750.5620408;-45.120503652039325
1739209750.5620468;-33.981070128970906
1739209750.5620527;-45.120503652039325
1739209750.562059;-38.13080360867914
1739209750.562065;-38.13080360867914
1739209750.5620708;-45.120503652039325
1739209750.5620768;-38.13080360867914
1739209750.5620828;-38.13080360867914
1739209750.562089;-45.120503652039325
1739209750.562095;-33.981070128970956
1739209750.562101;-45.120503652039325
1739209750.5621068;-38.13080360867914
1739209750.5621128;-45.120503652039325
1739209750.562119;-38.13080360867914
1739209750.562125;-45.120503652039325
1739209750.562131;-38.13080360867914
1739209750.562137;-38.13080360867914
1739209750.5621428;-30.49652367304973
1739209750.562149;-35.57807855764607
1739209750.562155;-45.120503652039325
1739209750.562161;-45.120503652039325
1739209750.562167;-33.981070128970906
1739209750.562173;-38.13080360867914
1739209750.562179;-38.13080360867914
1739209750.562185;-38.13080360867914
1739209750.562191;-38.13080360867914
1739209750.562197;-38.13080360867914
1739209750.562203;-35.57807855764607
1739209750.5622091;-38.13080360867914
1739209750.562215;-45.120503652039325
1739209750.562221;-38.13080360867914
1739209750.562227;-45.120503652039325
1739209750.562233;-38.13080360867914
1739209750.5622392;-38.13080360867914
1739209750.5622451;-38.13080360867914
1739209750.562251;-38.13080360867914
1739209750.562257;-35.57807855764607
1739209750.562263;-35.57807855764607
1739209750.5622692;-38.13080360867914
1739209750.5622752;-38.13080360867914
1739209750.5622811;-38.13080360867914
1739209750.562287;-31.141103565318915
1739209750.562293;-38.13080360867914
1739209750.5622993;-45.120503652039325
1739209750.5623052;-45.120503652039325
1739209750.5623112;-38.13080360867914
1739209750.5623171;-38.13080360867914
1739209750.562323;-45.120503652039325
1739209750.5623293;-45.120503652039325
1739209750.5623353;-38.13080360867914
1739209750.5623412;-38.13080360867914
1739209750.5623472;-45.120503652039325
1739209750.5623531;-38.13080360867914
1739209750.5623593;-38.13080360867914
1739209750.5623653;-45.120503652039325
1739209750.5623713;-45.120503652039325
1739209750.5623772;-33.981070128970906
1739209750.5623832;-31.141103565318915
1739209750.5623894;-33.981070128970906
1739209750.5623953;-38.13080360867914
1739209750.5624013;-45.120503652039325
1739209750.5624073;-38.13080360867914
1739209750.5624132;-38.13080360867914
1739209750.5624194;-38.13080360867914
1739209750.5624254;-38.13080360867914
1739209750.5624313;-35.57807855764607
1739209750.5624373;-35.57807855764607
1739209750.5624433;-38.13080360867914
1739209750.5624495;-38.13080360867914
1739209750.5624554;-38.13080360867914
1739209750.5624614;-45.120503652039325
1739209750.5624673;-45.120503652039325
1739209750.5624733;-45.120503652039325
1739209750.5624795;-38.13080360867914
1739209750.5624855;-38.13080360867914
1739209750.5624914;-45.120503652039325
1739209750.5624974;-45.120503652039325
1739209750.5625033;-38.13080360867914
1739209750.5625095;-38.13080360867914
1739209750.5625155;-38.13080360867914
1739209750.5625215;-45.120503652039325
1739209750.5625274;-45.120503652039325
1739209750.5625334;-38.13080360867914
1739209750.5625396;-35.57807855764607
1739209750.5625455;-45.120503652039325
1739209750.5625515;-45.120503652039325
1739209750.5625575;-38.13080360867914
1739209750.5625634;-33.981070128970906
1739209750.5625696;-45.120503652039325
1739209750.5625756;-45.120503652039325
1739209750.5625815;-38.13080360867914
1739209750.5625875;-45.120503652039325
1739209750.5625935;-45.120503652039325
1739209750.5625997;-45.120503652039325
1739209750.5626056;-45.120503652039325
1739209750.5626116;-38.13080360867914
1739209750.5626175;-45.120503652039325
1739209750.5626235;-45.120503652039325
