CAN Message; 0x24:0deb045ad871c455
Timestamp;Amplitude
1739209810.2538238;-35.57807855764607
1739209810.2538276;-45.120503652039325
1739209810.2538311;-45.120503652039325
1739209810.253835;-38.13080360867914
1739209810.2538385;-38.13080360867914
1739209810.253842;-33.981070128970906
1739209810.253846;-33.981070128970906
1739209810.2538495;-45.120503652039325
1739209810.2538533;-45.120503652039325
1739209810.253857;-38.13080360867914
1739209810.2538605;-35.57807855764607
1739209810.2538643;-38.13080360867914
1739209810.2538679;-45.120503652039325
1739209810.2538717;-35.57807855764607
1739209810.2538753;-35.57807855764607
1739209810.2538788;-45.120503652039325
1739209810.2538826;-35.57807855764607
1739209810.2538862;-38.13080360867914
1739209810.2538898;-45.120503652039325
1739209810.2538936;-38.13080360867914
1739209810.2538972;-45.120503652039325
1739209810.253901;-38.13080360867914
1739209810.2539046;-38.13080360867914
1739209810.2539082;-45.120503652039325
1739209810.253912;-38.13080360867914
1739209810.2539155;-33.981070128970906
1739209810.2539194;-38.13080360867914
1739209810.253923;-45.120503652039325
1739209810.2539265;-33.981070128970906
1739209810.2539303;-33.981070128970906
1739209810.253934;-45.120503652039325
1739209810.2539377;-35.57807855764607
1739209810.2539413;-38.13080360867914
1739209810.2539449;-38.13080360867914
1739209810.2539487;-45.120503652039325
1739209810.2539523;-45.120503652039325
1739209810.2539558;-45.120503652039325
1739209810.2539597;-45.120503652039325
1739209810.2539632;-45.120503652039325
1739209810.253967;-45.120503652039325
1739209810.2539706;-38.13080360867914
1739209810.2539742;-38.13080360867914
1739209810.253978;-45.120503652039325
1739209810.2539816;-38.13080360867914
1739209810.2539854;-35.57807855764607
1739209810.253989;-38.13080360867914
1739209810.2539926;-38.13080360867914
1739209810.2539964;-35.57807855764607
1739209810.254;-35.57807855764607
1739209810.2540035;-31.141103565318915
1739209810.2540073;-38.13080360867914
1739209810.254011;-38.13080360867914
1739209810.2540147;-38.13080360867914
1739209810.2540183;-38.13080360867914
1739209810.254022;-45.120503652039325
1739209810.2540257;-45.120503652039325
1739209810.2540293;-33.981070128970906
1739209810.254033;-31.14110356531892
1739209810.2540367;-45.120503652039325
1739209810.2540402;-33.981070128970906
1739209810.254044;-38.13080360867914
1739209810.2540476;-38.13080360867914
1739209810.2540514;-45.120503652039325
1739209810.254055;-45.120503652039325
1739209810.2540586;-45.120503652039325
1739209810.2540624;-31.141103565318915
1739209810.254066;-38.13080360867914
1739209810.2540696;-45.120503652039325
1739209810.2540734;-38.13080360867914
1739209810.254077;-38.13080360867914
1739209810.2540808;-38.13080360867914
1739209810.2540843;-38.13080360867914
1739209810.254088;-38.13080360867914
1739209810.2540917;-27.267205301931607
1739209810.2540953;-35.57807855764607
1739209810.2540991;-38.13080360867914
1739209810.2541027;-45.120503652039325
1739209810.2541063;-33.981070128970906
1739209810.25411;-45.120503652039325
1739209810.2541137;-45.120503652039325
1739209810.2541175;-45.120503652039325
1739209810.254121;-38.13080360867914
1739209810.2541246;-38.13080360867914
1739209810.2541285;-38.13080360867914
1739209810.254132;-45.120503652039325
1739209810.2541356;-38.13080360867914
1739209810.2541394;-33.981070128970906
1739209810.254143;-38.13080360867914
1739209810.2541468;-45.120503652039325
1739209810.2541504;-26.991370085610722
1739209810.254154;-31.141103565318893
1739209810.2541578;-38.13080360867914
1739209810.2541614;-38.13080360867914
1739209810.2541652;-38.13080360867914
1739209810.2541687;-45.120503652039325
1739209810.2541723;-38.13080360867914
1739209810.2541761;-35.57807855764607
1739209810.2541797;-45.120503652039325
1739209810.2541835;-45.120503652039325
1739209810.254187;-38.13080360867914
1739209810.2541907;-45.120503652039325
1739209810.2541945;-45.120503652039325
1739209810.254198;-45.120503652039325
1739209810.2542017;-45.120503652039325
1739209810.2542055;-45.120503652039325
1739209810.254209;-45.120503652039325
1739209810.2542129;-45.120503652039325
1739209810.2542164;-35.57807855764607
1739209810.25422;-33.981070128970906
1739209810.2542238;-45.120503652039325
1739209810.2542274;-38.13080360867914
1739209810.2542312;-38.13080360867914
1739209810.2542348;-38.13080360867914
1739209810.2542384;-33.981070128970906
