CAN Message; 0x150:010089cd304d053f
Timestamp;Amplitude
1739209696.3403454;-38.13080360867914
1739209696.3403478;-35.57807855764607
1739209696.3403504;-45.120503652039325
1739209696.3403528;-45.120503652039325
1739209696.3403554;-38.13080360867914
1739209696.3403578;-38.13080360867914
1739209696.3403604;-45.120503652039325
1739209696.3403628;-38.13080360867914
1739209696.3403654;-33.981070128970906
1739209696.3403678;-38.13080360867914
1739209696.3403704;-45.120503652039325
1739209696.3403728;-45.120503652039325
1739209696.3403754;-45.120503652039325
1739209696.3403778;-27.877744956031414
1739209696.3403804;-38.13080360867914
1739209696.3403828;-33.981070128970906
1739209696.3403854;-45.120503652039325
1739209696.3403878;-38.13080360867914
1739209696.3403904;-45.120503652039325
1739209696.3403928;-45.120503652039325
1739209696.3403955;-38.13080360867914
1739209696.3403978;-35.57807855764607
1739209696.3404005;-38.13080360867914
1739209696.3404028;-38.13080360867914
1739209696.3404055;-45.120503652039325
1739209696.3404078;-38.13080360867914
1739209696.3404105;-33.981070128970906
1739209696.3404129;-35.57807855764607
1739209696.3404155;-45.120503652039325
1739209696.3404179;-31.141103565318915
1739209696.3404205;-30.49652367304973
1739209696.3404229;-38.13080360867914
1739209696.3404255;-45.120503652039325
1739209696.3404279;-45.120503652039325
1739209696.3404305;-38.13080360867914
1739209696.340433;-38.13080360867914
1739209696.3404355;-45.120503652039325
1739209696.340438;-45.120503652039325
1739209696.3404405;-38.13080360867914
1739209696.340443;-38.13080360867914
1739209696.3404455;-45.120503652039325
1739209696.340448;-38.13080360867914
1739209696.3404505;-38.13080360867914
1739209696.340453;-45.120503652039325
1739209696.3404555;-45.120503652039325
1739209696.340458;-45.120503652039325
1739209696.3404605;-38.13080360867914
1739209696.340463;-38.13080360867914
1739209696.3404655;-45.120503652039325
1739209696.340468;-45.120503652039325
1739209696.3404706;-33.981070128970906
1739209696.340473;-38.13080360867914
1739209696.3404756;-45.120503652039325
1739209696.340478;-35.57807855764607
1739209696.3404806;-33.981070128970906
1739209696.340483;-45.120503652039325
1739209696.3404856;-45.120503652039325
1739209696.340488;-38.13080360867914
1739209696.3404906;-38.13080360867914
1739209696.340493;-38.13080360867914
1739209696.3404956;-35.57807855764607
1739209696.340498;-45.120503652039325
1739209696.3405006;-45.120503652039325
1739209696.340503;-38.13080360867914
1739209696.3405056;-45.120503652039325
1739209696.340508;-45.120503652039325
1739209696.3405106;-38.13080360867914
1739209696.340513;-45.120503652039325
1739209696.3405156;-38.13080360867914
1739209696.340518;-33.981070128970906
1739209696.3405206;-45.120503652039325
1739209696.340523;-45.120503652039325
1739209696.3405256;-35.57807855764607
1739209696.340528;-38.13080360867914
1739209696.3405306;-45.120503652039325
1739209696.340533;-45.120503652039325
1739209696.3405356;-38.13080360867914
1739209696.340538;-38.13080360867914
1739209696.3405406;-45.120503652039325
1739209696.340543;-45.120503652039325
1739209696.3405457;-45.120503652039325
1739209696.340548;-45.120503652039325
1739209696.3405507;-35.57807855764607
1739209696.340553;-38.13080360867914
1739209696.3405557;-38.13080360867914
1739209696.340558;-45.120503652039325
1739209696.3405607;-38.13080360867914
1739209696.340563;-38.13080360867914
1739209696.3405657;-45.120503652039325
1739209696.340568;-45.120503652039325
1739209696.3405707;-38.13080360867914
1739209696.340573;-38.13080360867914
1739209696.3405757;-45.120503652039325
1739209696.340578;-45.120503652039325
1739209696.3405807;-45.120503652039325
1739209696.340583;-45.120503652039325
1739209696.3405857;-45.120503652039325
1739209696.340588;-45.120503652039325
1739209696.3405907;-38.13080360867914
1739209696.340593;-45.120503652039325
1739209696.3405957;-45.120503652039325
1739209696.340598;-45.120503652039325
1739209696.3406007;-30.49652367304973
1739209696.340603;-32.816014438256545
1739209696.3406057;-45.120503652039325
1739209696.3406081;-38.13080360867914
1739209696.3406107;-38.13080360867914
1739209696.3406131;-35.57807855764607
1739209696.3406157;-45.120503652039325
1739209696.3406181;-38.13080360867914
1739209696.3406208;-45.120503652039325
1739209696.3406231;-38.13080360867914
1739209696.3406258;-38.13080360867914
1739209696.3406281;-45.120503652039325
1739209696.3406308;-45.120503652039325
1739209696.3406332;-38.13080360867914
1739209696.3406358;-35.57807855764607
1739209696.3406382;-38.13080360867914
1739209696.3406408;-45.120503652039325
1739209696.3406432;-45.120503652039325
1739209696.3406458;-38.13080360867914
1739209696.3406482;-38.13080360867914
1739209696.3406508;-32.816014438256545
1739209696.3406532;-33.981070128970906
1739209696.3406558;-38.13080360867914
1739209696.3406582;-45.120503652039325
1739209696.3406608;-30.49652367304973
1739209696.3406632;-28.992665084841942
1739209696.3406658;-45.120503652039325
1739209696.3406682;-33.981070128970906
1739209696.3406708;-45.120503652039325
1739209696.3406732;-45.120503652039325
1739209696.3406758;-38.13080360867914
1739209696.3406782;-45.120503652039325
1739209696.3406808;-45.120503652039325
1739209696.3406832;-32.81601443825658
1739209696.3406858;-45.120503652039325
1739209696.3406882;-45.120503652039325
1739209696.3406909;-33.981070128970906
1739209696.3406932;-45.120503652039325
1739209696.3406959;-38.13080360867914
1739209696.3406982;-38.13080360867914
1739209696.3407009;-29.438486411369333
1739209696.3407032;-28.992665084841942
1739209696.3407059;-45.120503652039325
1739209696.3407083;-38.13080360867914
1739209696.3407109;-35.57807855764607
1739209696.3407133;-38.13080360867914
1739209696.340716;-45.120503652039325
1739209696.3407183;-38.13080360867914
1739209696.340721;-33.981070128970906
1739209696.3407233;-45.120503652039325
1739209696.340726;-45.120503652039325
1739209696.3407283;-45.120503652039325
1739209696.340731;-35.57807855764607
1739209696.3407333;-45.120503652039325
1739209696.340736;-45.120503652039325
1739209696.3407383;-45.120503652039325
1739209696.340741;-45.120503652039325
1739209696.3407433;-38.13080360867914
1739209696.340746;-45.120503652039325
1739209696.3407483;-45.120503652039325
1739209696.340751;-45.120503652039325
1739209696.3407533;-38.13080360867914
1739209696.340756;-38.13080360867914
1739209696.3407583;-38.13080360867914
1739209696.340761;-38.13080360867914
1739209696.3407633;-28.992665084841942
1739209696.340766;-38.13080360867914
1739209696.3407683;-38.13080360867914
1739209696.340771;-38.13080360867914
1739209696.3407733;-35.57807855764607
1739209696.340776;-32.816014438256545
1739209696.3407784;-38.13080360867914
1739209696.340781;-45.120503652039325
1739209696.3407834;-30.49652367304973
