CAN Message; 0x24:00cd787d1b774c15
Timestamp;Amplitude
1739209776.2880452;-38.13080360867914
1739209776.2880535;-38.13080360867914
1739209776.2880619;-29.438486411369333
1739209776.2880702;-38.13080360867914
1739209776.2880785;-35.57807855764607
1739209776.288087;-33.981070128970906
1739209776.2880952;-38.13080360867914
1739209776.2881036;-38.13080360867914
1739209776.288112;-38.13080360867914
1739209776.2881203;-35.57807855764607
1739209776.2881286;-33.981070128970956
1739209776.288137;-45.120503652039325
1739209776.2881453;-38.13080360867914
1739209776.2881536;-38.13080360867914
1739209776.288162;-45.120503652039325
1739209776.2881703;-38.13080360867914
1739209776.2881787;-38.13080360867914
1739209776.288187;-45.120503652039325
1739209776.2881954;-29.438486411369333
1739209776.2882037;-32.816014438256545
1739209776.288212;-38.13080360867914
1739209776.2882204;-38.13080360867914
1739209776.2882288;-35.57807855764607
1739209776.288237;-35.57807855764607
1739209776.2882454;-45.120503652039325
1739209776.2882538;-38.13080360867914
1739209776.2882621;-45.120503652039325
1739209776.2882705;-45.120503652039325
1739209776.2882788;-38.13080360867914
1739209776.2882872;-38.13080360867914
1739209776.2882955;-45.120503652039325
1739209776.2883039;-45.120503652039325
1739209776.2883122;-45.120503652039325
1739209776.2883205;-45.120503652039325
1739209776.288329;-35.57807855764607
1739209776.2883372;-35.57807855764607
1739209776.2883456;-45.120503652039325
1739209776.288354;-38.13080360867914
1739209776.2883623;-35.57807855764607
1739209776.2883704;-35.57807855764607
1739209776.2883787;-45.120503652039325
1739209776.288387;-38.13080360867914
1739209776.2883954;-32.816014438256545
1739209776.2884037;-32.816014438256545
1739209776.288412;-38.13080360867914
1739209776.2884204;-45.120503652039325
1739209776.2884288;-32.816014438256545
1739209776.2884371;-35.57807855764607
1739209776.2884455;-45.120503652039325
1739209776.2884538;-33.981070128970906
1739209776.2884622;-45.120503652039325
1739209776.2884705;-38.13080360867914
1739209776.2884789;-38.13080360867914
1739209776.2884872;-38.13080360867914
1739209776.2884955;-45.120503652039325
1739209776.288504;-45.120503652039325
1739209776.2885122;-45.120503652039325
1739209776.2885206;-45.120503652039325
1739209776.288529;-31.141103565318893
1739209776.2885373;-28.58837851428586
1739209776.2885456;-38.13080360867914
1739209776.288554;-38.13080360867914
1739209776.2885623;-35.57807855764607
1739209776.2885706;-33.981070128970906
1739209776.288579;-45.120503652039325
1739209776.2885873;-35.57807855764607
1739209776.2885957;-45.120503652039325
1739209776.288604;-38.13080360867914
1739209776.2886124;-38.13080360867914
1739209776.2886207;-38.13080360867914
1739209776.288629;-38.13080360867914
1739209776.2886374;-38.13080360867914
1739209776.2886457;-38.13080360867914
1739209776.288654;-38.13080360867914
1739209776.2886624;-45.120503652039325
1739209776.2886708;-45.120503652039325
1739209776.2886791;-35.57807855764607
1739209776.2886875;-35.57807855764607
1739209776.2886958;-45.120503652039325
1739209776.2887042;-45.120503652039325
1739209776.2887125;-35.57807855764607
1739209776.2887208;-35.57807855764607
1739209776.2887292;-38.13080360867914
1739209776.2887375;-38.13080360867914
1739209776.2887459;-38.13080360867914
1739209776.2887542;-38.13080360867914
1739209776.2887626;-45.120503652039325
1739209776.288771;-33.981070128970906
1739209776.2887793;-32.816014438256545
1739209776.2887876;-32.816014438256545
1739209776.288796;-45.120503652039325
1739209776.2888043;-38.13080360867914
1739209776.2888126;-38.13080360867914
1739209776.288821;-33.981070128970906
1739209776.2888293;-45.120503652039325
1739209776.2888377;-45.120503652039325
1739209776.288846;-35.57807855764607
1739209776.2888544;-35.57807855764607
1739209776.2888627;-38.13080360867914
1739209776.288871;-38.13080360867914
1739209776.2888794;-38.13080360867914
1739209776.2888877;-38.13080360867914
1739209776.288896;-45.120503652039325
1739209776.2889044;-45.120503652039325
1739209776.2889128;-38.13080360867914
1739209776.288921;-33.981070128970906
1739209776.2889295;-45.120503652039325
1739209776.2889378;-45.120503652039325
1739209776.2889462;-45.120503652039325
1739209776.2889545;-45.120503652039325
1739209776.2889628;-38.13080360867914
1739209776.2889712;-35.57807855764607
1739209776.2889795;-33.981070128970906
1739209776.2889879;-45.120503652039325
1739209776.2889962;-38.13080360867914
1739209776.2890046;-33.981070128970906
1739209776.289013;-38.13080360867914
1739209776.2890213;-45.120503652039325
1739209776.2890294;-38.13080360867914
1739209776.2890377;-45.120503652039325
1739209776.289046;-38.13080360867914
1739209776.2890544;-38.13080360867914
1739209776.2890627;-38.13080360867914
1739209776.289071;-38.13080360867914
1739209776.2890794;-45.120503652039325
1739209776.2890878;-45.120503652039325
1739209776.289096;-35.57807855764607
1739209776.2891045;-35.57807855764607
1739209776.2891128;-38.13080360867914
1739209776.2891212;-45.120503652039325
1739209776.2891295;-45.120503652039325
1739209776.2891378;-38.13080360867914
1739209776.2891462;-45.120503652039325
1739209776.2891545;-45.120503652039325
1739209776.2891629;-38.13080360867914
1739209776.2891712;-33.981070128970906
1739209776.2891796;-38.13080360867914
1739209776.289188;-45.120503652039325
1739209776.2891963;-38.13080360867914
1739209776.2892046;-38.13080360867914
1739209776.289213;-32.81601443825658
1739209776.2892213;-45.120503652039325
1739209776.2892296;-45.120503652039325
1739209776.289238;-45.120503652039325
1739209776.2892463;-45.120503652039325
1739209776.2892547;-45.120503652039325
1739209776.289263;-38.13080360867914
1739209776.2892714;-35.57807855764607
1739209776.2892797;-31.141103565318915
1739209776.289288;-45.120503652039325
1739209776.2892964;-38.13080360867914
1739209776.2893047;-38.13080360867914
1739209776.289313;-38.13080360867914
1739209776.2893214;-45.120503652039325
1739209776.2893298;-45.120503652039325
1739209776.289338;-38.13080360867914
1739209776.2893465;-35.57807855764607
1739209776.2893548;-45.120503652039325
1739209776.2893631;-45.120503652039325
1739209776.2893715;-45.120503652039325
1739209776.2893798;-38.13080360867914
1739209776.2893882;-35.57807855764607
1739209776.2893965;-45.120503652039325
1739209776.2894049;-38.13080360867914
1739209776.2894132;-28.992665084841942
1739209776.2894216;-38.13080360867914
1739209776.28943;-45.120503652039325
1739209776.2894382;-38.13080360867914
1739209776.2894466;-38.13080360867914
1739209776.289455;-38.13080360867914
1739209776.2894633;-45.120503652039325
1739209776.2894716;-45.120503652039325
1739209776.28948;-45.120503652039325
1739209776.2894883;-38.13080360867914
1739209776.2894967;-45.120503652039325
1739209776.289505;-45.120503652039325
1739209776.2895133;-35.57807855764607
1739209776.2895217;-45.120503652039325
1739209776.28953;-45.120503652039325
1739209776.2895384;-38.13080360867914
1739209776.2895467;-33.981070128970956
1739209776.289555;-45.120503652039325
1739209776.2895634;-35.57807855764607
1739209776.2895718;-38.13080360867914
1739209776.28958;-45.120503652039325
1739209776.2895885;-38.13080360867914
1739209776.2895968;-38.13080360867914
1739209776.2896051;-38.13080360867914
1739209776.2896135;-28.58837851428586
1739209776.2896218;-38.13080360867914
1739209776.2896302;-45.120503652039325
1739209776.2896385;-33.981070128970906
1739209776.2896469;-45.120503652039325
1739209776.2896552;-45.120503652039325
1739209776.2896636;-32.816014438256545
1739209776.289672;-38.13080360867914
1739209776.28968;-45.120503652039325
1739209776.2896883;-38.13080360867914
1739209776.2896967;-38.13080360867914
1739209776.289705;-45.120503652039325
1739209776.2897134;-38.13080360867914
1739209776.2897217;-38.13080360867914
1739209776.28973;-33.981070128970906
1739209776.2897384;-38.13080360867914
