CAN Message; 0x39:0b33d9ab5ce346b8
Timestamp;Amplitude
1739209623.7248495;-45.120503652039325
1739209623.7248526;-33.981070128970906
1739209623.7248557;-28.992665084841942
1739209623.7248588;-45.120503652039325
1739209623.7248619;-38.13080360867914
1739209623.724865;-45.120503652039325
1739209623.724868;-38.13080360867914
1739209623.7248712;-38.13080360867914
1739209623.7248743;-38.13080360867914
1739209623.7248774;-33.981070128970906
1739209623.7248802;-38.13080360867914
1739209623.7248833;-38.13080360867914
1739209623.7248864;-38.13080360867914
1739209623.7248895;-45.120503652039325
1739209623.7248926;-45.120503652039325
1739209623.7248957;-45.120503652039325
1739209623.7248988;-33.981070128970906
1739209623.724902;-33.981070128970906
1739209623.724905;-31.141103565318915
1739209623.724908;-38.13080360867914
1739209623.7249112;-38.13080360867914
1739209623.7249143;-35.57807855764607
1739209623.7249174;-38.13080360867914
1739209623.7249205;-45.120503652039325
1739209623.7249236;-38.13080360867914
1739209623.7249267;-35.57807855764607
1739209623.7249298;-38.13080360867914
1739209623.724933;-38.13080360867914
1739209623.724936;-45.120503652039325
1739209623.724939;-45.120503652039325
1739209623.7249422;-38.13080360867914
1739209623.724945;-38.13080360867914
1739209623.7249482;-38.13080360867914
1739209623.7249513;-38.13080360867914
1739209623.7249544;-32.816014438256545
1739209623.7249575;-45.120503652039325
1739209623.7249606;-45.120503652039325
1739209623.7249637;-45.120503652039325
1739209623.7249668;-33.981070128970906
1739209623.7249699;-38.13080360867914
1739209623.724973;-38.13080360867914
1739209623.724976;-38.13080360867914
1739209623.7249792;-28.58837851428586
1739209623.7249823;-38.13080360867914
1739209623.7249854;-45.120503652039325
1739209623.7249885;-45.120503652039325
1739209623.7249916;-35.57807855764607
1739209623.7249947;-38.13080360867914
1739209623.7249978;-45.120503652039325
1739209623.7250009;-45.120503652039325
1739209623.725004;-38.13080360867914
1739209623.725007;-35.57807855764607
1739209623.7250102;-38.13080360867914
1739209623.725013;-45.120503652039325
1739209623.725016;-38.13080360867914
1739209623.7250192;-45.120503652039325
1739209623.7250223;-45.120503652039325
1739209623.7250254;-45.120503652039325
1739209623.7250285;-38.13080360867914
1739209623.7250316;-45.120503652039325
1739209623.7250347;-45.120503652039325
1739209623.7250378;-45.120503652039325
1739209623.725041;-38.13080360867914
1739209623.725044;-45.120503652039325
1739209623.725047;-45.120503652039325
1739209623.7250502;-45.120503652039325
1739209623.7250533;-38.13080360867914
1739209623.7250564;-45.120503652039325
1739209623.7250595;-38.13080360867914
1739209623.7250626;-45.120503652039325
1739209623.7250657;-35.57807855764607
1739209623.7250688;-32.816014438256545
1739209623.725072;-45.120503652039325
1739209623.725075;-45.120503652039325
1739209623.7250779;-33.981070128970906
1739209623.725081;-38.13080360867914
1739209623.725084;-38.13080360867914
1739209623.7250872;-45.120503652039325
1739209623.7250903;-38.13080360867914
1739209623.7250934;-38.13080360867914
1739209623.7250965;-38.13080360867914
1739209623.7250996;-45.120503652039325
1739209623.7251027;-38.13080360867914
1739209623.7251058;-38.13080360867914
1739209623.7251089;-38.13080360867914
1739209623.725112;-45.120503652039325
1739209623.725115;-38.13080360867914
1739209623.7251182;-35.57807855764607
1739209623.7251213;-38.13080360867914
1739209623.7251244;-45.120503652039325
1739209623.7251275;-38.13080360867914
1739209623.7251306;-38.13080360867914
1739209623.7251337;-45.120503652039325
1739209623.7251368;-45.120503652039325
1739209623.7251399;-45.120503652039325
1739209623.725143;-38.13080360867914
1739209623.7251458;-38.13080360867914
1739209623.725149;-35.57807855764607
1739209623.725152;-38.13080360867914
1739209623.725155;-45.120503652039325
1739209623.7251582;-45.120503652039325
1739209623.7251613;-45.120503652039325
1739209623.7251644;-45.120503652039325
1739209623.7251675;-45.120503652039325
1739209623.7251706;-45.120503652039325
1739209623.7251737;-45.120503652039325
1739209623.7251768;-45.120503652039325
1739209623.72518;-32.816014438256545
1739209623.725183;-45.120503652039325
1739209623.725186;-38.13080360867914
1739209623.7251892;-38.13080360867914
1739209623.7251923;-35.57807855764607
1739209623.7251954;-38.13080360867914
1739209623.7251985;-35.57807855764607
1739209623.7252016;-45.120503652039325
1739209623.7252047;-45.120503652039325
1739209623.7252078;-45.120503652039325
1739209623.7252107;-38.13080360867914
1739209623.7252138;-38.13080360867914
1739209623.7252169;-45.120503652039325
1739209623.72522;-38.13080360867914
1739209623.725223;-35.57807855764607
1739209623.7252262;-38.13080360867914
1739209623.7252293;-45.120503652039325
1739209623.7252324;-38.13080360867914
1739209623.7252355;-45.120503652039325
1739209623.7252386;-35.57807855764607
1739209623.7252417;-32.816014438256545
1739209623.7252448;-45.120503652039325
1739209623.7252479;-45.120503652039325
1739209623.725251;-45.120503652039325
1739209623.725254;-29.438486411369333
1739209623.7252572;-35.57807855764607
1739209623.7252603;-35.57807855764607
1739209623.7252634;-38.13080360867914
1739209623.7252665;-45.120503652039325
1739209623.7252696;-45.120503652039325
1739209623.7252727;-45.120503652039325
1739209623.7252755;-38.13080360867914
1739209623.7252786;-33.981070128970956
1739209623.7252817;-45.120503652039325
1739209623.7252848;-33.981070128970906
1739209623.725288;-45.120503652039325
1739209623.725291;-45.120503652039325
1739209623.725294;-38.13080360867914
1739209623.7252972;-32.816014438256545
1739209623.7253003;-38.13080360867914
1739209623.7253034;-27.8777449560314
1739209623.7253065;-32.816014438256545
1739209623.7253096;-45.120503652039325
1739209623.7253127;-38.13080360867914
1739209623.7253158;-38.13080360867914
1739209623.725319;-32.816014438256545
1739209623.725322;-32.816014438256545
1739209623.725325;-38.13080360867914
1739209623.7253282;-38.13080360867914
1739209623.7253313;-45.120503652039325
1739209623.7253344;-35.57807855764607
1739209623.7253375;-33.981070128970906
1739209623.7253404;-45.120503652039325
1739209623.7253435;-45.120503652039325
1739209623.7253466;-38.13080360867914
1739209623.7253497;-35.57807855764607
1739209623.7253528;-35.57807855764607
1739209623.7253559;-38.13080360867914
1739209623.725359;-45.120503652039325
1739209623.725362;-38.13080360867914
1739209623.7253652;-38.13080360867914
1739209623.7253683;-45.120503652039325
1739209623.7253714;-45.120503652039325
1739209623.7253745;-45.120503652039325
1739209623.7253776;-31.141103565318915
1739209623.7253807;-32.816014438256545
1739209623.7253838;-45.120503652039325
1739209623.7253869;-45.120503652039325
1739209623.72539;-32.816014438256545
1739209623.725393;-38.13080360867914
1739209623.7253962;-45.120503652039325
1739209623.7253993;-35.57807855764607
1739209623.7254024;-35.57807855764607
1739209623.7254055;-45.120503652039325
1739209623.7254083;-38.13080360867914
1739209623.7254114;-33.981070128970906
1739209623.7254145;-38.13080360867914
1739209623.7254176;-38.13080360867914
1739209623.7254207;-38.13080360867914
1739209623.7254238;-38.13080360867914
1739209623.725427;-30.49652367304973
1739209623.72543;-28.992665084841942
1739209623.725433;-45.120503652039325
1739209623.7254362;-38.13080360867914
1739209623.7254393;-32.816014438256545
1739209623.7254424;-38.13080360867914
1739209623.7254455;-45.120503652039325
1739209623.7254486;-38.13080360867914
1739209623.7254517;-35.57807855764607
1739209623.7254548;-38.13080360867914
1739209623.725458;-45.120503652039325
1739209623.725461;-38.13080360867914
1739209623.725464;-35.57807855764607
1739209623.7254672;-33.981070128970906
1739209623.7254703;-38.13080360867914
1739209623.7254732;-45.120503652039325
1739209623.7254763;-38.13080360867914
1739209623.7254794;-45.120503652039325
1739209623.7254825;-45.120503652039325
1739209623.7254856;-38.13080360867914
1739209623.7254887;-33.981070128970906
1739209623.7254918;-38.13080360867914
1739209623.7254949;-38.13080360867914
1739209623.725498;-38.13080360867914
1739209623.725501;-35.57807855764607
1739209623.7255042;-38.13080360867914
1739209623.7255073;-45.120503652039325
1739209623.7255104;-45.120503652039325
