CAN Message; 0x24:085110d3c168d546
Timestamp;Amplitude
1739209742.7604268;-45.120503652039325
1739209742.7604277;-35.57807855764607
1739209742.760429;-35.57807855764607
1739209742.76043;-38.13080360867914
1739209742.760431;-38.13080360867914
1739209742.7604322;-35.57807855764607
1739209742.7604332;-33.981070128970906
1739209742.7604344;-33.981070128970906
1739209742.7604356;-38.13080360867914
1739209742.7604365;-45.120503652039325
1739209742.7604377;-45.120503652039325
1739209742.760439;-38.13080360867914
1739209742.7604399;-38.13080360867914
1739209742.760441;-45.120503652039325
1739209742.760442;-45.120503652039325
1739209742.7604432;-45.120503652039325
1739209742.7604444;-45.120503652039325
1739209742.7604454;-38.13080360867914
1739209742.7604465;-35.57807855764607
1739209742.7604477;-38.13080360867914
1739209742.7604487;-45.120503652039325
1739209742.76045;-38.13080360867914
1739209742.760451;-35.57807855764607
1739209742.760452;-45.120503652039325
1739209742.7604532;-45.120503652039325
1739209742.7604542;-45.120503652039325
1739209742.7604554;-33.981070128970906
1739209742.7604566;-33.981070128970906
1739209742.7604575;-45.120503652039325
1739209742.7604587;-45.120503652039325
1739209742.76046;-45.120503652039325
1739209742.7604609;-35.57807855764607
1739209742.760462;-38.13080360867914
1739209742.760463;-45.120503652039325
1739209742.7604642;-35.57807855764607
1739209742.7604654;-35.57807855764607
1739209742.7604663;-38.13080360867914
1739209742.7604675;-38.13080360867914
1739209742.7604687;-32.816014438256545
1739209742.7604697;-38.13080360867914
1739209742.7604709;-45.120503652039325
1739209742.760472;-32.816014438256545
1739209742.760473;-25.826314394896357
1739209742.7604742;-45.120503652039325
1739209742.7604752;-45.120503652039325
1739209742.7604764;-45.120503652039325
1739209742.7604775;-31.141103565318915
1739209742.7604785;-45.120503652039325
1739209742.7604797;-45.120503652039325
1739209742.7604809;-45.120503652039325
1739209742.7604818;-31.14110356531892
1739209742.760483;-45.120503652039325
1739209742.760484;-38.13080360867914
1739209742.7604852;-38.13080360867914
1739209742.7604864;-38.13080360867914
1739209742.7604873;-45.120503652039325
1739209742.7604885;-45.120503652039325
1739209742.7604897;-38.13080360867914
1739209742.7604907;-27.267205301931607
1739209742.7604918;-38.13080360867914
1739209742.760493;-38.13080360867914
1739209742.760494;-38.13080360867914
1739209742.7604952;-33.981070128970906
1739209742.7604961;-35.57807855764607
1739209742.7604973;-38.13080360867914
1739209742.7604985;-38.13080360867914
1739209742.7604995;-30.49652367304973
1739209742.7605007;-45.120503652039325
1739209742.7605019;-33.981070128970906
1739209742.7605028;-38.13080360867914
1739209742.760504;-38.13080360867914
1739209742.760505;-45.120503652039325
1739209742.7605062;-38.13080360867914
1739209742.7605073;-45.120503652039325
1739209742.7605083;-33.981070128970906
1739209742.7605095;-38.13080360867914
1739209742.7605107;-38.13080360867914
1739209742.7605116;-35.57807855764607
1739209742.7605128;-38.13080360867914
1739209742.760514;-38.13080360867914
1739209742.760515;-38.13080360867914
1739209742.7605162;-45.120503652039325
1739209742.7605171;-45.120503652039325
1739209742.7605183;-38.13080360867914
1739209742.7605195;-38.13080360867914
1739209742.7605205;-35.57807855764607
1739209742.7605217;-38.13080360867914
1739209742.7605228;-45.120503652039325
1739209742.7605238;-45.120503652039325
1739209742.760525;-45.120503652039325
1739209742.760526;-38.13080360867914
1739209742.7605271;-45.120503652039325
1739209742.7605283;-38.13080360867914
1739209742.7605293;-45.120503652039325
1739209742.7605305;-45.120503652039325
1739209742.7605317;-38.13080360867914
1739209742.7605326;-45.120503652039325
1739209742.7605338;-33.981070128970906
1739209742.760535;-32.816014438256545
1739209742.760536;-33.981070128970906
1739209742.7605371;-38.13080360867914
1739209742.760538;-35.57807855764607
1739209742.7605393;-33.981070128970906
1739209742.7605405;-45.120503652039325
1739209742.7605414;-45.120503652039325
1739209742.7605426;-45.120503652039325
1739209742.7605438;-31.141103565318915
1739209742.7605448;-31.141103565318915
1739209742.760546;-38.13080360867914
1739209742.7605472;-38.13080360867914
1739209742.760548;-38.13080360867914
1739209742.7605493;-45.120503652039325
1739209742.7605503;-45.120503652039325
1739209742.7605515;-33.981070128970906
1739209742.7605526;-31.141103565318915
1739209742.7605536;-32.81601443825658
1739209742.7605548;-38.13080360867914
1739209742.760556;-38.13080360867914
1739209742.760557;-33.981070128970906
1739209742.7605581;-38.13080360867914
1739209742.760559;-38.13080360867914
1739209742.7605603;-45.120503652039325
1739209742.7605615;-38.13080360867914
