CAN Message; 0x24:054799c05992e3d6
Timestamp;Amplitude
1739209644.8296018;-45.120503652039325
1739209644.8296041;-38.13080360867914
1739209644.8296063;-45.120503652039325
1739209644.8296084;-38.13080360867914
1739209644.8296106;-45.120503652039325
1739209644.8296127;-45.120503652039325
1739209644.8296149;-45.120503652039325
1739209644.829617;-38.13080360867914
1739209644.8296192;-38.13080360867914
1739209644.8296213;-45.120503652039325
1739209644.8296235;-35.57807855764607
1739209644.8296258;-35.57807855764607
1739209644.829628;-45.120503652039325
1739209644.8296301;-35.57807855764607
1739209644.8296323;-45.120503652039325
1739209644.8296344;-45.120503652039325
1739209644.8296366;-35.57807855764607
1739209644.8296387;-38.13080360867914
1739209644.8296409;-45.120503652039325
1739209644.829643;-38.13080360867914
1739209644.8296454;-45.120503652039325
1739209644.8296475;-45.120503652039325
1739209644.8296497;-35.57807855764607
1739209644.8296518;-38.13080360867914
1739209644.829654;-38.13080360867914
1739209644.8296561;-45.120503652039325
1739209644.8296583;-45.120503652039325
1739209644.8296604;-45.120503652039325
1739209644.8296626;-38.13080360867914
1739209644.829665;-45.120503652039325
1739209644.829667;-45.120503652039325
1739209644.8296692;-38.13080360867914
1739209644.8296714;-38.13080360867914
1739209644.8296735;-45.120503652039325
1739209644.8296757;-38.13080360867914
1739209644.8296778;-38.13080360867914
1739209644.82968;-45.120503652039325
1739209644.829682;-45.120503652039325
1739209644.8296845;-38.13080360867914
1739209644.8296866;-33.981070128970906
1739209644.8296888;-38.13080360867914
1739209644.829691;-38.13080360867914
1739209644.829693;-45.120503652039325
1739209644.8296952;-45.120503652039325
1739209644.8296974;-38.13080360867914
1739209644.8296995;-35.57807855764607
1739209644.8297017;-45.120503652039325
1739209644.829704;-38.13080360867914
1739209644.8297062;-38.13080360867914
1739209644.8297083;-38.13080360867914
1739209644.8297105;-38.13080360867914
1739209644.8297126;-35.57807855764607
1739209644.8297148;-45.120503652039325
1739209644.829717;-38.13080360867914
1739209644.829719;-35.57807855764607
1739209644.8297212;-38.13080360867914
1739209644.8297236;-45.120503652039325
1739209644.8297257;-45.120503652039325
1739209644.829728;-45.120503652039325
1739209644.82973;-45.120503652039325
1739209644.8297322;-38.13080360867914
1739209644.8297343;-38.13080360867914
1739209644.8297365;-38.13080360867914
1739209644.8297386;-38.13080360867914
1739209644.8297408;-45.120503652039325
1739209644.8297431;-45.120503652039325
1739209644.8297453;-45.120503652039325
1739209644.8297474;-38.13080360867914
1739209644.8297496;-38.13080360867914
1739209644.8297517;-38.13080360867914
1739209644.8297539;-38.13080360867914
1739209644.829756;-45.120503652039325
1739209644.8297582;-45.120503652039325
1739209644.8297603;-45.120503652039325
1739209644.8297627;-45.120503652039325
1739209644.8297648;-45.120503652039325
1739209644.829767;-45.120503652039325
1739209644.8297691;-45.120503652039325
1739209644.8297713;-35.57807855764607
1739209644.8297734;-31.141103565318915
1739209644.8297756;-45.120503652039325
1739209644.8297777;-45.120503652039325
1739209644.8297799;-38.13080360867914
1739209644.8297822;-38.13080360867914
1739209644.8297844;-38.13080360867914
1739209644.8297865;-38.13080360867914
1739209644.8297887;-38.13080360867914
1739209644.8297908;-45.120503652039325
1739209644.829793;-38.13080360867914
1739209644.8297951;-35.57807855764607
1739209644.8297973;-45.120503652039325
1739209644.8297994;-38.13080360867914
1739209644.8298018;-38.13080360867914
1739209644.829804;-45.120503652039325
1739209644.829806;-38.13080360867914
1739209644.8298082;-32.816014438256545
1739209644.8298104;-38.13080360867914
1739209644.8298125;-45.120503652039325
1739209644.8298147;-45.120503652039325
1739209644.8298168;-45.120503652039325
1739209644.829819;-35.57807855764607
1739209644.8298213;-38.13080360867914
1739209644.8298235;-38.13080360867914
1739209644.8298256;-45.120503652039325
1739209644.8298278;-45.120503652039325
1739209644.82983;-45.120503652039325
1739209644.829832;-45.120503652039325
1739209644.8298342;-38.13080360867914
1739209644.8298364;-33.981070128970906
1739209644.8298385;-45.120503652039325
1739209644.829841;-45.120503652039325
1739209644.829843;-38.13080360867914
1739209644.8298452;-38.13080360867914
1739209644.8298473;-45.120503652039325
1739209644.8298495;-33.981070128970906
1739209644.8298516;-45.120503652039325
1739209644.8298538;-45.120503652039325
1739209644.829856;-45.120503652039325
1739209644.829858;-45.120503652039325
1739209644.8298604;-45.120503652039325
1739209644.8298626;-45.120503652039325
1739209644.8298647;-38.13080360867914
1739209644.829867;-38.13080360867914
1739209644.829869;-35.57807855764607
1739209644.8298712;-38.13080360867914
1739209644.8298733;-38.13080360867914
1739209644.8298755;-45.120503652039325
1739209644.8298776;-35.57807855764607
1739209644.82988;-38.13080360867914
1739209644.8298821;-38.13080360867914
1739209644.8298843;-33.981070128970906
1739209644.8298864;-38.13080360867914
1739209644.8298886;-45.120503652039325
