CAN Message; 0x39:00a46f7a8979adde
Timestamp;Amplitude
1739209736.6332717;-45.120503652039325
1739209736.633279;-33.981070128970906
1739209736.6332865;-38.13080360867914
1739209736.6332939;-45.120503652039325
1739209736.6333013;-45.120503652039325
1739209736.633309;-33.981070128970906
1739209736.6333163;-38.13080360867914
1739209736.6333237;-32.816014438256545
1739209736.633331;-32.816014438256545
1739209736.6333385;-45.120503652039325
1739209736.6333458;-38.13080360867914
1739209736.6333532;-35.57807855764607
1739209736.6333606;-45.120503652039325
1739209736.633368;-45.120503652039325
1739209736.6333754;-33.981070128970906
1739209736.633383;-45.120503652039325
1739209736.6333904;-45.120503652039325
1739209736.6333978;-35.57807855764607
1739209736.6334052;-35.57807855764607
1739209736.6334126;-45.120503652039325
1739209736.63342;-45.120503652039325
1739209736.6334274;-38.13080360867914
1739209736.6334348;-45.120503652039325
1739209736.6334422;-35.57807855764607
1739209736.6334496;-38.13080360867914
1739209736.6334572;-45.120503652039325
1739209736.6334646;-45.120503652039325
1739209736.633472;-38.13080360867914
1739209736.6334794;-45.120503652039325
1739209736.6334867;-45.120503652039325
1739209736.6334941;-45.120503652039325
1739209736.6335015;-35.57807855764607
1739209736.633509;-33.981070128970906
1739209736.6335163;-45.120503652039325
1739209736.6335237;-38.13080360867914
1739209736.6335313;-38.13080360867914
1739209736.6335387;-33.981070128970906
1739209736.633546;-45.120503652039325
1739209736.6335535;-38.13080360867914
1739209736.633561;-38.13080360867914
1739209736.6335683;-38.13080360867914
1739209736.6335757;-45.120503652039325
1739209736.633583;-45.120503652039325
1739209736.6335905;-38.13080360867914
1739209736.6335979;-45.120503652039325
1739209736.6336055;-45.120503652039325
1739209736.6336129;-45.120503652039325
1739209736.6336203;-35.57807855764607
1739209736.6336277;-25.826314394896357
1739209736.633635;-45.120503652039325
1739209736.6336424;-38.13080360867914
1739209736.6336498;-29.438486411369333
1739209736.6336572;-32.816014438256545
1739209736.6336646;-38.13080360867914
1739209736.633672;-45.120503652039325
1739209736.6336796;-45.120503652039325
1739209736.633687;-31.14110356531892
1739209736.6336944;-45.120503652039325
1739209736.6337018;-45.120503652039325
1739209736.6337092;-45.120503652039325
1739209736.6337166;-45.120503652039325
1739209736.633724;-38.13080360867914
1739209736.6337314;-38.13080360867914
1739209736.6337388;-45.120503652039325
1739209736.6337461;-28.992665084841942
1739209736.6337538;-38.13080360867914
1739209736.6337612;-45.120503652039325
1739209736.6337686;-45.120503652039325
1739209736.633776;-35.57807855764607
1739209736.6337833;-38.13080360867914
1739209736.6337907;-45.120503652039325
1739209736.6337981;-45.120503652039325
1739209736.6338055;-38.13080360867914
1739209736.633813;-38.13080360867914
1739209736.6338203;-38.13080360867914
1739209736.6338277;-45.120503652039325
1739209736.6338353;-45.120503652039325
1739209736.6338427;-45.120503652039325
1739209736.63385;-45.120503652039325
1739209736.6338575;-45.120503652039325
1739209736.6338649;-31.141103565318915
1739209736.6338723;-38.13080360867914
1739209736.6338797;-38.13080360867914
1739209736.633887;-32.816014438256545
1739209736.6338944;-35.57807855764607
1739209736.6339018;-38.13080360867914
1739209736.6339095;-38.13080360867914
1739209736.6339169;-38.13080360867914
1739209736.6339242;-45.120503652039325
1739209736.6339316;-45.120503652039325
1739209736.633939;-38.13080360867914
1739209736.6339464;-45.120503652039325
1739209736.6339538;-45.120503652039325
1739209736.6339612;-45.120503652039325
1739209736.6339686;-38.13080360867914
1739209736.633976;-45.120503652039325
1739209736.6339836;-45.120503652039325
1739209736.633991;-45.120503652039325
1739209736.6339984;-38.13080360867914
1739209736.6340058;-35.57807855764607
1739209736.6340132;-33.981070128970906
1739209736.6340206;-32.816014438256545
1739209736.634028;-38.13080360867914
1739209736.6340353;-45.120503652039325
1739209736.6340427;-45.120503652039325
1739209736.6340501;-35.57807855764607
1739209736.6340578;-38.13080360867914
1739209736.6340652;-45.120503652039325
1739209736.6340725;-33.981070128970906
1739209736.63408;-38.13080360867914
1739209736.6340873;-45.120503652039325
1739209736.6340947;-45.120503652039325
1739209736.634102;-33.981070128970906
1739209736.6341095;-45.120503652039325
1739209736.634117;-45.120503652039325
1739209736.6341243;-38.13080360867914
1739209736.634132;-38.13080360867914
1739209736.6341393;-45.120503652039325
1739209736.6341467;-45.120503652039325
1739209736.634154;-45.120503652039325
1739209736.6341615;-38.13080360867914
1739209736.6341689;-38.13080360867914
1739209736.6341763;-45.120503652039325
1739209736.6341836;-38.13080360867914
1739209736.634191;-35.57807855764607
1739209736.6341984;-38.13080360867914
1739209736.634206;-38.13080360867914
1739209736.6342134;-45.120503652039325
1739209736.6342208;-45.120503652039325
1739209736.6342282;-45.120503652039325
1739209736.6342356;-45.120503652039325
1739209736.634243;-33.981070128970906
1739209736.6342504;-33.981070128970906
1739209736.6342578;-45.120503652039325
1739209736.6342652;-38.13080360867914
1739209736.6342726;-32.816014438256545
1739209736.6342802;-38.13080360867914
1739209736.6342876;-45.120503652039325
1739209736.634295;-45.120503652039325
1739209736.6343024;-45.120503652039325
1739209736.6343098;-38.13080360867914
1739209736.6343172;-35.57807855764607
1739209736.6343246;-35.57807855764607
1739209736.634332;-38.13080360867914
1739209736.6343393;-33.981070128970906
1739209736.6343467;-38.13080360867914
1739209736.634354;-38.13080360867914
1739209736.6343617;-35.57807855764607
1739209736.6343691;-38.13080360867914
1739209736.6343765;-38.13080360867914
1739209736.634384;-35.57807855764607
1739209736.6343913;-45.120503652039325
1739209736.6343987;-45.120503652039325
1739209736.634406;-45.120503652039325
1739209736.6344135;-45.120503652039325
1739209736.6344209;-38.13080360867914
1739209736.6344283;-38.13080360867914
1739209736.634436;-33.981070128970906
1739209736.6344433;-45.120503652039325
1739209736.6344507;-45.120503652039325
1739209736.634458;-45.120503652039325
1739209736.6344655;-35.57807855764607
1739209736.6344728;-33.981070128970906
1739209736.6344802;-45.120503652039325
1739209736.6344876;-45.120503652039325
1739209736.634495;-38.13080360867914
1739209736.6345024;-45.120503652039325
1739209736.63451;-45.120503652039325
1739209736.6345174;-33.981070128970906
1739209736.6345248;-38.13080360867914
1739209736.6345322;-45.120503652039325
1739209736.6345396;-45.120503652039325
1739209736.634547;-45.120503652039325
1739209736.6345544;-45.120503652039325
1739209736.6345618;-45.120503652039325
1739209736.6345692;-45.120503652039325
1739209736.6345766;-45.120503652039325
1739209736.6345842;-32.816014438256545
1739209736.6345916;-45.120503652039325
1739209736.634599;-45.120503652039325
1739209736.6346064;-45.120503652039325
1739209736.6346138;-31.141103565318893
1739209736.6346211;-33.981070128970906
1739209736.6346285;-45.120503652039325
1739209736.634636;-38.13080360867914
1739209736.6346433;-31.141103565318893
1739209736.6346507;-32.816014438256545
1739209736.6346583;-45.120503652039325
1739209736.6346657;-45.120503652039325
1739209736.634673;-45.120503652039325
1739209736.6346805;-45.120503652039325
1739209736.634688;-38.13080360867914
1739209736.6346953;-38.13080360867914
1739209736.6347027;-45.120503652039325
1739209736.63471;-38.13080360867914
1739209736.6347175;-35.57807855764607
1739209736.6347249;-38.13080360867914
1739209736.6347325;-45.120503652039325
1739209736.6347399;-38.13080360867914
1739209736.6347473;-38.13080360867914
