CAN Message; 0x150:0400d8598dddbbeb
Timestamp;Amplitude
1739209757.9693134;-35.57807855764607
1739209757.9693184;-45.120503652039325
1739209757.9693232;-45.120503652039325
1739209757.9693282;-45.120503652039325
1739209757.9693332;-38.13080360867914
1739209757.9693382;-45.120503652039325
1739209757.969343;-38.13080360867914
1739209757.969348;-45.120503652039325
1739209757.969353;-45.120503652039325
1739209757.969358;-38.13080360867914
1739209757.969363;-45.120503652039325
1739209757.9693677;-45.120503652039325
1739209757.9693727;-33.981070128970906
1739209757.9693778;-45.120503652039325
1739209757.9693828;-45.120503652039325
1739209757.9693875;-38.13080360867914
1739209757.9693925;-35.57807855764607
1739209757.9693975;-35.57807855764607
1739209757.9694026;-45.120503652039325
1739209757.9694076;-45.120503652039325
1739209757.9694123;-38.13080360867914
1739209757.9694173;-38.13080360867914
1739209757.9694223;-38.13080360867914
1739209757.9694273;-45.120503652039325
1739209757.969432;-38.13080360867914
1739209757.9694371;-35.57807855764607
1739209757.9694421;-45.120503652039325
1739209757.9694471;-38.13080360867914
1739209757.9694521;-35.57807855764607
1739209757.969457;-45.120503652039325
1739209757.969462;-38.13080360867914
1739209757.969467;-38.13080360867914
1739209757.969472;-38.13080360867914
1739209757.9694767;-38.13080360867914
1739209757.9694817;-38.13080360867914
1739209757.9694867;-33.981070128970906
1739209757.9694917;-38.13080360867914
1739209757.9694967;-45.120503652039325
1739209757.9695015;-38.13080360867914
1739209757.9695065;-38.13080360867914
1739209757.9695115;-28.992665084841942
1739209757.9695165;-38.13080360867914
1739209757.9695213;-45.120503652039325
1739209757.9695263;-33.981070128970906
1739209757.9695313;-33.981070128970906
1739209757.9695363;-38.13080360867914
1739209757.9695413;-45.120503652039325
1739209757.969546;-35.57807855764607
1739209757.969551;-38.13080360867914
1739209757.969556;-45.120503652039325
1739209757.969561;-38.13080360867914
1739209757.9695659;-38.13080360867914
1739209757.9695709;-45.120503652039325
1739209757.969576;-45.120503652039325
1739209757.969581;-35.57807855764607
1739209757.969586;-35.57807855764607
1739209757.9695907;-38.13080360867914
1739209757.9695957;-38.13080360867914
1739209757.9696007;-45.120503652039325
1739209757.9696057;-38.13080360867914
1739209757.9696105;-33.981070128970906
1739209757.9696155;-45.120503652039325
1739209757.9696205;-38.13080360867914
1739209757.9696255;-35.57807855764607
1739209757.9696305;-38.13080360867914
1739209757.9696352;-45.120503652039325
1739209757.9696403;-38.13080360867914
1739209757.9696453;-32.816014438256545
1739209757.9696503;-38.13080360867914
1739209757.969655;-45.120503652039325
1739209757.96966;-45.120503652039325
1739209757.969665;-38.13080360867914
1739209757.96967;-38.13080360867914
1739209757.969675;-45.120503652039325
1739209757.9696798;-38.13080360867914
1739209757.9696848;-38.13080360867914
1739209757.9696898;-45.120503652039325
1739209757.9696949;-45.120503652039325
1739209757.9696996;-32.816014438256545
1739209757.9697046;-35.57807855764607
1739209757.9697096;-32.816014438256545
1739209757.9697146;-32.816014438256545
1739209757.9697196;-38.13080360867914
1739209757.9697244;-35.57807855764607
1739209757.9697294;-45.120503652039325
1739209757.9697344;-45.120503652039325
1739209757.9697394;-45.120503652039325
1739209757.9697442;-35.57807855764607
1739209757.9697492;-33.981070128970956
1739209757.9697542;-38.13080360867914
1739209757.9697592;-38.13080360867914
1739209757.9697642;-45.120503652039325
1739209757.969769;-45.120503652039325
1739209757.969774;-45.120503652039325
1739209757.969779;-35.57807855764607
1739209757.969784;-38.13080360867914
1739209757.9697888;-32.816014438256545
1739209757.9697938;-26.991370085610736
1739209757.9697988;-45.120503652039325
1739209757.9698038;-45.120503652039325
1739209757.9698088;-32.816014438256545
1739209757.9698136;-38.13080360867914
1739209757.9698186;-45.120503652039325
1739209757.9698236;-32.816014438256545
1739209757.9698286;-45.120503652039325
1739209757.9698336;-45.120503652039325
1739209757.9698384;-45.120503652039325
1739209757.9698434;-38.13080360867914
1739209757.9698484;-45.120503652039325
1739209757.9698534;-45.120503652039325
1739209757.9698582;-38.13080360867914
1739209757.9698632;-35.57807855764607
1739209757.9698682;-45.120503652039325
1739209757.9698732;-45.120503652039325
1739209757.9698782;-38.13080360867914
1739209757.969883;-35.57807855764607
1739209757.969888;-38.13080360867914
1739209757.969893;-45.120503652039325
1739209757.969898;-45.120503652039325
1739209757.9699028;-45.120503652039325
1739209757.9699078;-38.13080360867914
1739209757.9699128;-31.141103565318893
1739209757.9699178;-45.120503652039325
1739209757.9699228;-45.120503652039325
1739209757.9699275;-38.13080360867914
1739209757.9699326;-45.120503652039325
1739209757.9699376;-38.13080360867914
1739209757.9699426;-38.13080360867914
1739209757.9699473;-45.120503652039325
1739209757.9699523;-38.13080360867914
1739209757.9699574;-38.13080360867914
1739209757.9699624;-35.57807855764607
1739209757.9699674;-38.13080360867914
1739209757.9699721;-45.120503652039325
1739209757.9699771;-35.57807855764607
1739209757.9699821;-38.13080360867914
1739209757.9699872;-38.13080360867914
1739209757.969992;-27.8777449560314
1739209757.969997;-45.120503652039325
1739209757.970002;-45.120503652039325
1739209757.970007;-38.13080360867914
1739209757.970012;-31.141103565318893
1739209757.9700167;-45.120503652039325
1739209757.9700217;-38.13080360867914
1739209757.9700267;-38.13080360867914
1739209757.9700317;-38.13080360867914
1739209757.9700365;-38.13080360867914
1739209757.9700415;-45.120503652039325
1739209757.9700465;-45.120503652039325
1739209757.9700515;-35.57807855764607
1739209757.9700565;-38.13080360867914
1739209757.9700613;-45.120503652039325
1739209757.9700663;-45.120503652039325
1739209757.9700713;-38.13080360867914
1739209757.9700763;-45.120503652039325
1739209757.970081;-45.120503652039325
1739209757.970086;-45.120503652039325
1739209757.970091;-45.120503652039325
