CAN Message; 0x39:011f10142bcdeb2f
Timestamp;Amplitude
1739209592.1380868;-45.120503652039325
1739209592.1381037;-45.120503652039325
1739209592.1381204;-45.120503652039325
1739209592.138137;-45.120503652039325
1739209592.138154;-38.13080360867914
1739209592.1381707;-35.57807855764607
1739209592.1381876;-35.57807855764607
1739209592.1382043;-31.141103565318915
1739209592.138221;-38.13080360867914
1739209592.138238;-45.120503652039325
1739209592.1382546;-33.981070128970906
1739209592.1382713;-33.981070128970906
1739209592.1382883;-45.120503652039325
1739209592.138305;-45.120503652039325
1739209592.1383216;-38.13080360867914
1739209592.1383386;-32.81601443825658
1739209592.1383553;-45.120503652039325
1739209592.1383722;-35.57807855764607
1739209592.1383889;-35.57807855764607
1739209592.1384056;-45.120503652039325
1739209592.1384225;-35.57807855764607
1739209592.1384392;-45.120503652039325
1739209592.1384559;-45.120503652039325
1739209592.1384728;-27.267205301931607
1739209592.1384895;-30.49652367304973
1739209592.1385062;-38.13080360867914
1739209592.138523;-45.120503652039325
1739209592.1385398;-35.57807855764607
1739209592.1385567;-32.816014438256545
1739209592.1385734;-45.120503652039325
1739209592.13859;-45.120503652039325
1739209592.138607;-38.13080360867914
1739209592.1386237;-45.120503652039325
1739209592.1386404;-45.120503652039325
1739209592.1386573;-45.120503652039325
1739209592.138674;-45.120503652039325
1739209592.1386907;-45.120503652039325
1739209592.1387076;-45.120503652039325
1739209592.1387243;-38.13080360867914
1739209592.138741;-30.49652367304973
1739209592.138758;-38.13080360867914
1739209592.1387746;-38.13080360867914
1739209592.1387916;-38.13080360867914
1739209592.1388083;-35.57807855764607
1739209592.138825;-35.57807855764607
1739209592.1388419;-38.13080360867914
1739209592.1388586;-38.13080360867914
1739209592.1388752;-45.120503652039325
1739209592.1388922;-38.13080360867914
1739209592.1389089;-38.13080360867914
1739209592.1389256;-45.120503652039325
1739209592.1389425;-45.120503652039325
1739209592.1389592;-38.13080360867914
1739209592.138976;-45.120503652039325
1739209592.1389928;-38.13080360867914
1739209592.1390095;-38.13080360867914
1739209592.1390264;-38.13080360867914
1739209592.139043;-32.816014438256545
1739209592.1390598;-35.57807855764607
1739209592.1390767;-45.120503652039325
1739209592.1390934;-38.13080360867914
1739209592.13911;-38.13080360867914
1739209592.139127;-45.120503652039325
1739209592.1391437;-45.120503652039325
1739209592.1391606;-38.13080360867914
1739209592.1391773;-45.120503652039325
1739209592.139194;-38.13080360867914
1739209592.139211;-45.120503652039325
1739209592.1392276;-38.13080360867914
1739209592.1392443;-45.120503652039325
1739209592.1392612;-38.13080360867914
1739209592.139278;-38.13080360867914
1739209592.1392946;-45.120503652039325
1739209592.1393116;-38.13080360867914
1739209592.1393282;-45.120503652039325
1739209592.1393452;-38.13080360867914
1739209592.1393619;-38.13080360867914
1739209592.1393785;-38.13080360867914
1739209592.1393955;-45.120503652039325
1739209592.1394122;-32.816014438256545
1739209592.1394289;-35.57807855764607
1739209592.1394458;-45.120503652039325
1739209592.1394625;-45.120503652039325
1739209592.1394792;-35.57807855764607
1739209592.139496;-38.13080360867914
1739209592.1395128;-45.120503652039325
1739209592.1395297;-38.13080360867914
1739209592.1395464;-45.120503652039325
1739209592.139563;-45.120503652039325
1739209592.13958;-45.120503652039325
1739209592.1395967;-45.120503652039325
1739209592.1396134;-45.120503652039325
1739209592.1396303;-45.120503652039325
1739209592.139647;-45.120503652039325
1739209592.1396637;-45.120503652039325
1739209592.1396806;-38.13080360867914
1739209592.1396973;-38.13080360867914
1739209592.1397142;-38.13080360867914
1739209592.139731;-35.57807855764607
1739209592.1397476;-45.120503652039325
1739209592.1397645;-45.120503652039325
1739209592.1397812;-45.120503652039325
1739209592.139798;-45.120503652039325
1739209592.1398149;-45.120503652039325
1739209592.1398315;-45.120503652039325
1739209592.1398482;-38.13080360867914
1739209592.1398652;-45.120503652039325
1739209592.1398818;-38.13080360867914
1739209592.1398985;-45.120503652039325
1739209592.1399155;-45.120503652039325
1739209592.1399322;-45.120503652039325
1739209592.139949;-35.57807855764607
1739209592.1399658;-28.58837851428586
1739209592.1399825;-45.120503652039325
1739209592.1399994;-45.120503652039325
1739209592.140016;-45.120503652039325
1739209592.1400328;-33.981070128970906
1739209592.1400497;-45.120503652039325
1739209592.1400664;-45.120503652039325
1739209592.140083;-38.13080360867914
1739209592.1401;-33.981070128970956
1739209592.1401167;-38.13080360867914
1739209592.1401336;-45.120503652039325
1739209592.1401503;-45.120503652039325
1739209592.140167;-45.120503652039325
1739209592.140184;-38.13080360867914
1739209592.1402006;-45.120503652039325
1739209592.1402173;-38.13080360867914
1739209592.1402342;-28.58837851428586
1739209592.140251;-38.13080360867914
1739209592.1402676;-35.57807855764607
1739209592.1402845;-45.120503652039325
1739209592.1403012;-38.13080360867914
1739209592.1403182;-33.981070128970906
1739209592.1403348;-38.13080360867914
1739209592.1403515;-38.13080360867914
1739209592.1403685;-35.57807855764607
1739209592.1403852;-45.120503652039325
1739209592.1404018;-38.13080360867914
1739209592.1404188;-45.120503652039325
1739209592.1404355;-45.120503652039325
1739209592.1404521;-45.120503652039325
1739209592.140469;-45.120503652039325
1739209592.1404858;-45.120503652039325
1739209592.1405027;-28.992665084841942
1739209592.1405194;-33.981070128970906
1739209592.140536;-38.13080360867914
1739209592.140553;-38.13080360867914
1739209592.1405697;-38.13080360867914
1739209592.1405864;-45.120503652039325
1739209592.1406033;-45.120503652039325
1739209592.14062;-38.13080360867914
1739209592.1406367;-38.13080360867914
1739209592.1406536;-38.13080360867914
