CAN Message; 0x1d3:0000d8a1eb144993
Timestamp;Amplitude
1739209916.3665433;-45.120503652039325
1739209916.3665514;-45.120503652039325
1739209916.3665597;-38.13080360867914
1739209916.3665679;-35.57807855764607
1739209916.366576;-38.13080360867914
1739209916.366584;-35.57807855764607
1739209916.3665922;-33.981070128970906
1739209916.3666003;-45.120503652039325
1739209916.3666086;-45.120503652039325
1739209916.3666167;-38.13080360867914
1739209916.3666248;-38.13080360867914
1739209916.366633;-45.120503652039325
1739209916.366641;-35.57807855764607
1739209916.3666494;-45.120503652039325
1739209916.3666575;-45.120503652039325
1739209916.3666656;-32.816014438256545
1739209916.3666737;-35.57807855764607
1739209916.3666818;-45.120503652039325
1739209916.36669;-45.120503652039325
1739209916.3666983;-33.981070128970906
1739209916.3667064;-45.120503652039325
1739209916.3667145;-38.13080360867914
1739209916.3667226;-35.57807855764607
1739209916.3667307;-45.120503652039325
1739209916.366739;-38.13080360867914
1739209916.3667471;-32.816014438256545
1739209916.3667552;-38.13080360867914
1739209916.3667634;-45.120503652039325
1739209916.3667715;-32.816014438256545
1739209916.3667796;-45.120503652039325
1739209916.366788;-45.120503652039325
1739209916.366796;-38.13080360867914
1739209916.3668041;-32.816014438256545
1739209916.3668122;-45.120503652039325
1739209916.3668203;-45.120503652039325
1739209916.3668287;-38.13080360867914
1739209916.3668368;-38.13080360867914
1739209916.366845;-35.57807855764607
1739209916.366853;-35.57807855764607
1739209916.366861;-45.120503652039325
1739209916.3668692;-38.13080360867914
1739209916.3668776;-45.120503652039325
1739209916.3668857;-45.120503652039325
1739209916.3668938;-45.120503652039325
1739209916.3669019;-45.120503652039325
1739209916.36691;-45.120503652039325
1739209916.366918;-45.120503652039325
1739209916.3669264;-38.13080360867914
1739209916.3669345;-38.13080360867914
1739209916.3669426;-45.120503652039325
1739209916.3669508;-38.13080360867914
1739209916.3669589;-38.13080360867914
1739209916.3669672;-45.120503652039325
1739209916.3669753;-45.120503652039325
1739209916.3669834;-38.13080360867914
1739209916.3669915;-38.13080360867914
1739209916.3669996;-35.57807855764607
1739209916.3670077;-45.120503652039325
1739209916.367016;-45.120503652039325
1739209916.3670242;-38.13080360867914
1739209916.3670323;-35.57807855764607
1739209916.3670404;-38.13080360867914
1739209916.3670485;-38.13080360867914
1739209916.3670568;-38.13080360867914
1739209916.367065;-45.120503652039325
1739209916.367073;-38.13080360867914
1739209916.3670812;-32.816014438256545
1739209916.3670893;-45.120503652039325
1739209916.3670974;-45.120503652039325
1739209916.3671057;-33.981070128970906
1739209916.3671138;-45.120503652039325
1739209916.367122;-38.13080360867914
1739209916.36713;-38.13080360867914
1739209916.3671381;-38.13080360867914
1739209916.3671465;-45.120503652039325
1739209916.3671546;-45.120503652039325
