CAN Message; 0x1b8:0300e1a67e71134a
Timestamp;Amplitude
1739209767.3432045;-33.981070128970906
1739209767.343208;-38.13080360867914
1739209767.3432117;-35.57807855764607
1739209767.3432152;-28.58837851428586
1739209767.3432188;-45.120503652039325
1739209767.3432224;-45.120503652039325
1739209767.343226;-38.13080360867914
1739209767.3432293;-32.816014438256545
1739209767.3432329;-38.13080360867914
1739209767.3432364;-45.120503652039325
1739209767.34324;-33.981070128970906
1739209767.3432436;-38.13080360867914
1739209767.3432472;-45.120503652039325
1739209767.3432508;-45.120503652039325
1739209767.3432543;-45.120503652039325
1739209767.343258;-38.13080360867914
1739209767.3432615;-38.13080360867914
1739209767.343265;-45.120503652039325
1739209767.3432686;-35.57807855764607
1739209767.3432722;-35.57807855764607
1739209767.3432758;-45.120503652039325
1739209767.3432794;-38.13080360867914
1739209767.3432827;-38.13080360867914
1739209767.3432863;-38.13080360867914
1739209767.3432899;-45.120503652039325
1739209767.3432934;-45.120503652039325
1739209767.343297;-45.120503652039325
1739209767.3433006;-35.57807855764607
1739209767.3433042;-38.13080360867914
1739209767.3433077;-45.120503652039325
1739209767.3433113;-35.57807855764607
1739209767.343315;-32.816014438256545
1739209767.3433185;-45.120503652039325
1739209767.343322;-45.120503652039325
1739209767.3433256;-38.13080360867914
1739209767.3433292;-45.120503652039325
1739209767.3433328;-38.13080360867914
1739209767.3433363;-38.13080360867914
1739209767.3433397;-45.120503652039325
1739209767.3433433;-45.120503652039325
1739209767.3433468;-45.120503652039325
1739209767.3433504;-45.120503652039325
1739209767.343354;-35.57807855764607
1739209767.3433576;-35.57807855764607
1739209767.3433611;-33.981070128970906
1739209767.3433647;-45.120503652039325
1739209767.3433683;-45.120503652039325
1739209767.3433719;-38.13080360867914
1739209767.3433754;-38.13080360867914
1739209767.343379;-38.13080360867914
1739209767.3433826;-45.120503652039325
1739209767.3433862;-38.13080360867914
1739209767.3433897;-38.13080360867914
1739209767.343393;-45.120503652039325
1739209767.3433967;-45.120503652039325
1739209767.3434002;-45.120503652039325
1739209767.3434038;-38.13080360867914
1739209767.3434074;-45.120503652039325
1739209767.343411;-45.120503652039325
1739209767.3434145;-38.13080360867914
1739209767.3434181;-33.981070128970906
1739209767.3434217;-38.13080360867914
1739209767.3434253;-45.120503652039325
1739209767.3434289;-38.13080360867914
1739209767.3434324;-28.992665084841942
1739209767.343436;-32.816014438256545
1739209767.3434396;-45.120503652039325
1739209767.3434432;-45.120503652039325
1739209767.3434465;-28.58837851428586
1739209767.34345;-35.57807855764607
1739209767.3434536;-38.13080360867914
1739209767.3434572;-45.120503652039325
1739209767.3434608;-38.13080360867914
1739209767.3434644;-38.13080360867914
1739209767.343468;-38.13080360867914
1739209767.3434715;-45.120503652039325
1739209767.343475;-33.981070128970956
1739209767.3434787;-38.13080360867914
1739209767.3434823;-45.120503652039325
1739209767.3434858;-45.120503652039325
1739209767.3434894;-45.120503652039325
1739209767.343493;-45.120503652039325
1739209767.3434966;-45.120503652039325
1739209767.3435001;-35.57807855764607
1739209767.3435035;-27.267205301931607
1739209767.343507;-38.13080360867914
1739209767.3435106;-35.57807855764607
1739209767.3435142;-38.13080360867914
1739209767.3435178;-38.13080360867914
1739209767.3435214;-45.120503652039325
1739209767.343525;-45.120503652039325
1739209767.3435285;-38.13080360867914
1739209767.343532;-38.13080360867914
1739209767.3435357;-45.120503652039325
1739209767.3435392;-45.120503652039325
1739209767.3435428;-45.120503652039325
1739209767.3435464;-45.120503652039325
1739209767.34355;-45.120503652039325
1739209767.3435535;-45.120503652039325
1739209767.343557;-38.13080360867914
1739209767.3435605;-32.816014438256545
1739209767.343564;-45.120503652039325
1739209767.3435676;-45.120503652039325
1739209767.3435712;-45.120503652039325
1739209767.3435748;-38.13080360867914
1739209767.3435783;-38.13080360867914
1739209767.343582;-45.120503652039325
1739209767.3435855;-45.120503652039325
1739209767.343589;-45.120503652039325
1739209767.3435926;-45.120503652039325
1739209767.3435962;-45.120503652039325
1739209767.3435998;-45.120503652039325
1739209767.3436034;-38.13080360867914
1739209767.343607;-38.13080360867914
1739209767.3436103;-45.120503652039325
1739209767.3436139;-38.13080360867914
1739209767.3436174;-38.13080360867914
1739209767.343621;-45.120503652039325
1739209767.3436246;-38.13080360867914
1739209767.3436282;-38.13080360867914
1739209767.3436317;-45.120503652039325
1739209767.3436353;-45.120503652039325
1739209767.343639;-35.57807855764607
1739209767.3436425;-38.13080360867914
1739209767.343646;-32.816014438256545
1739209767.3436496;-32.816014438256545
1739209767.3436532;-45.120503652039325
1739209767.3436568;-45.120503652039325
1739209767.3436604;-38.13080360867914
1739209767.3436637;-45.120503652039325
1739209767.3436673;-45.120503652039325
1739209767.3436708;-38.13080360867914
1739209767.3436744;-45.120503652039325
1739209767.343678;-45.120503652039325
1739209767.3436816;-38.13080360867914
1739209767.3436852;-35.57807855764607
1739209767.3436887;-45.120503652039325
1739209767.3436923;-45.120503652039325
1739209767.3436959;-45.120503652039325
1739209767.3436995;-45.120503652039325
