CAN Message; 0x1d3:00000887e7b2f93f
Timestamp;Amplitude
1739209682.914795;-45.120503652039325
1739209682.914802;-38.13080360867914
1739209682.914809;-45.120503652039325
1739209682.914816;-45.120503652039325
1739209682.9148228;-38.13080360867914
1739209682.91483;-38.13080360867914
1739209682.914837;-45.120503652039325
1739209682.9148438;-45.120503652039325
1739209682.9148507;-38.13080360867914
1739209682.9148579;-45.120503652039325
1739209682.9148648;-38.13080360867914
1739209682.9148717;-38.13080360867914
1739209682.9148788;-38.13080360867914
1739209682.9148858;-35.57807855764607
1739209682.9148927;-38.13080360867914
1739209682.9148996;-35.57807855764607
1739209682.9149067;-32.816014438256545
1739209682.9149137;-38.13080360867914
1739209682.9149206;-45.120503652039325
1739209682.9149277;-38.13080360867914
1739209682.9149346;-38.13080360867914
1739209682.9149415;-45.120503652039325
1739209682.9149485;-45.120503652039325
1739209682.9149556;-45.120503652039325
1739209682.9149625;-45.120503652039325
1739209682.9149694;-33.981070128970906
1739209682.9149764;-35.57807855764607
1739209682.9149835;-45.120503652039325
1739209682.9149904;-35.57807855764607
1739209682.9149973;-45.120503652039325
1739209682.9150045;-45.120503652039325
1739209682.9150114;-35.57807855764607
1739209682.9150183;-38.13080360867914
1739209682.9150252;-45.120503652039325
1739209682.9150324;-45.120503652039325
1739209682.9150393;-35.57807855764607
1739209682.9150462;-33.981070128970906
1739209682.9150534;-45.120503652039325
1739209682.9150603;-45.120503652039325
1739209682.9150672;-38.13080360867914
1739209682.915074;-38.13080360867914
1739209682.9150813;-45.120503652039325
1739209682.9150882;-45.120503652039325
1739209682.915095;-38.13080360867914
1739209682.915102;-38.13080360867914
1739209682.9151092;-45.120503652039325
1739209682.915116;-38.13080360867914
1739209682.915123;-45.120503652039325
1739209682.9151301;-45.120503652039325
1739209682.915137;-45.120503652039325
1739209682.915144;-38.13080360867914
1739209682.915151;-45.120503652039325
1739209682.915158;-45.120503652039325
1739209682.915165;-38.13080360867914
1739209682.9151719;-45.120503652039325
1739209682.915179;-38.13080360867914
1739209682.915186;-38.13080360867914
1739209682.9151928;-35.57807855764607
1739209682.9151998;-45.120503652039325
1739209682.915207;-45.120503652039325
1739209682.9152138;-45.120503652039325
1739209682.9152207;-38.13080360867914
1739209682.9152277;-33.981070128970906
1739209682.9152348;-45.120503652039325
1739209682.9152417;-45.120503652039325
1739209682.9152486;-38.13080360867914
1739209682.9152558;-33.981070128970906
1739209682.9152627;-45.120503652039325
1739209682.9152696;-45.120503652039325
1739209682.9152765;-38.13080360867914
1739209682.9152837;-38.13080360867914
1739209682.9152906;-38.13080360867914
1739209682.9152975;-38.13080360867914
1739209682.9153047;-45.120503652039325
1739209682.9153116;-45.120503652039325
1739209682.9153185;-45.120503652039325
1739209682.9153254;-45.120503652039325
1739209682.9153326;-35.57807855764607
1739209682.9153395;-38.13080360867914
1739209682.9153464;-45.120503652039325
1739209682.9153533;-35.57807855764607
1739209682.9153605;-45.120503652039325
1739209682.9153674;-38.13080360867914
1739209682.9153743;-45.120503652039325
1739209682.9153814;-38.13080360867914
1739209682.9153883;-45.120503652039325
1739209682.9153953;-28.992665084841942
1739209682.9154022;-38.13080360867914
1739209682.9154093;-38.13080360867914
1739209682.9154162;-33.981070128970906
1739209682.9154232;-33.981070128970906
1739209682.9154303;-45.120503652039325
1739209682.9154372;-45.120503652039325
1739209682.9154441;-38.13080360867914
1739209682.915451;-31.14110356531892
1739209682.9154582;-38.13080360867914
1739209682.915465;-45.120503652039325
1739209682.915472;-45.120503652039325
1739209682.915479;-45.120503652039325
1739209682.915486;-38.13080360867914
1739209682.915493;-35.57807855764607
1739209682.9155;-38.13080360867914
1739209682.915507;-33.981070128970906
1739209682.915514;-38.13080360867914
1739209682.915521;-45.120503652039325
1739209682.9155278;-38.13080360867914
1739209682.915535;-38.13080360867914
1739209682.915542;-38.13080360867914
1739209682.9155488;-38.13080360867914
