CAN Message; 0x1d3:000001e22dc1edfd
Timestamp;Amplitude
1739209712.40985;-45.120503652039325
1739209712.4098551;-35.57807855764607
1739209712.4098606;-38.13080360867914
1739209712.409866;-45.120503652039325
1739209712.4098716;-45.120503652039325
1739209712.4098768;-45.120503652039325
1739209712.4098823;-38.13080360867914
1739209712.4098878;-35.57807855764607
1739209712.409893;-38.13080360867914
1739209712.4098985;-45.120503652039325
1739209712.409904;-45.120503652039325
1739209712.4099095;-32.816014438256545
1739209712.4099147;-32.816014438256545
1739209712.4099202;-38.13080360867914
1739209712.4099257;-38.13080360867914
1739209712.409931;-35.57807855764607
1739209712.4099364;-33.981070128970906
1739209712.409942;-45.120503652039325
1739209712.4099474;-38.13080360867914
1739209712.4099526;-45.120503652039325
1739209712.4099581;-38.13080360867914
1739209712.4099636;-45.120503652039325
1739209712.4099689;-45.120503652039325
1739209712.4099743;-45.120503652039325
1739209712.4099798;-38.13080360867914
1739209712.4099853;-45.120503652039325
1739209712.4099905;-45.120503652039325
1739209712.409996;-45.120503652039325
1739209712.4100015;-45.120503652039325
1739209712.4100068;-38.13080360867914
1739209712.4100122;-38.13080360867914
1739209712.4100177;-33.981070128970906
1739209712.4100232;-28.58837851428586
1739209712.4100285;-38.13080360867914
1739209712.410034;-38.13080360867914
1739209712.4100394;-45.120503652039325
1739209712.4100447;-45.120503652039325
1739209712.4100502;-38.13080360867914
1739209712.4100556;-38.13080360867914
1739209712.4100611;-45.120503652039325
1739209712.4100664;-32.81601443825658
1739209712.4100718;-32.816014438256545
1739209712.4100773;-38.13080360867914
1739209712.4100826;-38.13080360867914
1739209712.410088;-38.13080360867914
1739209712.4100935;-35.57807855764607
1739209712.410099;-45.120503652039325
1739209712.4101043;-32.816014438256545
1739209712.4101098;-38.13080360867914
1739209712.4101152;-45.120503652039325
1739209712.4101205;-33.981070128970906
1739209712.410126;-35.57807855764607
1739209712.4101315;-38.13080360867914
1739209712.410137;-38.13080360867914
1739209712.4101422;-35.57807855764607
1739209712.4101477;-38.13080360867914
1739209712.4101532;-31.141103565318915
1739209712.4101584;-35.57807855764607
1739209712.4101639;-35.57807855764607
1739209712.4101694;-45.120503652039325
1739209712.4101748;-33.981070128970906
1739209712.41018;-38.13080360867914
1739209712.4101856;-45.120503652039325
1739209712.410191;-38.13080360867914
1739209712.4101963;-31.14110356531892
1739209712.4102018;-38.13080360867914
1739209712.4102073;-45.120503652039325
1739209712.4102128;-45.120503652039325
1739209712.410218;-45.120503652039325
1739209712.4102235;-45.120503652039325
1739209712.410229;-45.120503652039325
1739209712.4102342;-38.13080360867914
1739209712.4102397;-28.992665084841942
1739209712.4102452;-38.13080360867914
1739209712.4102507;-38.13080360867914
1739209712.410256;-32.816014438256545
1739209712.4102614;-38.13080360867914
1739209712.4102669;-38.13080360867914
1739209712.4102721;-45.120503652039325
