CAN Message; 0x1b8:0300415310cf3fa2
Timestamp;Amplitude
1739209904.4481046;-38.13080360867914
1739209904.4481108;-31.141103565318915
1739209904.448117;-45.120503652039325
1739209904.4481232;-38.13080360867914
1739209904.4481294;-38.13080360867914
1739209904.4481356;-45.120503652039325
1739209904.4481418;-38.13080360867914
1739209904.448148;-38.13080360867914
1739209904.4481542;-45.120503652039325
1739209904.4481604;-38.13080360867914
1739209904.4481666;-45.120503652039325
1739209904.4481728;-45.120503652039325
1739209904.448179;-33.981070128970906
1739209904.4481852;-32.816014438256545
1739209904.4481914;-38.13080360867914
1739209904.4481976;-38.13080360867914
1739209904.4482038;-38.13080360867914
1739209904.44821;-45.120503652039325
1739209904.4482162;-45.120503652039325
1739209904.4482224;-45.120503652039325
1739209904.4482286;-35.57807855764607
1739209904.4482348;-32.816014438256545
1739209904.4482412;-38.13080360867914
1739209904.4482474;-45.120503652039325
1739209904.4482536;-38.13080360867914
1739209904.4482598;-38.13080360867914
1739209904.448266;-45.120503652039325
1739209904.4482722;-38.13080360867914
1739209904.4482784;-45.120503652039325
1739209904.4482846;-45.120503652039325
1739209904.4482908;-35.57807855764607
1739209904.448297;-38.13080360867914
1739209904.4483032;-33.981070128970906
1739209904.4483094;-45.120503652039325
1739209904.4483156;-35.57807855764607
1739209904.4483218;-35.57807855764607
1739209904.448328;-35.57807855764607
1739209904.4483342;-33.981070128970906
1739209904.4483404;-45.120503652039325
1739209904.4483466;-45.120503652039325
1739209904.4483528;-45.120503652039325
1739209904.448359;-45.120503652039325
1739209904.4483652;-45.120503652039325
1739209904.4483714;-38.13080360867914
1739209904.4483776;-38.13080360867914
1739209904.4483838;-45.120503652039325
1739209904.44839;-45.120503652039325
1739209904.4483962;-45.120503652039325
1739209904.4484024;-38.13080360867914
1739209904.4484086;-38.13080360867914
1739209904.4484148;-45.120503652039325
1739209904.448421;-35.57807855764607
1739209904.4484272;-38.13080360867914
1739209904.4484334;-33.981070128970906
1739209904.4484396;-33.981070128970906
1739209904.4484458;-33.981070128970906
1739209904.448452;-45.120503652039325
1739209904.4484582;-33.981070128970906
1739209904.4484644;-38.13080360867914
1739209904.4484706;-45.120503652039325
1739209904.4484768;-38.13080360867914
1739209904.448483;-45.120503652039325
1739209904.4484892;-38.13080360867914
1739209904.4484954;-38.13080360867914
1739209904.4485016;-45.120503652039325
1739209904.4485078;-45.120503652039325
1739209904.4485142;-35.57807855764607
1739209904.4485204;-38.13080360867914
1739209904.4485266;-35.57807855764607
1739209904.4485328;-35.57807855764607
1739209904.448539;-38.13080360867914
1739209904.4485452;-45.120503652039325
1739209904.4485514;-38.13080360867914
1739209904.4485576;-35.57807855764607
1739209904.4485638;-45.120503652039325
1739209904.44857;-45.120503652039325
1739209904.4485762;-38.13080360867914
1739209904.4485824;-45.120503652039325
1739209904.4485886;-38.13080360867914
1739209904.4485948;-38.13080360867914
1739209904.448601;-45.120503652039325
1739209904.4486072;-45.120503652039325
1739209904.4486134;-45.120503652039325
1739209904.4486196;-38.13080360867914
1739209904.4486258;-38.13080360867914
1739209904.448632;-38.13080360867914
1739209904.4486382;-38.13080360867914
1739209904.4486444;-38.13080360867914
1739209904.4486506;-45.120503652039325
1739209904.4486568;-38.13080360867914
1739209904.448663;-38.13080360867914
1739209904.4486692;-45.120503652039325
1739209904.4486754;-45.120503652039325
1739209904.4486816;-28.992665084841942
1739209904.4486878;-35.57807855764607
1739209904.448694;-35.57807855764607
1739209904.4487002;-45.120503652039325
1739209904.4487064;-45.120503652039325
1739209904.4487126;-38.13080360867914
1739209904.4487188;-45.120503652039325
1739209904.448725;-38.13080360867914
1739209904.4487312;-29.438486411369354
1739209904.4487374;-38.13080360867914
1739209904.4487436;-45.120503652039325
1739209904.4487498;-38.13080360867914
1739209904.448756;-45.120503652039325
1739209904.4487622;-45.120503652039325
1739209904.4487684;-45.120503652039325
1739209904.4487746;-35.57807855764607
1739209904.4487808;-32.816014438256545
1739209904.448787;-38.13080360867914
1739209904.4487934;-33.981070128970906
1739209904.4487996;-38.13080360867914
1739209904.4488058;-38.13080360867914
1739209904.448812;-38.13080360867914
1739209904.4488182;-35.57807855764607
1739209904.4488244;-38.13080360867914
1739209904.4488306;-45.120503652039325
1739209904.4488368;-45.120503652039325
1739209904.448843;-45.120503652039325
1739209904.4488492;-38.13080360867914
1739209904.4488554;-45.120503652039325
1739209904.4488616;-45.120503652039325
1739209904.4488678;-45.120503652039325
1739209904.448874;-38.13080360867914
1739209904.4488802;-35.57807855764607
1739209904.4488864;-45.120503652039325
1739209904.4488926;-38.13080360867914
1739209904.4488988;-45.120503652039325
1739209904.448905;-38.13080360867914
1739209904.4489112;-38.13080360867914
1739209904.4489174;-38.13080360867914
1739209904.4489236;-38.13080360867914
1739209904.4489298;-31.141103565318915
1739209904.448936;-33.981070128970906
1739209904.4489422;-35.57807855764607
1739209904.4489484;-45.120503652039325
1739209904.4489546;-45.120503652039325
1739209904.4489608;-38.13080360867914
1739209904.448967;-35.57807855764607
1739209904.4489732;-35.57807855764607
1739209904.4489794;-33.981070128970906
1739209904.4489856;-33.981070128970906
1739209904.4489918;-45.120503652039325
