CAN Message; 0x1a7:0000a121b0ebfc24
Timestamp;Amplitude
1739209840.9207304;-45.120503652039325
1739209840.92074;-38.13080360867914
1739209840.9207494;-45.120503652039325
1739209840.9207592;-45.120503652039325
1739209840.9207687;-38.13080360867914
1739209840.9207783;-31.141103565318915
1739209840.9207878;-38.13080360867914
1739209840.9207973;-45.120503652039325
1739209840.920807;-45.120503652039325
1739209840.9208167;-45.120503652039325
1739209840.9208262;-38.13080360867914
1739209840.9208357;-38.13080360867914
1739209840.9208453;-38.13080360867914
1739209840.9208548;-33.981070128970906
1739209840.9208643;-38.13080360867914
1739209840.920874;-38.13080360867914
1739209840.9208837;-38.13080360867914
1739209840.9208932;-38.13080360867914
1739209840.9209027;-38.13080360867914
1739209840.9209123;-38.13080360867914
1739209840.9209218;-45.120503652039325
1739209840.9209316;-45.120503652039325
1739209840.920941;-38.13080360867914
1739209840.9209507;-38.13080360867914
1739209840.9209602;-45.120503652039325
1739209840.9209697;-38.13080360867914
1739209840.9209793;-35.57807855764607
1739209840.9209888;-38.13080360867914
1739209840.9209986;-45.120503652039325
1739209840.921008;-33.981070128970906
1739209840.9210176;-33.981070128970906
1739209840.9210272;-35.57807855764607
1739209840.9210367;-38.13080360867914
1739209840.9210463;-45.120503652039325
1739209840.921056;-33.981070128970906
1739209840.9210656;-35.57807855764607
1739209840.921075;-38.13080360867914
1739209840.9210846;-32.816014438256545
1739209840.9210942;-31.141103565318915
1739209840.9211037;-32.816014438256545
1739209840.9211135;-45.120503652039325
1739209840.921123;-38.13080360867914
1739209840.9211326;-38.13080360867914
1739209840.921142;-45.120503652039325
1739209840.9211516;-45.120503652039325
1739209840.9211612;-33.981070128970906
1739209840.921171;-38.13080360867914
1739209840.9211805;-38.13080360867914
1739209840.92119;-35.57807855764607
1739209840.9211996;-35.57807855764607
1739209840.921209;-45.120503652039325
1739209840.9212186;-45.120503652039325
1739209840.9212282;-38.13080360867914
1739209840.921238;-38.13080360867914
1739209840.9212475;-38.13080360867914
1739209840.921257;-38.13080360867914
1739209840.9212666;-38.13080360867914
1739209840.921276;-38.13080360867914
1739209840.9212856;-45.120503652039325
1739209840.9212954;-38.13080360867914
1739209840.921305;-38.13080360867914
1739209840.9213145;-38.13080360867914
1739209840.921324;-31.141103565318915
1739209840.9213336;-45.120503652039325
1739209840.921343;-45.120503652039325
1739209840.9213529;-38.13080360867914
1739209840.9213624;-45.120503652039325
1739209840.921372;-45.120503652039325
