CAN Message; 0x98:0000f12ae49dbd15
Timestamp;Amplitude
1739209701.96136;-28.992665084841942
1739209701.9613645;-32.816014438256545
1739209701.961369;-32.816014438256545
1739209701.9613736;-38.13080360867914
1739209701.9613779;-38.13080360867914
1739209701.9613824;-38.13080360867914
1739209701.961387;-32.816014438256545
1739209701.9613914;-38.13080360867914
1739209701.961396;-45.120503652039325
1739209701.9614005;-45.120503652039325
1739209701.961405;-33.981070128970906
1739209701.9614096;-45.120503652039325
1739209701.961414;-45.120503652039325
1739209701.9614184;-38.13080360867914
1739209701.961423;-45.120503652039325
1739209701.9614275;-38.13080360867914
1739209701.961432;-45.120503652039325
1739209701.9614365;-45.120503652039325
1739209701.961441;-45.120503652039325
1739209701.9614456;-38.13080360867914
1739209701.96145;-45.120503652039325
1739209701.9614546;-38.13080360867914
1739209701.961459;-38.13080360867914
1739209701.9614635;-45.120503652039325
1739209701.961468;-33.981070128970906
1739209701.9614725;-35.57807855764607
1739209701.961477;-38.13080360867914
1739209701.9614816;-38.13080360867914
1739209701.961486;-32.816014438256545
1739209701.9614906;-31.141103565318915
1739209701.9614952;-35.57807855764607
1739209701.9614997;-45.120503652039325
1739209701.961504;-38.13080360867914
1739209701.9615085;-38.13080360867914
1739209701.961513;-45.120503652039325
1739209701.9615176;-45.120503652039325
1739209701.961522;-45.120503652039325
1739209701.9615266;-38.13080360867914
1739209701.9615312;-45.120503652039325
1739209701.9615357;-45.120503652039325
1739209701.9615402;-45.120503652039325
1739209701.9615445;-35.57807855764607
1739209701.961549;-38.13080360867914
1739209701.9615536;-45.120503652039325
1739209701.961558;-45.120503652039325
1739209701.9615626;-38.13080360867914
1739209701.9615672;-38.13080360867914
1739209701.9615717;-45.120503652039325
1739209701.9615762;-45.120503652039325
1739209701.9615808;-45.120503652039325
1739209701.961585;-38.13080360867914
1739209701.9615896;-45.120503652039325
1739209701.961594;-45.120503652039325
1739209701.9615986;-33.981070128970906
1739209701.9616032;-45.120503652039325
1739209701.9616077;-38.13080360867914
1739209701.9616122;-45.120503652039325
1739209701.9616168;-45.120503652039325
1739209701.9616213;-38.13080360867914
1739209701.9616256;-45.120503652039325
1739209701.96163;-45.120503652039325
1739209701.9616346;-45.120503652039325
1739209701.9616392;-33.981070128970906
1739209701.9616437;-45.120503652039325
1739209701.9616482;-45.120503652039325
1739209701.9616528;-33.981070128970906
1739209701.9616573;-35.57807855764607
1739209701.9616618;-45.120503652039325
1739209701.961666;-45.120503652039325
1739209701.9616706;-32.816014438256545
1739209701.9616752;-38.13080360867914
1739209701.9616797;-38.13080360867914
1739209701.9616842;-45.120503652039325
1739209701.9616888;-45.120503652039325
1739209701.9616933;-38.13080360867914
1739209701.9616978;-45.120503652039325
1739209701.9617023;-45.120503652039325
1739209701.9617066;-45.120503652039325
1739209701.9617112;-45.120503652039325
1739209701.9617157;-45.120503652039325
1739209701.9617202;-45.120503652039325
1739209701.9617248;-45.120503652039325
1739209701.9617293;-45.120503652039325
1739209701.9617338;-45.120503652039325
1739209701.9617383;-45.120503652039325
1739209701.9617429;-33.981070128970906
1739209701.9617472;-35.57807855764607
1739209701.9617517;-38.13080360867914
1739209701.9617562;-38.13080360867914
1739209701.9617608;-32.816014438256545
1739209701.9617653;-38.13080360867914
1739209701.9617698;-45.120503652039325
1739209701.9617743;-38.13080360867914
1739209701.9617789;-38.13080360867914
1739209701.9617834;-38.13080360867914
1739209701.9617877;-38.13080360867914
1739209701.9617922;-35.57807855764607
1739209701.9617968;-35.57807855764607
1739209701.9618013;-45.120503652039325
1739209701.9618058;-38.13080360867914
1739209701.9618104;-45.120503652039325
1739209701.9618149;-45.120503652039325
1739209701.9618194;-45.120503652039325
1739209701.961824;-45.120503652039325
1739209701.9618285;-38.13080360867914
1739209701.9618328;-27.8777449560314
