CAN Message; 0x1bb:0000f390cd16ab12
Timestamp;Amplitude
1739209863.3670673;-45.120503652039325
1739209863.367085;-45.120503652039325
1739209863.3671029;-45.120503652039325
1739209863.3671205;-45.120503652039325
1739209863.3671381;-45.120503652039325
1739209863.3671558;-45.120503652039325
1739209863.3671734;-38.13080360867914
1739209863.3671913;-35.57807855764607
1739209863.367209;-45.120503652039325
1739209863.3672266;-45.120503652039325
1739209863.3672442;-45.120503652039325
1739209863.367262;-45.120503652039325
1739209863.3672798;-45.120503652039325
1739209863.3672974;-45.120503652039325
1739209863.367315;-45.120503652039325
1739209863.3673327;-45.120503652039325
1739209863.3673506;-32.816014438256545
1739209863.3673682;-32.816014438256545
1739209863.3673859;-45.120503652039325
1739209863.3674035;-38.13080360867914
1739209863.3674212;-33.981070128970906
1739209863.367439;-30.49652367304973
1739209863.3674567;-38.13080360867914
1739209863.3674743;-38.13080360867914
1739209863.367492;-38.13080360867914
1739209863.3675096;-45.120503652039325
1739209863.3675275;-45.120503652039325
1739209863.3675451;-45.120503652039325
1739209863.3675628;-45.120503652039325
1739209863.3675804;-31.141103565318943
1739209863.367598;-38.13080360867914
1739209863.367616;-45.120503652039325
1739209863.3676336;-45.120503652039325
1739209863.3676512;-45.120503652039325
1739209863.3676689;-35.57807855764607
1739209863.3676865;-45.120503652039325
1739209863.3677044;-38.13080360867914
1739209863.367722;-31.141103565318915
1739209863.3677397;-45.120503652039325
1739209863.3677573;-45.120503652039325
1739209863.367775;-35.57807855764607
1739209863.3677928;-33.981070128970906
1739209863.3678105;-45.120503652039325
1739209863.3678281;-45.120503652039325
1739209863.3678458;-45.120503652039325
1739209863.3678637;-38.13080360867914
1739209863.3678813;-45.120503652039325
1739209863.367899;-38.13080360867914
1739209863.3679166;-45.120503652039325
1739209863.3679342;-32.816014438256545
1739209863.367952;-45.120503652039325
1739209863.3679698;-45.120503652039325
1739209863.3679874;-45.120503652039325
1739209863.368005;-32.81601443825658
1739209863.3680227;-35.57807855764607
1739209863.3680406;-33.981070128970906
1739209863.3680582;-38.13080360867914
1739209863.3680758;-38.13080360867914
1739209863.3680935;-35.57807855764607
1739209863.3681111;-45.120503652039325
1739209863.368129;-38.13080360867914
1739209863.3681467;-31.141103565318915
1739209863.3681643;-35.57807855764607
1739209863.368182;-38.13080360867914
1739209863.3681996;-38.13080360867914
1739209863.3682175;-35.57807855764607
1739209863.368235;-38.13080360867914
1739209863.3682528;-45.120503652039325
1739209863.3682704;-45.120503652039325
1739209863.368288;-33.981070128970906
1739209863.368306;-38.13080360867914
1739209863.3683236;-45.120503652039325
1739209863.3683412;-33.981070128970906
1739209863.3683589;-45.120503652039325
1739209863.3683767;-45.120503652039325
1739209863.3683944;-45.120503652039325
1739209863.368412;-45.120503652039325
1739209863.3684297;-38.13080360867914
1739209863.3684473;-45.120503652039325
1739209863.3684652;-45.120503652039325
1739209863.3684828;-45.120503652039325
1739209863.3685005;-45.120503652039325
1739209863.368518;-45.120503652039325
1739209863.3685358;-38.13080360867914
1739209863.3685536;-38.13080360867914
1739209863.3685713;-33.981070128970906
1739209863.368589;-32.816014438256545
1739209863.3686066;-35.57807855764607
1739209863.3686242;-45.120503652039325
1739209863.368642;-38.13080360867914
1739209863.3686597;-32.816014438256545
1739209863.3686774;-38.13080360867914
1739209863.368695;-45.120503652039325
1739209863.3687127;-38.13080360867914
1739209863.3687305;-38.13080360867914
1739209863.3687482;-45.120503652039325
1739209863.3687658;-45.120503652039325
1739209863.3687835;-45.120503652039325
1739209863.368801;-45.120503652039325
1739209863.368819;-45.120503652039325
1739209863.3688366;-38.13080360867914
1739209863.3688543;-38.13080360867914
1739209863.368872;-45.120503652039325
1739209863.3688898;-38.13080360867914
1739209863.3689075;-38.13080360867914
1739209863.368925;-35.57807855764607
1739209863.3689427;-45.120503652039325
1739209863.3689604;-45.120503652039325
1739209863.3689783;-45.120503652039325
1739209863.368996;-38.13080360867914
1739209863.3690135;-35.57807855764607
1739209863.3690312;-38.13080360867914
1739209863.3690488;-45.120503652039325
1739209863.3690667;-45.120503652039325
1739209863.3690844;-35.57807855764607
1739209863.369102;-45.120503652039325
1739209863.3691196;-45.120503652039325
1739209863.3691373;-45.120503652039325
1739209863.3691552;-38.13080360867914
1739209863.3691728;-38.13080360867914
1739209863.3691905;-35.57807855764607
1739209863.369208;-38.13080360867914
1739209863.3692257;-45.120503652039325
1739209863.3692436;-38.13080360867914
1739209863.3692613;-45.120503652039325
1739209863.369279;-33.981070128970906
1739209863.3692966;-31.141103565318915
1739209863.3693142;-45.120503652039325
1739209863.369332;-45.120503652039325
1739209863.3693497;-38.13080360867914
1739209863.3693674;-33.981070128970906
1739209863.369385;-45.120503652039325
1739209863.369403;-45.120503652039325
1739209863.3694205;-35.57807855764607
1739209863.3694382;-30.49652367304973
1739209863.3694558;-45.120503652039325
