CAN Message; 0x1a7:0000ad6ddbf18702
Timestamp;Amplitude
1739209708.0378523;-45.120503652039325
1739209708.037857;-32.816014438256545
1739209708.037862;-38.13080360867914
1739209708.0378668;-45.120503652039325
1739209708.0378716;-38.13080360867914
1739209708.0378764;-32.816014438256545
1739209708.0378811;-38.13080360867914
1739209708.0378861;-45.120503652039325
1739209708.037891;-38.13080360867914
1739209708.0378957;-35.57807855764607
1739209708.0379004;-38.13080360867914
1739209708.0379052;-45.120503652039325
1739209708.03791;-45.120503652039325
1739209708.037915;-45.120503652039325
1739209708.0379198;-45.120503652039325
1739209708.0379245;-33.981070128970906
1739209708.0379293;-38.13080360867914
1739209708.037934;-38.13080360867914
1739209708.037939;-38.13080360867914
1739209708.0379438;-38.13080360867914
1739209708.0379486;-35.57807855764607
1739209708.0379534;-35.57807855764607
1739209708.0379581;-38.13080360867914
1739209708.0379632;-38.13080360867914
1739209708.037968;-33.981070128970906
1739209708.0379727;-38.13080360867914
1739209708.0379775;-45.120503652039325
1739209708.0379822;-45.120503652039325
1739209708.0379872;-45.120503652039325
1739209708.037992;-45.120503652039325
1739209708.0379968;-38.13080360867914
1739209708.0380015;-45.120503652039325
1739209708.0380063;-45.120503652039325
1739209708.038011;-45.120503652039325
1739209708.038016;-38.13080360867914
1739209708.0380208;-38.13080360867914
1739209708.0380256;-38.13080360867914
1739209708.0380304;-38.13080360867914
1739209708.0380352;-33.981070128970906
1739209708.0380402;-45.120503652039325
1739209708.038045;-38.13080360867914
1739209708.0380497;-30.49652367304973
1739209708.0380545;-38.13080360867914
1739209708.0380592;-38.13080360867914
1739209708.0380642;-45.120503652039325
1739209708.038069;-32.816014438256545
1739209708.0380738;-35.57807855764607
1739209708.0380785;-45.120503652039325
1739209708.0380833;-45.120503652039325
1739209708.0380883;-45.120503652039325
1739209708.038093;-45.120503652039325
1739209708.0380979;-38.13080360867914
1739209708.0381026;-45.120503652039325
1739209708.0381074;-45.120503652039325
1739209708.0381122;-38.13080360867914
1739209708.0381172;-45.120503652039325
1739209708.038122;-45.120503652039325
1739209708.0381267;-35.57807855764607
1739209708.0381315;-38.13080360867914
1739209708.0381362;-45.120503652039325
1739209708.0381413;-38.13080360867914
1739209708.038146;-35.57807855764607
1739209708.0381508;-38.13080360867914
1739209708.0381556;-38.13080360867914
1739209708.0381603;-38.13080360867914
1739209708.0381653;-35.57807855764607
1739209708.03817;-35.57807855764607
1739209708.0381749;-38.13080360867914
1739209708.0381796;-38.13080360867914
1739209708.0381844;-38.13080360867914
1739209708.0381894;-38.13080360867914
1739209708.0381942;-45.120503652039325
1739209708.038199;-38.13080360867914
1739209708.0382037;-45.120503652039325
1739209708.0382085;-45.120503652039325
1739209708.0382133;-45.120503652039325
1739209708.0382183;-45.120503652039325
1739209708.038223;-33.981070128970906
1739209708.0382278;-38.13080360867914
1739209708.0382326;-45.120503652039325
1739209708.0382373;-45.120503652039325
1739209708.0382423;-28.21854285175415
1739209708.038247;-32.816014438256545
1739209708.0382519;-45.120503652039325
1739209708.0382566;-38.13080360867914
1739209708.0382614;-31.141103565318893
1739209708.0382664;-32.816014438256545
1739209708.0382712;-45.120503652039325
1739209708.038276;-38.13080360867914
1739209708.0382807;-45.120503652039325
1739209708.0382855;-45.120503652039325
1739209708.0382905;-33.981070128970906
1739209708.0382953;-45.120503652039325
1739209708.0383;-45.120503652039325
1739209708.0383048;-45.120503652039325
1739209708.0383096;-45.120503652039325
1739209708.0383143;-38.13080360867914
1739209708.0383193;-45.120503652039325
1739209708.038324;-45.120503652039325
1739209708.038329;-38.13080360867914
1739209708.0383337;-38.13080360867914
1739209708.0383384;-38.13080360867914
1739209708.0383434;-45.120503652039325
1739209708.0383482;-45.120503652039325
1739209708.038353;-45.120503652039325
1739209708.0383577;-29.438486411369333
1739209708.0383625;-28.58837851428586
1739209708.0383675;-45.120503652039325
1739209708.0383723;-45.120503652039325
1739209708.038377;-35.57807855764607
1739209708.0383818;-35.57807855764607
1739209708.0383866;-45.120503652039325
1739209708.0383916;-33.981070128970906
1739209708.0383964;-45.120503652039325
1739209708.0384011;-38.13080360867914
1739209708.038406;-38.13080360867914
1739209708.0384107;-38.13080360867914
1739209708.0384154;-38.13080360867914
1739209708.0384204;-38.13080360867914
1739209708.0384252;-45.120503652039325
1739209708.03843;-45.120503652039325
1739209708.0384347;-32.816014438256545
1739209708.0384395;-30.49652367304973
1739209708.0384445;-38.13080360867914
1739209708.0384493;-45.120503652039325
1739209708.038454;-38.13080360867914
1739209708.0384588;-38.13080360867914
1739209708.0384636;-38.13080360867914
1739209708.0384686;-38.13080360867914
1739209708.0384734;-45.120503652039325
1739209708.0384781;-45.120503652039325
1739209708.038483;-38.13080360867914
1739209708.0384877;-45.120503652039325
1739209708.0384927;-38.13080360867914
1739209708.0384974;-35.57807855764607
1739209708.0385022;-38.13080360867914
1739209708.038507;-45.120503652039325
1739209708.0385118;-45.120503652039325
1739209708.0385165;-45.120503652039325
1739209708.0385215;-38.13080360867914
1739209708.0385263;-45.120503652039325
1739209708.038531;-38.13080360867914
1739209708.0385358;-38.13080360867914
1739209708.0385406;-38.13080360867914
1739209708.0385456;-45.120503652039325
1739209708.0385504;-38.13080360867914
1739209708.0385551;-33.981070128970906
1739209708.03856;-38.13080360867914
1739209708.0385647;-35.57807855764607
1739209708.0385697;-38.13080360867914
1739209708.0385745;-45.120503652039325
1739209708.0385792;-45.120503652039325
1739209708.038584;-35.57807855764607
1739209708.0385888;-38.13080360867914
1739209708.0385938;-38.13080360867914
1739209708.0385985;-45.120503652039325
1739209708.0386033;-38.13080360867914
1739209708.038608;-35.57807855764607
1739209708.0386128;-33.981070128970906
1739209708.0386176;-45.120503652039325
1739209708.0386226;-45.120503652039325
1739209708.0386274;-38.13080360867914
1739209708.0386322;-38.13080360867914
1739209708.038637;-38.13080360867914
1739209708.0386417;-38.13080360867914
1739209708.0386467;-35.57807855764607
1739209708.0386515;-38.13080360867914
1739209708.0386562;-45.120503652039325
1739209708.038661;-45.120503652039325
1739209708.0386658;-38.13080360867914
1739209708.0386708;-38.13080360867914
1739209708.0386755;-38.13080360867914
1739209708.0386803;-45.120503652039325
1739209708.038685;-45.120503652039325
1739209708.0386899;-35.57807855764607
1739209708.0386949;-38.13080360867914
1739209708.0386996;-45.120503652039325
1739209708.0387044;-45.120503652039325
1739209708.0387092;-38.13080360867914
1739209708.038714;-38.13080360867914
1739209708.0387187;-38.13080360867914
1739209708.0387237;-38.13080360867914
1739209708.0387285;-38.13080360867914
1739209708.0387332;-38.13080360867914
1739209708.038738;-45.120503652039325
1739209708.0387428;-45.120503652039325
1739209708.0387478;-38.13080360867914
1739209708.0387526;-33.981070128970906
1739209708.0387573;-38.13080360867914
1739209708.038762;-45.120503652039325
1739209708.0387669;-33.981070128970906
1739209708.0387719;-31.141103565318915
1739209708.0387766;-45.120503652039325
1739209708.0387814;-45.120503652039325
1739209708.0387862;-38.13080360867914
1739209708.038791;-35.57807855764607
1739209708.038796;-38.13080360867914
1739209708.0388007;-30.49652367304973
1739209708.0388055;-45.120503652039325
1739209708.0388103;-45.120503652039325
1739209708.038815;-38.13080360867914
