CAN Message; 0x1b8:03006ff692066267
Timestamp;Amplitude
1739209608.0302389;-33.981070128970906
1739209608.030246;-45.120503652039325
1739209608.030253;-45.120503652039325
1739209608.0302598;-29.438486411369333
1739209608.030267;-35.57807855764607
1739209608.030274;-45.120503652039325
1739209608.0302808;-38.13080360867914
1739209608.030288;-35.57807855764607
1739209608.030295;-45.120503652039325
1739209608.0303018;-45.120503652039325
1739209608.0303087;-38.13080360867914
1739209608.0303159;-45.120503652039325
1739209608.0303228;-38.13080360867914
1739209608.0303297;-45.120503652039325
1739209608.0303369;-38.13080360867914
1739209608.0303438;-38.13080360867914
1739209608.0303507;-38.13080360867914
1739209608.0303578;-38.13080360867914
1739209608.0303648;-38.13080360867914
1739209608.0303717;-32.816014438256545
1739209608.0303788;-38.13080360867914
1739209608.0303857;-45.120503652039325
1739209608.0303926;-38.13080360867914
1739209608.0303998;-35.57807855764607
1739209608.0304067;-45.120503652039325
1739209608.0304136;-45.120503652039325
1739209608.0304208;-38.13080360867914
1739209608.0304277;-38.13080360867914
1739209608.0304346;-45.120503652039325
1739209608.0304415;-45.120503652039325
1739209608.0304487;-45.120503652039325
1739209608.0304556;-38.13080360867914
1739209608.0304625;-38.13080360867914
1739209608.0304697;-45.120503652039325
1739209608.0304766;-38.13080360867914
1739209608.0304835;-35.57807855764607
1739209608.0304906;-33.981070128970906
1739209608.0304976;-45.120503652039325
1739209608.0305045;-45.120503652039325
1739209608.0305116;-45.120503652039325
1739209608.0305185;-45.120503652039325
1739209608.0305254;-45.120503652039325
1739209608.0305326;-38.13080360867914
1739209608.0305395;-38.13080360867914
1739209608.0305464;-38.13080360867914
1739209608.0305536;-45.120503652039325
1739209608.0305605;-38.13080360867914
1739209608.0305674;-31.141103565318893
1739209608.0305743;-35.57807855764607
1739209608.0305815;-45.120503652039325
1739209608.0305884;-35.57807855764607
1739209608.0305953;-38.13080360867914
1739209608.0306025;-33.981070128970906
1739209608.0306094;-45.120503652039325
1739209608.0306163;-33.981070128970906
1739209608.0306234;-38.13080360867914
1739209608.0306304;-45.120503652039325
1739209608.0306373;-45.120503652039325
1739209608.0306444;-45.120503652039325
1739209608.0306513;-32.816014438256545
1739209608.0306582;-33.981070128970906
1739209608.0306654;-45.120503652039325
1739209608.0306723;-38.13080360867914
1739209608.0306792;-35.57807855764607
1739209608.0306864;-38.13080360867914
1739209608.0306933;-45.120503652039325
1739209608.0307002;-45.120503652039325
1739209608.0307071;-38.13080360867914
1739209608.0307143;-33.981070128970906
1739209608.0307212;-45.120503652039325
1739209608.030728;-45.120503652039325
1739209608.0307353;-38.13080360867914
1739209608.0307422;-38.13080360867914
1739209608.030749;-45.120503652039325
1739209608.0307562;-38.13080360867914
1739209608.0307631;-38.13080360867914
1739209608.03077;-38.13080360867914
1739209608.0307772;-45.120503652039325
1739209608.0307841;-45.120503652039325
1739209608.030791;-38.13080360867914
1739209608.0307982;-45.120503652039325
1739209608.030805;-45.120503652039325
1739209608.030812;-45.120503652039325
1739209608.030819;-33.981070128970906
1739209608.030826;-31.141103565318915
1739209608.030833;-33.981070128970906
1739209608.03084;-38.13080360867914
1739209608.030847;-45.120503652039325
1739209608.030854;-33.981070128970906
1739209608.030861;-33.981070128970906
1739209608.030868;-38.13080360867914
1739209608.030875;-45.120503652039325
1739209608.030882;-30.49652367304973
1739209608.030889;-38.13080360867914
1739209608.030896;-38.13080360867914
1739209608.0309029;-38.13080360867914
1739209608.03091;-38.13080360867914
1739209608.030917;-38.13080360867914
1739209608.0309238;-38.13080360867914
1739209608.030931;-38.13080360867914
1739209608.030938;-31.141103565318915
1739209608.0309448;-33.981070128970906
1739209608.0309517;-38.13080360867914
1739209608.030959;-45.120503652039325
1739209608.0309658;-38.13080360867914
1739209608.0309727;-38.13080360867914
1739209608.0309799;-45.120503652039325
1739209608.0309868;-45.120503652039325
1739209608.0309937;-38.13080360867914
1739209608.0310009;-45.120503652039325
1739209608.0310078;-45.120503652039325
1739209608.0310147;-45.120503652039325
1739209608.0310218;-45.120503652039325
1739209608.0310287;-45.120503652039325
1739209608.0310357;-45.120503652039325
1739209608.0310428;-35.57807855764607
1739209608.0310497;-38.13080360867914
1739209608.0310566;-38.13080360867914
1739209608.0310638;-38.13080360867914
1739209608.0310707;-38.13080360867914
1739209608.0310776;-38.13080360867914
1739209608.0310845;-38.13080360867914
1739209608.0310917;-38.13080360867914
1739209608.0310986;-35.57807855764607
1739209608.0311055;-31.141103565318915
1739209608.0311127;-28.992665084841942
1739209608.0311196;-45.120503652039325
1739209608.0311265;-45.120503652039325
1739209608.0311337;-38.13080360867914
1739209608.0311406;-38.13080360867914
1739209608.0311475;-45.120503652039325
1739209608.0311546;-45.120503652039325
1739209608.0311615;-38.13080360867914
1739209608.0311685;-31.141103565318943
1739209608.0311756;-33.981070128970906
1739209608.0311825;-32.816014438256545
1739209608.0311894;-45.120503652039325
1739209608.0311966;-45.120503652039325
1739209608.0312035;-45.120503652039325
1739209608.0312104;-38.13080360867914
1739209608.0312173;-35.57807855764607
1739209608.0312245;-32.816014438256545
1739209608.0312314;-38.13080360867914
1739209608.0312383;-38.13080360867914
1739209608.0312455;-45.120503652039325
1739209608.0312524;-45.120503652039325
1739209608.0312593;-45.120503652039325
1739209608.0312665;-45.120503652039325
1739209608.0312734;-45.120503652039325
1739209608.0312803;-45.120503652039325
1739209608.0312874;-45.120503652039325
1739209608.0312943;-38.13080360867914
1739209608.0313013;-38.13080360867914
1739209608.0313084;-35.57807855764607
1739209608.0313153;-38.13080360867914
1739209608.0313222;-45.120503652039325
1739209608.0313294;-38.13080360867914
1739209608.0313363;-45.120503652039325
1739209608.0313432;-45.120503652039325
1739209608.0313501;-45.120503652039325
1739209608.0313573;-45.120503652039325
1739209608.0313642;-45.120503652039325
1739209608.031371;-35.57807855764607
1739209608.0313783;-38.13080360867914
1739209608.0313852;-38.13080360867914
1739209608.031392;-32.816014438256545
1739209608.0313993;-38.13080360867914
1739209608.0314062;-45.120503652039325
1739209608.031413;-35.57807855764607
1739209608.0314202;-35.57807855764607
1739209608.0314271;-45.120503652039325
1739209608.031434;-38.13080360867914
1739209608.0314412;-38.13080360867914
1739209608.0314481;-45.120503652039325
1739209608.031455;-38.13080360867914
1739209608.0314622;-35.57807855764607
1739209608.031469;-38.13080360867914
1739209608.031476;-45.120503652039325
1739209608.031483;-35.57807855764607
1739209608.03149;-38.13080360867914
1739209608.031497;-45.120503652039325
1739209608.031504;-32.816014438256545
1739209608.031511;-38.13080360867914
1739209608.031518;-38.13080360867914
1739209608.031525;-33.981070128970906
1739209608.031532;-45.120503652039325
1739209608.031539;-38.13080360867914
1739209608.0315459;-35.57807855764607
1739209608.031553;-45.120503652039325
1739209608.03156;-45.120503652039325
1739209608.0315669;-45.120503652039325
1739209608.031574;-35.57807855764607
1739209608.031581;-35.57807855764607
1739209608.0315878;-45.120503652039325
1739209608.031595;-38.13080360867914
1739209608.031602;-38.13080360867914
1739209608.0316088;-45.120503652039325
1739209608.0316157;-45.120503652039325
1739209608.031623;-45.120503652039325
1739209608.0316298;-38.13080360867914
1739209608.0316367;-38.13080360867914
1739209608.0316439;-45.120503652039325
1739209608.0316508;-38.13080360867914
1739209608.0316577;-33.981070128970906
1739209608.0316648;-38.13080360867914
1739209608.0316718;-45.120503652039325
1739209608.0316787;-38.13080360867914
1739209608.0316858;-38.13080360867914
1739209608.0316927;-38.13080360867914
1739209608.0316997;-33.981070128970906
1739209608.0317068;-33.981070128970906
1739209608.0317137;-45.120503652039325
1739209608.0317206;-33.981070128970906
1739209608.0317278;-38.13080360867914
1739209608.0317347;-31.141103565318915
1739209608.0317416;-35.57807855764607
1739209608.0317485;-38.13080360867914
1739209608.0317557;-45.120503652039325
1739209608.0317626;-38.13080360867914
1739209608.0317695;-35.57807855764607
1739209608.0317767;-38.13080360867914
1739209608.0317836;-45.120503652039325
1739209608.0317905;-38.13080360867914
1739209608.0317976;-45.120503652039325
1739209608.0318046;-45.120503652039325
1739209608.0318115;-45.120503652039325
1739209608.0318186;-38.13080360867914
1739209608.0318255;-38.13080360867914
1739209608.0318325;-38.13080360867914
1739209608.0318396;-38.13080360867914
1739209608.0318465;-38.13080360867914
1739209608.0318534;-38.13080360867914
1739209608.0318604;-45.120503652039325
1739209608.0318675;-38.13080360867914
1739209608.0318744;-33.981070128970906
1739209608.0318813;-35.57807855764607
1739209608.0318885;-38.13080360867914
1739209608.0318954;-38.13080360867914
1739209608.0319023;-33.981070128970906
1739209608.0319095;-45.120503652039325
1739209608.0319164;-38.13080360867914
1739209608.0319233;-35.57807855764607
1739209608.0319304;-38.13080360867914
1739209608.0319374;-38.13080360867914
1739209608.0319443;-38.13080360867914
1739209608.0319514;-45.120503652039325
1739209608.0319583;-33.981070128970906
1739209608.0319653;-45.120503652039325
1739209608.0319724;-45.120503652039325
1739209608.0319793;-45.120503652039325
1739209608.0319862;-38.13080360867914
1739209608.0319932;-45.120503652039325
1739209608.0320003;-38.13080360867914
1739209608.0320072;-38.13080360867914
1739209608.0320141;-28.58837851428586
1739209608.0320213;-33.981070128970906
1739209608.0320282;-38.13080360867914
