CAN Message; 0x1bb:0000749b3083dce2
Timestamp;Amplitude
1739209794.1941667;-38.13080360867914
1739209794.1941721;-35.57807855764607
1739209794.1941776;-38.13080360867914
1739209794.194183;-33.981070128970906
1739209794.1941886;-38.13080360867914
1739209794.194194;-38.13080360867914
1739209794.1941993;-45.120503652039325
1739209794.1942048;-38.13080360867914
1739209794.1942103;-38.13080360867914
1739209794.1942158;-38.13080360867914
1739209794.1942213;-45.120503652039325
1739209794.1942267;-45.120503652039325
1739209794.1942322;-38.13080360867914
1739209794.1942377;-38.13080360867914
1739209794.1942432;-45.120503652039325
1739209794.1942487;-38.13080360867914
1739209794.1942542;-35.57807855764607
1739209794.1942596;-38.13080360867914
1739209794.1942651;-45.120503652039325
1739209794.1942706;-45.120503652039325
1739209794.1942759;-45.120503652039325
1739209794.1942813;-38.13080360867914
1739209794.1942868;-38.13080360867914
1739209794.1942923;-35.57807855764607
1739209794.1942978;-38.13080360867914
1739209794.1943033;-45.120503652039325
1739209794.1943088;-38.13080360867914
1739209794.1943142;-38.13080360867914
1739209794.1943197;-38.13080360867914
1739209794.1943252;-45.120503652039325
1739209794.1943307;-38.13080360867914
1739209794.1943362;-27.267205301931607
1739209794.1943417;-28.992665084841942
1739209794.1943471;-38.13080360867914
1739209794.1943524;-45.120503652039325
1739209794.1943579;-33.981070128970906
1739209794.1943634;-45.120503652039325
1739209794.1943688;-45.120503652039325
1739209794.1943743;-35.57807855764607
1739209794.1943798;-33.981070128970906
1739209794.1943853;-38.13080360867914
1739209794.1943908;-45.120503652039325
1739209794.1943963;-45.120503652039325
1739209794.1944017;-45.120503652039325
1739209794.1944072;-45.120503652039325
1739209794.1944127;-45.120503652039325
1739209794.1944182;-33.981070128970906
1739209794.1944234;-33.981070128970906
1739209794.194429;-38.13080360867914
1739209794.1944344;-45.120503652039325
1739209794.19444;-35.57807855764607
1739209794.1944454;-38.13080360867914
1739209794.1944509;-45.120503652039325
1739209794.1944563;-38.13080360867914
1739209794.1944618;-38.13080360867914
1739209794.1944673;-33.981070128970906
1739209794.1944728;-33.981070128970906
1739209794.1944783;-45.120503652039325
1739209794.1944838;-45.120503652039325
1739209794.1944892;-38.13080360867914
1739209794.1944947;-38.13080360867914
1739209794.1945;-38.13080360867914
1739209794.1945055;-38.13080360867914
1739209794.194511;-33.981070128970906
1739209794.1945164;-31.141103565318915
1739209794.194522;-45.120503652039325
1739209794.1945274;-45.120503652039325
1739209794.1945329;-38.13080360867914
1739209794.1945384;-38.13080360867914
1739209794.1945438;-45.120503652039325
1739209794.1945493;-38.13080360867914
1739209794.1945548;-33.981070128970906
1739209794.1945603;-31.141103565318915
1739209794.1945658;-38.13080360867914
1739209794.1945713;-45.120503652039325
1739209794.1945765;-35.57807855764607
1739209794.194582;-38.13080360867914
1739209794.1945875;-38.13080360867914
1739209794.194593;-45.120503652039325
1739209794.1945984;-45.120503652039325
1739209794.194604;-45.120503652039325
1739209794.1946094;-38.13080360867914
1739209794.194615;-45.120503652039325
1739209794.1946204;-45.120503652039325
1739209794.1946259;-38.13080360867914
1739209794.1946313;-38.13080360867914
1739209794.1946368;-38.13080360867914
1739209794.1946423;-38.13080360867914
1739209794.1946476;-38.13080360867914
1739209794.194653;-38.13080360867914
1739209794.1946585;-38.13080360867914
1739209794.194664;-35.57807855764607
1739209794.1946695;-45.120503652039325
1739209794.194675;-45.120503652039325
1739209794.1946805;-45.120503652039325
1739209794.194686;-45.120503652039325
1739209794.1946914;-38.13080360867914
1739209794.194697;-38.13080360867914
1739209794.1947024;-38.13080360867914
1739209794.1947079;-45.120503652039325
1739209794.1947134;-38.13080360867914
1739209794.1947188;-35.57807855764607
1739209794.194724;-45.120503652039325
1739209794.1947296;-38.13080360867914
1739209794.194735;-38.13080360867914
1739209794.1947405;-45.120503652039325
1739209794.194746;-45.120503652039325
1739209794.1947515;-45.120503652039325
1739209794.194757;-45.120503652039325
1739209794.1947625;-38.13080360867914
1739209794.194768;-45.120503652039325
1739209794.1947734;-45.120503652039325
1739209794.194779;-45.120503652039325
1739209794.1947844;-45.120503652039325
1739209794.19479;-38.13080360867914
1739209794.1947954;-35.57807855764607
1739209794.1948006;-38.13080360867914
1739209794.194806;-45.120503652039325
