CAN Message; 0x150:0500f516b3fe36a4
Timestamp;Amplitude
1739209732.4006877;-45.120503652039325
1739209732.4006941;-38.13080360867914
1739209732.4007003;-45.120503652039325
1739209732.4007068;-45.120503652039325
1739209732.400713;-38.13080360867914
1739209732.4007194;-38.13080360867914
1739209732.4007256;-31.141103565318915
1739209732.400732;-38.13080360867914
1739209732.4007382;-45.120503652039325
1739209732.4007447;-45.120503652039325
1739209732.4007509;-35.57807855764607
1739209732.4007573;-38.13080360867914
1739209732.4007635;-45.120503652039325
1739209732.40077;-45.120503652039325
1739209732.4007761;-38.13080360867914
1739209732.4007826;-32.816014438256545
1739209732.4007888;-45.120503652039325
1739209732.4007952;-38.13080360867914
1739209732.4008014;-38.13080360867914
1739209732.4008079;-35.57807855764607
1739209732.400814;-45.120503652039325
1739209732.4008205;-45.120503652039325
1739209732.4008267;-35.57807855764607
1739209732.4008331;-38.13080360867914
1739209732.4008393;-38.13080360867914
1739209732.4008458;-38.13080360867914
1739209732.400852;-38.13080360867914
1739209732.4008584;-45.120503652039325
1739209732.4008646;-45.120503652039325
1739209732.400871;-38.13080360867914
1739209732.4008772;-38.13080360867914
1739209732.4008837;-45.120503652039325
1739209732.4008899;-38.13080360867914
1739209732.4008963;-45.120503652039325
1739209732.4009025;-45.120503652039325
1739209732.400909;-38.13080360867914
1739209732.4009151;-38.13080360867914
1739209732.4009216;-38.13080360867914
1739209732.4009278;-45.120503652039325
1739209732.4009342;-38.13080360867914
1739209732.4009404;-38.13080360867914
1739209732.4009469;-45.120503652039325
1739209732.400953;-28.992665084841942
1739209732.4009595;-45.120503652039325
1739209732.4009657;-45.120503652039325
1739209732.4009721;-45.120503652039325
1739209732.4009783;-35.57807855764607
1739209732.4009845;-38.13080360867914
1739209732.400991;-45.120503652039325
1739209732.4009972;-38.13080360867914
1739209732.4010036;-45.120503652039325
1739209732.4010098;-38.13080360867914
1739209732.4010162;-35.57807855764607
1739209732.4010224;-38.13080360867914
1739209732.4010289;-45.120503652039325
1739209732.401035;-45.120503652039325
1739209732.4010415;-45.120503652039325
1739209732.4010477;-45.120503652039325
1739209732.4010541;-30.49652367304973
1739209732.4010603;-35.57807855764607
1739209732.4010668;-45.120503652039325
