CAN Message; 0x150:0700c178f6d45052
Timestamp;Amplitude
1739209907.3807316;-45.120503652039325
1739209907.3807347;-45.120503652039325
1739209907.3807378;-45.120503652039325
1739209907.380741;-35.57807855764607
1739209907.380744;-38.13080360867914
1739209907.380747;-45.120503652039325
1739209907.3807502;-45.120503652039325
1739209907.3807533;-38.13080360867914
1739209907.3807564;-38.13080360867914
1739209907.3807595;-45.120503652039325
1739209907.3807626;-38.13080360867914
1739209907.3807657;-35.57807855764607
1739209907.3807688;-38.13080360867914
1739209907.3807719;-38.13080360867914
1739209907.380775;-38.13080360867914
1739209907.380778;-35.57807855764607
1739209907.3807812;-35.57807855764607
1739209907.3807843;-31.141103565318915
1739209907.3807874;-45.120503652039325
1739209907.3807905;-45.120503652039325
1739209907.3807936;-45.120503652039325
1739209907.3807967;-38.13080360867914
1739209907.3807998;-45.120503652039325
1739209907.3808029;-38.13080360867914
1739209907.380806;-38.13080360867914
1739209907.380809;-33.981070128970956
1739209907.3808122;-45.120503652039325
1739209907.3808153;-45.120503652039325
1739209907.3808184;-38.13080360867914
1739209907.3808215;-38.13080360867914
1739209907.3808246;-35.57807855764607
1739209907.3808277;-45.120503652039325
1739209907.3808308;-38.13080360867914
1739209907.3808339;-27.8777449560314
1739209907.380837;-35.57807855764607
1739209907.38084;-45.120503652039325
1739209907.3808432;-45.120503652039325
1739209907.3808463;-35.57807855764607
1739209907.3808494;-38.13080360867914
1739209907.3808525;-45.120503652039325
1739209907.3808556;-38.13080360867914
1739209907.3808587;-33.981070128970956
1739209907.3808618;-45.120503652039325
1739209907.3808649;-35.57807855764607
1739209907.380868;-38.13080360867914
1739209907.380871;-45.120503652039325
1739209907.3808742;-38.13080360867914
1739209907.3808773;-35.57807855764607
1739209907.3808804;-35.57807855764607
1739209907.3808835;-29.438486411369333
1739209907.3808866;-35.57807855764607
1739209907.3808897;-45.120503652039325
1739209907.3808928;-38.13080360867914
1739209907.3808959;-35.57807855764607
1739209907.380899;-38.13080360867914
1739209907.380902;-38.13080360867914
1739209907.3809052;-38.13080360867914
1739209907.3809083;-38.13080360867914
1739209907.3809114;-45.120503652039325
1739209907.3809144;-35.57807855764607
1739209907.3809175;-38.13080360867914
1739209907.3809206;-38.13080360867914
1739209907.3809237;-45.120503652039325
1739209907.3809268;-38.13080360867914
1739209907.38093;-45.120503652039325
1739209907.380933;-45.120503652039325
1739209907.3809361;-45.120503652039325
1739209907.3809392;-38.13080360867914
1739209907.3809423;-45.120503652039325
1739209907.3809454;-45.120503652039325
1739209907.3809485;-45.120503652039325
1739209907.3809516;-33.981070128970906
1739209907.3809547;-45.120503652039325
1739209907.3809578;-35.57807855764607
1739209907.380961;-35.57807855764607
1739209907.380964;-38.13080360867914
1739209907.3809671;-45.120503652039325
1739209907.3809702;-45.120503652039325
1739209907.3809733;-38.13080360867914
1739209907.3809764;-38.13080360867914
1739209907.3809795;-35.57807855764607
1739209907.3809826;-45.120503652039325
1739209907.3809857;-45.120503652039325
1739209907.3809888;-32.816014438256545
1739209907.380992;-35.57807855764607
1739209907.380995;-45.120503652039325
1739209907.3809981;-38.13080360867914
1739209907.3810012;-32.816014438256545
1739209907.3810043;-45.120503652039325
1739209907.3810074;-45.120503652039325
1739209907.3810105;-45.120503652039325
1739209907.3810136;-45.120503652039325
1739209907.3810167;-38.13080360867914
1739209907.3810198;-45.120503652039325
1739209907.381023;-45.120503652039325
1739209907.381026;-35.57807855764607
1739209907.3810291;-38.13080360867914
1739209907.3810322;-45.120503652039325
1739209907.3810353;-38.13080360867914
1739209907.3810384;-38.13080360867914
1739209907.3810415;-38.13080360867914
1739209907.3810446;-38.13080360867914
1739209907.3810477;-38.13080360867914
1739209907.3810508;-38.13080360867914
1739209907.381054;-33.981070128970906
1739209907.381057;-45.120503652039325
1739209907.3810601;-38.13080360867914
1739209907.3810632;-38.13080360867914
1739209907.3810663;-33.981070128970906
1739209907.3810694;-45.120503652039325
1739209907.3810725;-45.120503652039325
1739209907.3810756;-32.816014438256545
1739209907.3810787;-35.57807855764607
1739209907.3810818;-45.120503652039325
1739209907.381085;-33.981070128970906
1739209907.381088;-33.981070128970906
1739209907.381091;-38.13080360867914
1739209907.3810942;-38.13080360867914
1739209907.3810973;-38.13080360867914
1739209907.3811004;-38.13080360867914
1739209907.3811035;-33.981070128970906
1739209907.3811066;-45.120503652039325
1739209907.3811097;-45.120503652039325
1739209907.3811128;-38.13080360867914
1739209907.381116;-38.13080360867914
1739209907.381119;-45.120503652039325
1739209907.381122;-45.120503652039325
1739209907.3811252;-38.13080360867914
1739209907.3811283;-33.981070128970906
1739209907.3811314;-38.13080360867914
1739209907.3811345;-38.13080360867914
1739209907.3811376;-45.120503652039325
1739209907.3811407;-45.120503652039325
1739209907.3811438;-45.120503652039325
1739209907.381147;-38.13080360867914
1739209907.38115;-45.120503652039325
1739209907.381153;-33.981070128970906
1739209907.3811562;-45.120503652039325
1739209907.3811593;-38.13080360867914
1739209907.3811624;-38.13080360867914
1739209907.3811655;-38.13080360867914
1739209907.3811686;-35.57807855764607
1739209907.3811717;-33.981070128970906
1739209907.3811748;-45.120503652039325
1739209907.381178;-45.120503652039325
1739209907.381181;-45.120503652039325
1739209907.381184;-45.120503652039325
1739209907.3811872;-38.13080360867914
1739209907.3811903;-38.13080360867914
1739209907.3811934;-45.120503652039325
1739209907.3811965;-38.13080360867914
1739209907.3811996;-38.13080360867914
1739209907.3812027;-38.13080360867914
1739209907.3812058;-45.120503652039325
1739209907.381209;-31.141103565318915
1739209907.381212;-28.992665084841942
1739209907.381215;-38.13080360867914
1739209907.3812182;-45.120503652039325
1739209907.3812213;-38.13080360867914
1739209907.3812244;-38.13080360867914
1739209907.3812275;-38.13080360867914
