CAN Message; 0x1bb:00002278ac028341
Timestamp;Amplitude
1739209912.0218906;-45.120503652039325
1739209912.021902;-38.13080360867914
1739209912.0219138;-35.57807855764607
1739209912.0219252;-45.120503652039325
1739209912.0219367;-38.13080360867914
1739209912.021948;-45.120503652039325
1739209912.0219595;-45.120503652039325
1739209912.0219712;-35.57807855764607
1739209912.0219827;-35.57807855764607
1739209912.021994;-45.120503652039325
1739209912.0220056;-38.13080360867914
1739209912.022017;-45.120503652039325
1739209912.0220287;-29.438486411369333
1739209912.0220401;-38.13080360867914
1739209912.0220516;-38.13080360867914
1739209912.022063;-45.120503652039325
1739209912.0220747;-45.120503652039325
1739209912.0220861;-38.13080360867914
1739209912.0220976;-45.120503652039325
1739209912.022109;-38.13080360867914
1739209912.0221205;-38.13080360867914
1739209912.0221322;-38.13080360867914
1739209912.0221436;-32.816014438256545
1739209912.022155;-45.120503652039325
1739209912.0221665;-45.120503652039325
1739209912.022178;-45.120503652039325
1739209912.0221896;-38.13080360867914
1739209912.022201;-45.120503652039325
1739209912.0222125;-28.58837851428586
1739209912.022224;-35.57807855764607
1739209912.0222354;-45.120503652039325
1739209912.022247;-45.120503652039325
1739209912.0222585;-45.120503652039325
1739209912.02227;-33.981070128970906
1739209912.0222814;-38.13080360867914
1739209912.0222929;-45.120503652039325
1739209912.0223045;-33.981070128970956
1739209912.022316;-45.120503652039325
1739209912.0223274;-45.120503652039325
1739209912.0223389;-45.120503652039325
1739209912.0223503;-45.120503652039325
1739209912.022362;-45.120503652039325
1739209912.0223734;-38.13080360867914
1739209912.022385;-38.13080360867914
1739209912.0223963;-32.816014438256545
1739209912.022408;-45.120503652039325
1739209912.0224195;-38.13080360867914
1739209912.022431;-38.13080360867914
1739209912.0224423;-30.49652367304973
1739209912.0224538;-38.13080360867914
1739209912.0224655;-45.120503652039325
1739209912.022477;-38.13080360867914
1739209912.0224884;-45.120503652039325
1739209912.0224998;-45.120503652039325
1739209912.0225112;-38.13080360867914
1739209912.022523;-38.13080360867914
1739209912.0225344;-45.120503652039325
1739209912.0225458;-45.120503652039325
1739209912.0225573;-38.13080360867914
1739209912.0225687;-38.13080360867914
1739209912.0225804;-45.120503652039325
1739209912.0225918;-38.13080360867914
1739209912.0226033;-35.57807855764607
1739209912.0226147;-38.13080360867914
1739209912.0226262;-45.120503652039325
1739209912.0226378;-45.120503652039325
1739209912.0226493;-45.120503652039325
1739209912.0226607;-38.13080360867914
1739209912.0226722;-30.49652367304973
1739209912.0226836;-31.141103565318915
1739209912.0226953;-35.57807855764607
1739209912.0227067;-35.57807855764607
1739209912.0227182;-33.981070128970906
1739209912.0227296;-35.57807855764607
1739209912.0227413;-38.13080360867914
1739209912.0227528;-38.13080360867914
1739209912.0227642;-38.13080360867914
1739209912.0227757;-32.816014438256545
1739209912.022787;-45.120503652039325
1739209912.0227988;-38.13080360867914
1739209912.0228102;-45.120503652039325
1739209912.0228217;-45.120503652039325
1739209912.022833;-45.120503652039325
1739209912.0228446;-45.120503652039325
1739209912.0228562;-38.13080360867914
1739209912.0228677;-33.981070128970906
1739209912.0228791;-38.13080360867914
1739209912.0228906;-38.13080360867914
1739209912.022902;-38.13080360867914
1739209912.0229137;-38.13080360867914
1739209912.0229251;-45.120503652039325
1739209912.0229366;-35.57807855764607
1739209912.022948;-38.13080360867914
1739209912.0229595;-38.13080360867914
1739209912.0229712;-38.13080360867914
1739209912.0229826;-38.13080360867914
1739209912.022994;-38.13080360867914
1739209912.0230055;-38.13080360867914
1739209912.023017;-33.981070128970906
1739209912.0230286;-45.120503652039325
1739209912.02304;-45.120503652039325
1739209912.0230515;-38.13080360867914
1739209912.023063;-45.120503652039325
1739209912.0230746;-45.120503652039325
1739209912.023086;-45.120503652039325
1739209912.0230975;-45.120503652039325
1739209912.023109;-45.120503652039325
1739209912.0231204;-45.120503652039325
1739209912.023132;-38.13080360867914
1739209912.0231435;-33.981070128970906
1739209912.023155;-45.120503652039325
1739209912.0231664;-38.13080360867914
1739209912.0231779;-45.120503652039325
1739209912.0231895;-35.57807855764607
1739209912.023201;-35.57807855764607
1739209912.0232124;-38.13080360867914
1739209912.0232239;-38.13080360867914
1739209912.0232353;-38.13080360867914
1739209912.023247;-45.120503652039325
1739209912.0232584;-38.13080360867914
1739209912.02327;-35.57807855764607
1739209912.0232813;-45.120503652039325
1739209912.0232928;-45.120503652039325
1739209912.0233045;-45.120503652039325
1739209912.023316;-38.13080360867914
1739209912.0233274;-38.13080360867914
1739209912.0233388;-38.13080360867914
1739209912.0233502;-38.13080360867914
1739209912.023362;-38.13080360867914
1739209912.0233734;-35.57807855764607
