CAN Message; 0x39:091e73d5e7912c75
Timestamp;Amplitude
1739209891.7460093;-45.120503652039325
1739209891.7460167;-38.13080360867914
1739209891.7460244;-45.120503652039325
1739209891.7460318;-38.13080360867914
1739209891.7460394;-38.13080360867914
1739209891.7460468;-38.13080360867914
1739209891.7460544;-45.120503652039325
1739209891.7460618;-38.13080360867914
1739209891.7460694;-38.13080360867914
1739209891.746077;-45.120503652039325
1739209891.7460845;-35.57807855764607
1739209891.746092;-38.13080360867914
1739209891.7460995;-38.13080360867914
1739209891.746107;-35.57807855764607
1739209891.7461145;-38.13080360867914
1739209891.7461221;-33.981070128970906
1739209891.7461295;-38.13080360867914
1739209891.7461371;-45.120503652039325
1739209891.7461448;-45.120503652039325
1739209891.7461522;-45.120503652039325
1739209891.7461598;-45.120503652039325
1739209891.7461672;-45.120503652039325
1739209891.7461748;-32.816014438256545
1739209891.7461822;-35.57807855764607
1739209891.7461898;-45.120503652039325
1739209891.7461972;-38.13080360867914
1739209891.7462049;-35.57807855764607
1739209891.7462125;-38.13080360867914
1739209891.7462199;-45.120503652039325
1739209891.7462275;-45.120503652039325
1739209891.746235;-32.816014438256545
1739209891.7462425;-33.981070128970906
1739209891.74625;-35.57807855764607
1739209891.7462575;-38.13080360867914
1739209891.746265;-35.57807855764607
1739209891.7462726;-45.120503652039325
1739209891.7462802;-45.120503652039325
1739209891.7462876;-38.13080360867914
1739209891.7462952;-45.120503652039325
1739209891.7463026;-38.13080360867914
1739209891.7463102;-45.120503652039325
1739209891.7463176;-35.57807855764607
1739209891.7463253;-35.57807855764607
1739209891.7463326;-35.57807855764607
1739209891.7463403;-38.13080360867914
1739209891.746348;-38.13080360867914
1739209891.7463553;-38.13080360867914
1739209891.746363;-45.120503652039325
1739209891.7463703;-45.120503652039325
1739209891.746378;-45.120503652039325
1739209891.7463853;-38.13080360867914
1739209891.746393;-38.13080360867914
1739209891.7464006;-35.57807855764607
1739209891.746408;-45.120503652039325
1739209891.7464156;-35.57807855764607
1739209891.746423;-38.13080360867914
1739209891.7464306;-45.120503652039325
1739209891.746438;-35.57807855764607
1739209891.7464457;-38.13080360867914
1739209891.746453;-45.120503652039325
1739209891.7464607;-38.13080360867914
1739209891.7464683;-38.13080360867914
1739209891.7464757;-35.57807855764607
1739209891.7464833;-33.981070128970906
1739209891.7464907;-45.120503652039325
1739209891.7464983;-45.120503652039325
1739209891.7465057;-32.816014438256545
1739209891.7465134;-33.981070128970906
1739209891.7465208;-45.120503652039325
1739209891.7465284;-35.57807855764607
1739209891.746536;-38.13080360867914
1739209891.7465434;-45.120503652039325
1739209891.746551;-35.57807855764607
1739209891.7465584;-33.981070128970906
1739209891.746566;-35.57807855764607
1739209891.7465734;-38.13080360867914
1739209891.746581;-38.13080360867914
1739209891.7465885;-28.992665084841942
1739209891.746596;-38.13080360867914
1739209891.7466037;-38.13080360867914
1739209891.746611;-45.120503652039325
1739209891.7466187;-38.13080360867914
1739209891.7466261;-45.120503652039325
1739209891.7466338;-45.120503652039325
1739209891.7466412;-38.13080360867914
1739209891.7466488;-31.14110356531892
1739209891.7466562;-38.13080360867914
1739209891.7466638;-45.120503652039325
1739209891.7466714;-45.120503652039325
1739209891.7466788;-45.120503652039325
1739209891.7466865;-38.13080360867914
1739209891.7466938;-38.13080360867914
1739209891.7467015;-38.13080360867914
1739209891.7467089;-33.981070128970906
1739209891.7467165;-35.57807855764607
1739209891.746724;-33.981070128970906
1739209891.7467315;-33.981070128970906
1739209891.7467391;-38.13080360867914
1739209891.7467465;-45.120503652039325
1739209891.7467542;-38.13080360867914
