CAN Message; 0x1a7:0000a5d384d3b0ea
Timestamp;Amplitude
1739209870.457335;-45.120503652039325
1739209870.457339;-45.120503652039325
1739209870.4573433;-45.120503652039325
1739209870.4573476;-45.120503652039325
1739209870.4573517;-38.13080360867914
1739209870.457356;-33.981070128970906
1739209870.4573603;-38.13080360867914
1739209870.4573643;-45.120503652039325
1739209870.4573686;-33.981070128970906
1739209870.4573727;-33.981070128970906
1739209870.457377;-38.13080360867914
1739209870.4573812;-33.981070128970906
1739209870.4573853;-45.120503652039325
1739209870.4573896;-38.13080360867914
1739209870.457394;-38.13080360867914
1739209870.457398;-45.120503652039325
1739209870.4574022;-45.120503652039325
1739209870.4574065;-33.981070128970906
1739209870.4574106;-45.120503652039325
1739209870.4574149;-28.58837851428586
1739209870.4574192;-32.816014438256545
1739209870.4574232;-45.120503652039325
1739209870.4574275;-38.13080360867914
1739209870.4574316;-45.120503652039325
1739209870.4574358;-38.13080360867914
1739209870.4574401;-35.57807855764607
1739209870.4574442;-38.13080360867914
1739209870.4574485;-45.120503652039325
1739209870.4574528;-38.13080360867914
1739209870.4574568;-35.57807855764607
1739209870.457461;-38.13080360867914
1739209870.4574654;-38.13080360867914
1739209870.4574695;-33.981070128970906
1739209870.4574738;-45.120503652039325
1739209870.457478;-45.120503652039325
1739209870.457482;-45.120503652039325
1739209870.4574864;-38.13080360867914
1739209870.4574907;-45.120503652039325
1739209870.4574947;-35.57807855764607
1739209870.457499;-38.13080360867914
1739209870.457503;-38.13080360867914
1739209870.4575074;-45.120503652039325
1739209870.4575117;-38.13080360867914
1739209870.4575157;-45.120503652039325
1739209870.45752;-38.13080360867914
1739209870.4575243;-31.141103565318915
1739209870.4575284;-45.120503652039325
1739209870.4575326;-45.120503652039325
1739209870.457537;-35.57807855764607
1739209870.457541;-29.438486411369333
1739209870.4575453;-33.981070128970906
1739209870.4575496;-38.13080360867914
1739209870.4575536;-45.120503652039325
1739209870.457558;-38.13080360867914
1739209870.4575622;-38.13080360867914
1739209870.4575663;-45.120503652039325
1739209870.4575706;-45.120503652039325
1739209870.4575746;-45.120503652039325
1739209870.457579;-45.120503652039325
1739209870.4575832;-45.120503652039325
1739209870.4575872;-33.981070128970906
1739209870.4575915;-35.57807855764607
1739209870.4575958;-38.13080360867914
