CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.6903677;-35.57807855764607
1739209828.6903753;-38.13080360867914
1739209828.690383;-35.57807855764607
1739209828.6903903;-38.13080360867914
1739209828.690398;-38.13080360867914
1739209828.6904056;-33.981070128970906
1739209828.690413;-28.992665084841942
1739209828.6904206;-45.120503652039325
1739209828.6904283;-45.120503652039325
1739209828.6904356;-45.120503652039325
1739209828.6904433;-38.13080360867914
1739209828.690451;-38.13080360867914
1739209828.6904583;-45.120503652039325
1739209828.690466;-38.13080360867914
1739209828.6904736;-31.14110356531892
1739209828.690481;-45.120503652039325
1739209828.6904886;-45.120503652039325
1739209828.6904962;-45.120503652039325
1739209828.6905038;-38.13080360867914
1739209828.6905112;-38.13080360867914
1739209828.6905189;-45.120503652039325
1739209828.6905265;-45.120503652039325
1739209828.6905339;-28.992665084841942
1739209828.6905415;-45.120503652039325
1739209828.6905491;-45.120503652039325
1739209828.6905565;-45.120503652039325
1739209828.6905642;-38.13080360867914
1739209828.6905718;-38.13080360867914
1739209828.6905792;-45.120503652039325
1739209828.6905868;-45.120503652039325
1739209828.6905944;-38.13080360867914
1739209828.6906018;-45.120503652039325
1739209828.6906095;-45.120503652039325
1739209828.690617;-45.120503652039325
1739209828.6906245;-38.13080360867914
1739209828.690632;-38.13080360867914
1739209828.6906397;-38.13080360867914
1739209828.6906471;-38.13080360867914
1739209828.6906548;-38.13080360867914
1739209828.6906624;-38.13080360867914
1739209828.69067;-45.120503652039325
1739209828.6906774;-45.120503652039325
1739209828.690685;-45.120503652039325
1739209828.6906927;-45.120503652039325
1739209828.6907;-38.13080360867914
1739209828.6907077;-38.13080360867914
1739209828.6907153;-38.13080360867914
1739209828.6907227;-45.120503652039325
1739209828.6907303;-45.120503652039325
1739209828.690738;-38.13080360867914
1739209828.6907454;-45.120503652039325
1739209828.690753;-45.120503652039325
1739209828.6907606;-38.13080360867914
1739209828.690768;-38.13080360867914
1739209828.6907756;-45.120503652039325
1739209828.6907833;-45.120503652039325
1739209828.6907907;-38.13080360867914
1739209828.6907983;-38.13080360867914
1739209828.690806;-45.120503652039325
1739209828.6908133;-38.13080360867914
1739209828.690821;-38.13080360867914
1739209828.6908286;-38.13080360867914
1739209828.6908362;-30.49652367304973
1739209828.6908436;-32.816014438256545
1739209828.6908512;-45.120503652039325
1739209828.6908588;-45.120503652039325
1739209828.6908662;-30.49652367304973
1739209828.6908739;-32.816014438256545
1739209828.6908815;-45.120503652039325
1739209828.690889;-38.13080360867914
1739209828.6908965;-33.981070128970956
1739209828.6909041;-45.120503652039325
1739209828.6909115;-38.13080360867914
1739209828.6909192;-45.120503652039325
1739209828.6909268;-45.120503652039325
1739209828.6909342;-38.13080360867914
1739209828.6909418;-38.13080360867914
1739209828.6909494;-45.120503652039325
1739209828.6909568;-27.267205301931607
1739209828.6909645;-31.141103565318893
1739209828.690972;-45.120503652039325
1739209828.6909797;-45.120503652039325
1739209828.690987;-38.13080360867914
1739209828.6909947;-45.120503652039325
1739209828.6910024;-38.13080360867914
1739209828.6910098;-35.57807855764607
1739209828.6910174;-45.120503652039325
1739209828.691025;-45.120503652039325
1739209828.6910324;-35.57807855764607
1739209828.69104;-45.120503652039325
1739209828.6910477;-45.120503652039325
1739209828.691055;-45.120503652039325
