CAN Message; 0x77:4ae9da5dba8cfe31
Timestamp;Amplitude
1739209726.3032825;-38.13080360867914
1739209726.3032885;-45.120503652039325
1739209726.3032947;-45.120503652039325
1739209726.3033009;-45.120503652039325
1739209726.3033068;-33.981070128970906
1739209726.303313;-38.13080360867914
1739209726.3033192;-45.120503652039325
1739209726.3033252;-38.13080360867914
1739209726.3033314;-35.57807855764607
1739209726.3033376;-30.49652367304973
1739209726.3033435;-38.13080360867914
1739209726.3033497;-45.120503652039325
1739209726.303356;-45.120503652039325
1739209726.303362;-38.13080360867914
1739209726.303368;-38.13080360867914
1739209726.3033743;-38.13080360867914
1739209726.3033803;-38.13080360867914
1739209726.3033864;-45.120503652039325
1739209726.3033926;-45.120503652039325
1739209726.3033986;-38.13080360867914
1739209726.3034048;-45.120503652039325
1739209726.3034108;-45.120503652039325
1739209726.303417;-45.120503652039325
1739209726.3034232;-38.13080360867914
1739209726.3034291;-45.120503652039325
1739209726.3034353;-45.120503652039325
1739209726.3034415;-35.57807855764607
1739209726.3034475;-35.57807855764607
1739209726.3034537;-38.13080360867914
1739209726.30346;-38.13080360867914
1739209726.3034658;-33.981070128970906
1739209726.303472;-32.816014438256545
1739209726.3034782;-45.120503652039325
1739209726.3034842;-33.981070128970906
1739209726.3034904;-32.816014438256545
1739209726.3034966;-38.13080360867914
1739209726.3035026;-45.120503652039325
1739209726.3035088;-45.120503652039325
1739209726.303515;-38.13080360867914
1739209726.303521;-45.120503652039325
1739209726.303527;-45.120503652039325
1739209726.3035333;-31.141103565318943
1739209726.3035393;-38.13080360867914
1739209726.3035455;-38.13080360867914
1739209726.3035517;-45.120503652039325
1739209726.3035576;-45.120503652039325
1739209726.3035638;-38.13080360867914
1739209726.30357;-38.13080360867914
1739209726.303576;-32.816014438256545
1739209726.3035822;-30.49652367304973
1739209726.3035884;-38.13080360867914
1739209726.3035944;-45.120503652039325
1739209726.3036005;-45.120503652039325
1739209726.3036067;-38.13080360867914
1739209726.3036127;-35.57807855764607
1739209726.303619;-38.13080360867914
1739209726.303625;-38.13080360867914
1739209726.303631;-38.13080360867914
1739209726.3036373;-38.13080360867914
1739209726.3036432;-38.13080360867914
1739209726.3036494;-38.13080360867914
1739209726.3036556;-45.120503652039325
1739209726.3036616;-45.120503652039325
1739209726.3036678;-45.120503652039325
1739209726.303674;-38.13080360867914
1739209726.30368;-45.120503652039325
1739209726.3036861;-45.120503652039325
1739209726.3036923;-38.13080360867914
1739209726.3036983;-35.57807855764607
1739209726.3037045;-33.981070128970906
1739209726.3037107;-45.120503652039325
1739209726.3037167;-35.57807855764607
1739209726.3037229;-33.981070128970906
1739209726.303729;-33.981070128970906
1739209726.303735;-33.981070128970906
1739209726.3037412;-38.13080360867914
1739209726.3037474;-38.13080360867914
1739209726.3037534;-33.981070128970906
1739209726.3037596;-35.57807855764607
1739209726.3037658;-38.13080360867914
1739209726.3037717;-38.13080360867914
1739209726.303778;-33.981070128970906
1739209726.3037841;-32.816014438256545
1739209726.30379;-45.120503652039325
1739209726.3037963;-45.120503652039325
1739209726.3038025;-45.120503652039325
1739209726.3038085;-45.120503652039325
1739209726.3038146;-45.120503652039325
1739209726.3038208;-33.981070128970906
1739209726.3038268;-31.141103565318915
1739209726.303833;-31.141103565318915
1739209726.3038392;-45.120503652039325
1739209726.3038452;-45.120503652039325
1739209726.3038514;-33.981070128970906
1739209726.3038576;-38.13080360867914
1739209726.3038635;-38.13080360867914
1739209726.3038697;-38.13080360867914
1739209726.303876;-38.13080360867914
1739209726.303882;-33.981070128970906
1739209726.303888;-45.120503652039325
1739209726.303894;-38.13080360867914
1739209726.3039002;-38.13080360867914
1739209726.3039064;-45.120503652039325
1739209726.3039124;-45.120503652039325
1739209726.3039186;-38.13080360867914
1739209726.3039248;-38.13080360867914
1739209726.3039308;-45.120503652039325
1739209726.303937;-45.120503652039325
1739209726.3039432;-33.981070128970906
1739209726.303949;-38.13080360867914
1739209726.3039553;-45.120503652039325
1739209726.3039615;-45.120503652039325
1739209726.3039675;-45.120503652039325
1739209726.3039737;-38.13080360867914
1739209726.3039799;-38.13080360867914
1739209726.3039858;-38.13080360867914
1739209726.303992;-38.13080360867914
1739209726.3039982;-45.120503652039325
1739209726.3040042;-35.57807855764607
1739209726.3040104;-38.13080360867914
1739209726.3040166;-45.120503652039325
1739209726.3040226;-45.120503652039325
1739209726.3040287;-38.13080360867914
1739209726.304035;-45.120503652039325
1739209726.304041;-45.120503652039325
1739209726.304047;-45.120503652039325
